manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Mikoyan-Gurevich,MiG-21,,,,VN,Fishbed,,fixed_wing,monoplane,military,fighter,,"OSM node 13508160124 named ""MiG-21"" inside the Air Force Officers' College grounds; instructional airframe retained on display; no serial",MiG21; Fishbed,Truong Si quan Khong quan Aircraft Park -- Nha Trang,on_display
Mikoyan-Gurevich,MiG-21,,,,VN,Fishbed,,fixed_wing,monoplane,military,fighter,,"OSM node 13508160136 named ""MiG-21""; second Fishbed in the park; no serial",MiG21; Fishbed,Truong Si quan Khong quan Aircraft Park -- Nha Trang,on_display
Mikoyan-Gurevich,MiG-17,,,,VN,Fresco,,fixed_wing,monoplane,military,fighter,,"OSM node 13508160143 named ""MiG-17""",MiG17; Fresco,Truong Si quan Khong quan Aircraft Park -- Nha Trang,on_display
Mikoyan-Gurevich,MiG-15,,,,VN,Fagot,,fixed_wing,monoplane,military,fighter,,"OSM node 13508160129 named ""MiG-15""; a MiG-15 or MiG-15UTI survivor in Vietnam is notable -- the sub-variant is not tagged so the variant field is blank",MiG15; Fagot; Midget,Truong Si quan Khong quan Aircraft Park -- Nha Trang,on_display
Aero,L-29,,,,VN,Delfin,,fixed_wing,monoplane,military,trainer,,"OSM node 13508160127 named ""L-29""; the VPAF's basic jet trainer before the L-39",L29; L-29; Delfin; Maya,Truong Si quan Khong quan Aircraft Park -- Nha Trang,on_display
Aero,L-39,,,,VN,Albatros,,fixed_wing,monoplane,military,trainer,,OSM node 13508160140; tagged memorial=aircraft rather than historic=aircraft which suggests a plinthed gate-guard style monument rather than a park exhibit,L39; L-39; Albatros,Truong Si quan Khong quan Aircraft Park -- Nha Trang,on_display
Nanchang,CJ-6,,,,VN,Chujiao,,fixed_wing,monoplane,military,trainer,,"OSM node 13508160134 named ""CJ-6""; Chinese-supplied primary trainer",CJ6; CJ-6; Nanchang CJ-6; Chujiao,Truong Si quan Khong quan Aircraft Park -- Nha Trang,on_display
Cessna,U-17,,,,US,Skywagon,,fixed_wing,monoplane,military,recon,,"OSM node 13508160126 named ""Cessna U-17""; captured RVNAF liaison type",U17; U-17; Cessna 185; Skywagon,Truong Si quan Khong quan Aircraft Park -- Nha Trang,on_display
Cessna,U-206,,,,US,Stationair,,fixed_wing,monoplane,military,utility,,"OSM node 13508160135 named ""Cessna U-206""; the surveyor distinguishing a U-206 from the U-17 on the same field is a strong signal that these tags come from close inspection rather than guesswork",U206; U-206; Cessna 206; Stationair,Truong Si quan Khong quan Aircraft Park -- Nha Trang,on_display
Bell,UH-1,,,,US,Iroquois,,rotary_wing,,military,utility,,"OSM node 13508160125 named ""Bell UH-1 Iroquois""; captured RVNAF Huey",UH1; UH-1; Huey; Iroquois,Truong Si quan Khong quan Aircraft Park -- Nha Trang,on_display
Unidentified,Jet aircraft,,,,,,,fixed_wing,monoplane,military,other,,OSM node 13508160130 tagged aircraft:type=jet with no name; eleventh airframe in the park,,Truong Si quan Khong quan Aircraft Park -- Nha Trang,on_display
