manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
de Havilland,DH.82,A,SR26,,ZW,Tiger Moth,,fixed_wing,biplane,military,trainer,,Rhodesian Air Training Group Tiger Moth; the wrecks-and-relics record carries no serial while the zimfieldguide visit account gives SR26,DH82; DH.82A; Tiger Moth,Zimbabwe Military Museum,on_display
North American,Harvard,Mk IIA,7397,,ZA,Harvard,,fixed_wing,monoplane,military,trainer,,Ex-SAAF Harvard; the zimfieldguide visit account records it wearing the Southern Rhodesian serial SR48 while the wrecks-and-relics record gives the SAAF identity 7397 with c/n 88-13395; both are recorded here,AT-6; T-6; Harvard IIA; SR48; AT6; T6,Zimbabwe Military Museum,on_display
English Electric,Canberra,B.2,2504,,ZW,Canberra,,fixed_wing,monoplane,military,bomber,,Rhodesian and Zimbabwean Canberra; also reported as R2504; c/n 71173,Canberra B2; B.2; R2504,Zimbabwe Military Museum,on_display
Agusta-Bell,AB.205,A,6082,,ZW,Iroquois,,rotary_wing,,military,utility,,Licence-built Bell UH-1H; c/n 4037,AB205; AB.205A; UH-1; Huey; Iroquois; UH1,Zimbabwe Military Museum,on_display
Hawker,Hunter,FGA.9,1188,,ZW,Hunter,,fixed_wing,monoplane,military,ground_attack,,c/n 41H/679971,Hunter FGA9; FGA.9,Zimbabwe Military Museum,on_display
Hawker,Hunter,FGA.9,1827,,ZW,Hunter,,fixed_wing,monoplane,military,ground_attack,,Recorded by the wrecks-and-relics source but not by the zimfieldguide visit account; c/n S4/U/3274,Hunter FGA9; FGA.9,Zimbabwe Military Museum,on_display
Percival,Provost,T.52,3614,,ZW,Provost,,fixed_wing,monoplane,military,trainer,,,Provost T52; T.52,Zimbabwe Military Museum,on_display
Supermarine,Spitfire,F.22,PK355,,ZW,Spitfire,,fixed_wing,monoplane,military,fighter,,Ex-RAF Spitfire F.22 presented to Southern Rhodesia; c/n CBAF.39,Spitfire F22; F.22; Mk 22,Zimbabwe Military Museum,on_display
de Havilland,Vampire,FB.52,1380,,ZW,Vampire,,fixed_wing,monoplane,military,fighter,,c/n V0679,Vampire FB52; FB.52,Zimbabwe Military Museum,on_display
de Havilland,Vampire,T.11,4220,,ZW,Vampire,,fixed_wing,monoplane,military,trainer,,The zimfieldguide visit account records the airframe as 2406; the wrecks-and-relics record gives 4220 with c/n 15373; the discrepancy is unresolved,Vampire T11; T.11; 2406,Zimbabwe Military Museum,on_display
de Havilland,Vampire,FB.9,RRAF112,,ZW,Vampire,,fixed_wing,monoplane,military,fighter,,Wears its Royal Rhodesian Air Force serial; c/n V0988,Vampire FB9; FB.9; 112,Zimbabwe Military Museum,on_display
Vickers,Viscount,748D,Z-YNA,,ZW,Viscount,,fixed_wing,monoplane,civilian,commercial_transport,,Air Zimbabwe Viscount; c/n 98,Viscount 748D; V748; ZYNA,Zimbabwe Military Museum,on_display
Mignet,HM.14,,,,,Pou-du-Ciel,,fixed_wing,monoplane,civilian,private,,Flying Flea recorded by the zimfieldguide visit account but not by the wrecks-and-relics source; no identity available,HM14; HM.14; Flying Flea; Pou du Ciel,Zimbabwe Military Museum,on_display
