name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Museo Nacional de Aeronáutica,Morón,Buenos Aires,Argentina,1708,South America,"Av. Eva Perón 2200, Base Aérea Militar Morón",https://mna.ar,public,-34.671681,-58.636792
Museo de la Aviación Naval Argentina,Bahía Blanca,Buenos Aires,Argentina,8107,South America,"Base Aeronaval Comandante Espora, Ruta Nacional 3 Vieja s/n",https://museoaeronaval.wixsite.com/muan,public,-38.734201,-62.158652
Museo Naval de la Nación,Tigre,Buenos Aires,Argentina,1648,South America,Paseo Victorica 602,https://www.argentina.gob.ar/armada/museos/naval-de-la-nacion,public,-34.412247,-58.586731
Museo Malvinas e Islas del Atlántico Sur,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,,South America,"Av. del Libertador 8151, Espacio Memoria y Derechos Humanos (ex ESMA)",https://museomalvinas.cultura.gob.ar,public,-34.540283,-58.46409
Complejo Museográfico Provincial Enrique Udaondo,Luján,Buenos Aires,Argentina,6700,South America,Lezica y Torrezuri 917,,public,-34.56337,-59.12205
Museo Histórico del Ejército Argentino,Ciudadela,Buenos Aires,Argentina,,South America,,,public,-34.63360,-58.54265
"Museo Nacional de Malvinas, Oliva",Oliva,Córdoba,Argentina,,South America,"Ruta Nacional 9, acceso a Oliva",,public,-32.04249,-63.56702
Museo Interfuerzas Estancia Santa Romana,Justo Daract,San Luis,Argentina,,South America,"Ruta Nacional 7 km 671, Estancia Santa Romana",,appointment,-33.85866,-65.18234
Museo de la Industria Brigadier Mayor Juan Ignacio San Martín,Córdoba,Córdoba,Argentina,,South America,"Libertad 1100, Parque General Paz",https://turismo.cordoba.gob.ar/museo-de-la-industria/,public,-31.41669,-64.18342
Museo Aeronáutico del Aero Club Baradero,Baradero,Buenos Aires,Argentina,,South America,Aeródromo de Baradero,,public,-33.8211,-59.4928
Museo Histórico de General Pacheco,General Pacheco,Buenos Aires,Argentina,,South America,,,public,-34.45372,-58.63511
Museo Hangar Zero,General Rodríguez,Buenos Aires,Argentina,,South America,Aeródromo de General Rodríguez,,appointment,-34.67712,-59.03679
Museo Histórico Militar de San Rafael,San Rafael,Mendoza,Argentina,,South America,"Av. Mitre 5500, Cuadro Nacional",,public,-34.61260,-68.33051
Museo Histórico Fuerte Independencia,Tandil,Buenos Aires,Argentina,,South America,4 de Abril 845,,public,-37.32057,-59.13083
"Memorial Multiespacio Malvinas, Bariloche",San Carlos de Bariloche,Río Negro,Argentina,,South America,"Costanera del lago Nahuel Huapi, frente al Centro Cívico",,public,-41.13348,-71.31015
Museo del Automóvil de Campana,Campana,Buenos Aires,Argentina,,South America,,,appointment,-34.16366,-58.95868
Aero Club Trelew,Trelew,Chubut,Argentina,,South America,"Ruta Nacional 3, Trelew",,appointment,-43.29868,-65.27499
"CIATA Centro de Instrucción de Aeronavegantes y Técnicos Aeronáuticos, Morón",Morón,Buenos Aires,Argentina,,South America,Base Aérea Militar Morón,,restricted,-34.65105,-58.62174
República de los Niños,Gonnet,Buenos Aires,Argentina,,South America,"Camino General Belgrano y Calle 501, Manuel B. Gonnet",,public,-34.887917,-58.021361
"Museo Mouras Autos Históricos Campeones del TC, La Plata",La Plata,Buenos Aires,Argentina,,South America,"Autódromo Roberto Mouras, Ruta 2 km 49",,public,-34.92068,-57.95376
I Brigada Aérea El Palomar Gate Displays,El Palomar,Buenos Aires,Argentina,,South America,"Base Aérea Militar El Palomar, Av. Matienzo e Itacumbú",https://www.argentina.gob.ar/fuerzaaerea,restricted,-34.62252,-58.59557
"Plaza del Avión Fiat G.46 Monument, Ciudad Jardín El Palomar",El Palomar,Buenos Aires,Argentina,,South America,"Plaza del Avión, Ciudad Jardín Lomas del Palomar",,public,-34.60229,-58.59205
"Escuela Técnica N°4 I Brigada Aérea Prof. Laguarde, El Palomar",El Palomar,Buenos Aires,Argentina,,South America,"Escuela de Educación Secundaria Técnica N°4, El Palomar",,appointment,-34.62252,-58.59557
II Brigada Aérea Paraná Historic Park,Paraná,Entre Ríos,Argentina,,South America,"II Brigada Aérea, Av. Jorge Newbery 3820",https://www.argentina.gob.ar/sala-historica-de-la-ii-brigada-aerea-brigadier-ricardo-sola-claret,restricted,-31.76440,-60.40912
"Canberra B-112 Túnel Subfluvial Roundabout Monument, Paraná",Paraná,Entre Ríos,Argentina,,South America,"Rotonda Av. Gobernador Uranga y Ruta 168, acceso al Túnel Subfluvial",,public,-31.70194,-60.50373
