manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Auster Aircraft,Auster,Mk III,A11-41,,,fixed_wing,monoplane,military,recon,,Ex-RAAF/Army air observation post Auster. Struck off the civil register 05/07/2001 and retained on static display inside the museum hangar. Previously civil registered VH-CYH. Identity and current holder confirmed on ADF-Serials.,Auster Mk 3; Auster III; VH-CYH; VHCYH,Australian Army Flying Museum,on_display
Auster Aircraft,AOP.9,,XP285,,,fixed_wing,monoplane,military,recon,,"Former British Army Air Corps airframe, never in Australian service; gifted to the Australian Army in 1970 and preserved at Oakey since. Identity and current holder confirmed on ADF-Serials.",Auster AOP9; AOP9; XP285,Australian Army Flying Museum,on_display
Bell Helicopter,47,G-2,A1-568,Sioux,,rotary_wing,,military,recon,,"Ex-Australian Army; crashed 26/06/1966, then a training aid at Wagga before going to the museum. Identity and current holder confirmed on ADF-Serials.",Sioux; 47G; 47G2; Bell 47,Australian Army Flying Museum,on_display
Bell Helicopter,47,G-3B-1,A1-720,Sioux,,rotary_wing,,military,recon,,Served with 161 Recce Flight in Vietnam 1968-69; to the museum from storage in 1975. Identity and current holder confirmed on ADF-Serials.,Sioux; 47G; Bell 47; VH-OKY,Australian Army Flying Museum,on_display
Bell Helicopter,47,G-3B-1,A1-732,Sioux,,rotary_wing,,military,recon,,Served with 161 Recce Flight in Vietnam; crashed in Papua New Guinea 10/1973 and restored by Brisbane TAFE before going to the museum. Identity and current holder confirmed on ADF-Serials.,Sioux; 47G; Bell 47,Australian Army Flying Museum,on_display
Bell Helicopter,UH-1,H,A2-649,Iroquois,,rotary_wing,,military,utility,,"Vietnam, Sinai and Bougainville veteran. Repainted overall red in the Operation Bel Isi scheme in 03/2014 and returned to display at the museum. Identity and current holder confirmed on ADF-Serials.",Iroquois; UH1; UH1H; Huey,Australian Army Flying Museum,on_display
Bell Helicopter,206,B-1,A17-001,Kiowa,,rotary_wing,,military,recon,,"The first Australian Army Kiowa, handed over at Brisbane Airport 22/11/1971. Noted on display at the museum 02/2017. Identity and current holder confirmed on ADF-Serials.",Kiowa; 206B; OH-58; OH58,Australian Army Flying Museum,on_display
Commonwealth Aircraft Corporation,CA-32,,A17-044,Kiowa,,rotary_wing,,military,recon,,Written off in an accident in the early 1990s and used as a RAEME training aid at Oakey. An airframe marked 44 is displayed at Oakey as the Kiowa Garden Display; ADF-Serials questions whether it is in fact A17-044.,Kiowa; CA32; 206B,Australian Army Flying Museum,on_display
Commonwealth Aircraft Corporation,CA-25,,A85-432,Winjeel,,fixed_wing,monoplane,military,trainer,,Delivered 08/1956 and served with 1 Basic Flying Training School. Identity and current holder confirmed on ADF-Serials.,CA25; Winjeel,Australian Army Flying Museum,on_display
Cessna Aircraft,180,D,A98-045,,,fixed_wing,monoplane,military,utility,,Served with 161 Recce Flight in Vietnam 1965-71 and flew the last Australian Army Cessna 180 sortie there on 14/02/1971. Identity and current holder confirmed on ADF-Serials.,Cessna 180; 180D; C180,Australian Army Flying Museum,on_display
