manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Adair-Gurr,Altair,,VH-GLI,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,,Australian Gliding Museum,on_display
Akaflieg Stuttgart,Fs 24,,VH-GRP,Phoenix,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,Phoenix,Australian Gliding Museum,on_display
Avionautica Rio,M.100,S,VH-GUD,Mesange,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,Mesange,Australian Gliding Museum,on_display
Backstrom,EPB-1,A,,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26. No registration carried or recorded.,EPB1; EPB1A,Australian Gliding Museum,on_display
Barratt-Bradley,Pelican,II,VH-GFY,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,,Australian Gliding Museum,on_display
Bolkow,Phoebus,C,VH-GSW,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,,Australian Gliding Museum,on_display
Briegleb,BG-12,A,VH-GDG,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,BG12; BG12A,Australian Gliding Museum,on_display
Dunstable,Kestrel,,,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26. No registration carried or recorded.,,Australian Gliding Museum,on_display
Elliott,AP.5,,VH-GHR,EoN Olympia 2,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,EoN Olympia 2,Australian Gliding Museum,on_display
Hall,Cherokee,II,VH-GVO,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,,Australian Gliding Museum,on_display
Hearn,Hi-Jack,,,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26. No registration carried or recorded.,HiJack,Australian Gliding Museum,on_display
Hutter,H 17,,,,,fixed_wing,monoplane,civilian,private,,Major components only. Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26. No registration carried or recorded.,,Australian Gliding Museum,on_display
Hutter,H 17,,VH-GQM,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,,Australian Gliding Museum,on_display
Jarvis,Sunbird,,,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26. No registration carried or recorded.,,Australian Gliding Museum,on_display
Laister-Kauffman,LK-10,A,,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26. No registration carried or recorded.,LK10; LK10A,Australian Gliding Museum,on_display
Lessing,Glider,,,,,fixed_wing,monoplane,civilian,private,,Replica. Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26. No registration carried or recorded.,,Australian Gliding Museum,on_display
Let,L-13,,VH-GAQ,Blanik,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,L13; Blanik,Australian Gliding Museum,on_display
Lilienthal,Normalsegelapparat,,,,,fixed_wing,monoplane,civilian,private,,Reproduction of the 1893 Lilienthal glider. Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26. No registration carried or recorded.,,Australian Gliding Museum,on_display
Maupin,Woodstock,1,VH-IKL,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,,Australian Gliding Museum,on_display
Mead,Rhon Ranger,,,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26. No registration carried or recorded.,,Australian Gliding Museum,on_display
Northrop,Primary Glider,,,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26. No registration carried or recorded.,,Australian Gliding Museum,on_display
Pascoe,EP-1,,VH-GHE,Spruce Goose,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,EP1; Spruce Goose,Australian Gliding Museum,on_display
Proctor,Coogee,,VH-GFP,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,,Australian Gliding Museum,on_display
Scheibe,Bergfalke,II/55,VH-GKZ,,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,,Australian Gliding Museum,on_display
Schleicher,Ka-2,B,VH-GHD,Rhonschwalbe,,fixed_wing,monoplane,civilian,private,,Australian Gliding Museum collection at Bacchus Marsh Aerodrome; roster from the aviationmuseum.eu museum listing and not individually re-verified in 2025-26.,Ka2; Ka2B; Rhonschwalbe,Australian Gliding Museum,on_display
