manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Avro,Lancaster,B.VII,NX622,,,fixed_wing,monoplane,military,bomber,,"One of about seventeen substantially intact Lancasters worldwide. Acquired from the French Aeronavale on 1 December 1962 and painted in No. 463 Squadron markings as JO-D (D-Dog), an aircraft that completed 93 operations.",Lancaster; Lancaster B.VII; Lancaster BVII; JO-D,Aviation Heritage Museum,on_display
Supermarine,Spitfire,F.22,PK481,,,fixed_wing,monoplane,military,fighter,,Acquired from England in 1959 as the RAAF Association WA's first aircraft and originally mounted on a pole outside its Perth headquarters; restored and moved into the north hangar in 1985.,Spitfire; Spitfire F.22; Spitfire F22; c/n CBAF.70,Aviation Heritage Museum,on_display
Supermarine,Spitfire,LF.XVIe,TB592,,,fixed_wing,monoplane,military,fighter,,"Full-scale replica acquired from New Zealand in August 1985 and displayed outside at the entrance, painted as TB592 of No. 451 Squadron RAAF; the museum notes the NI-V code letters are historically inaccurate for this serial. Some sources describe it as an LF.XIVe replica.",Spitfire; TB592; NI-V,Aviation Heritage Museum,on_display
Consolidated,PBY,5A,46624,Catalina,,fixed_wing,monoplane,military,recon,,Painted in United States Navy colours; unveiled in the south hangar in 2010. The number carried is the identity as displayed.,PBY; PBY-5A; PBY5A; Catalina; c/n 1988,Aviation Heritage Museum,on_display
Douglas,C-47,B,A65-124,Dakota,,fixed_wing,monoplane,military,transport,,Delivered to the RAAF in August 1945; displayed in RAAF colours carrying the name Flagship (ADF-Serials).,C47; C47B; Dakota; Skytrain; Flagship; c/n 34220,Aviation Heritage Museum,on_display
Government Aircraft Factories,Canberra,B.20,A84-230,,,fixed_wing,monoplane,military,bomber,,Built at Fishermens Bend in 1955 under licence. The rear fuselage is in fact from A84-248 and that aircraft carries A84-230's rear fuselage; the maintenance records do not record the swap (ADF-Serials).,Canberra; Canberra B.20; Canberra B20; Canberra Mk 20,Aviation Heritage Museum,on_display
de Havilland,DH.115,T.35A,A79-821,Vampire,,fixed_wing,monoplane,military,trainer,,Served with No. 1 Applied Flying Training School; approved for disposal 10/02/1970 and arrived at the RAAFA museum on 28 May 1970 (ADF-Serials).,Vampire; DH115; Vampire T.35A; Vampire T35A; c/n 4101,Aviation Heritage Museum,on_display
de Havilland Australia,DH.82,A,A17-161,Tiger Moth,,fixed_wing,biplane,military,trainer,,"Entered RAAF service October 1940, civil registered VH-AHP in 1966 and withdrawn from use 1969; displayed in yellow RAAF markings (ADF-Serials).",DH82; DH82A; Tiger Moth; VH-AHP; c/n DHA162,Aviation Heritage Museum,on_display
Commonwealth Aircraft Corporation,CA-16,,A20-688,Wirraway,,fixed_wing,monoplane,military,trainer,,"Wirraway Mk III. Transferred to Midland Technical College in 1959 and airlifted by helicopter to Bull Creek on 20 July 1973. Restored in a silver RAAF scheme but painted in error as A20-668, in No. 5 Squadron code BF-R although it never served with that unit (ADF-Serials).",CA16; Wirraway; A20-668; c/n 1140,Aviation Heritage Museum,on_display
Commonwealth Aircraft Corporation,CA-6,,VH-AIY,Wackett,,fixed_wing,monoplane,civilian,trainer,,"Ex-RAAF A3-31, sold in 1946 and registered to MacRobertson Miller Aviation; the personal aircraft of Horrie Miller. Displayed at the Horrie C Miller Museum in Broome until moved to Bull Creek in 2002. One of four surviving Wackett trainers (ADF-Serials).",CA6; Wackett; A3-31; c/n 265,Aviation Heritage Museum,on_display
Aermacchi,MB-326,H,A7-066,Macchi,,fixed_wing,monoplane,military,trainer,,"Displayed painted as A7-025 in No. 25 Squadron markings; a wing from A7-009 was used in the restoration. First flight 31/10/1969, served with 2 FTS and No. 79 Squadron (ADF-Serials).",MB326; MB326H; Macchi; A7-025; CA-30; CA30,Aviation Heritage Museum,on_display
Bell,UH-1,H,A2-296,Iroquois,,rotary_wing,,military,utility,,"Ex-US Army 72-21597, delivered to the RAAF November 1973; served with 35 and 5 Squadrons then Army 171 Squadron and finally ARDU at RAAF Edinburgh, carrying dual Army and RAAF/ARDU titles. Delivered to the museum 29 July 2014 and displayed between the two hangars (ADF-Serials).",UH1; UH1H; Iroquois; Huey; c/n 13296,Aviation Heritage Museum,on_display
General Dynamics,F-111,C,A8-140,,,fixed_wing,monoplane,military,bomber,,"Crew module only. Allocated USAF serial 67-0140, first flight 24 December 1968, delivered to the RAAF 1 October 1973 and served with 1 and 6 Squadrons; the first locally modified F-111C to take Pave Tack in 1985. The airframe was scrapped in 2011 and the crew module delivered to the museum in May 2013 (ADF-Serials).",F111; F111C; Aardvark; c/n D1-16,Aviation Heritage Museum,on_display
McDonnell Douglas,F/A-18,B,A21-101,Hornet,,fixed_wing,monoplane,military,fighter,,"The first Australian Hornet, first flight 13/08/1984, delivered 09/03/1985 and ferried non-stop to Australia with A21-102. Served with No. 2 Operational Conversion Unit and ARDU; preserved at the museum from 12 April 2023 (ADF-Serials).",F/A18; FA18; FA18B; F/A18B; F/A-18B; Hornet; c/n 213,Aviation Heritage Museum,on_display
Panavia,Tornado,GR4,ZG791,,,fixed_wing,monoplane,military,ground_attack,,"Ex-Royal Air Force; the fleet served on Operations Telic, Herrick and Shader before Tornado retirement in 2019. Donated by the RAF and transferred to the museum in 2022; the only Tornado displayed outside the United Kingdom.",Tornado; Tornado GR4; Tornado GR.4,Aviation Heritage Museum,on_display
Canadair,CL-13,Mk 6,383,Sabre,,fixed_wing,monoplane,military,fighter,,"Ex-Royal Canadian Air Force 23702, then South African Air Force 383, Kempton Park Technical College and a private owner at Lanseria before reaching New Zealand and Australia. Stored dismantled between the two museum hangars; museum staff have indicated restoration would be difficult.",CL13; CL13B; Sabre; 23702; c/n 1492,Aviation Heritage Museum,in_storage
Avro,Anson,I,W2121,,,fixed_wing,monoplane,military,trainer,,Complete airframe displayed in the north hangar.,Anson; Anson I; Avro 652,Aviation Heritage Museum,on_display
Avro,Anson,I,VH-WAC,,,fixed_wing,monoplane,civilian,transport,,"Cockpit section only, named The Islander.",Anson; Anson I; The Islander,Aviation Heritage Museum,on_display
Auster,J/5,,VH-KAV,Adventurer,,fixed_wing,monoplane,civilian,private,,Auster J/5 Adventurer light aircraft.,Auster J/5; Auster J5; Adventurer; c/n 2894,Aviation Heritage Museum,on_display
de Havilland,DH.94,,VH-THT,Moth Minor,,fixed_wing,monoplane,civilian,private,,de Havilland Moth Minor light aircraft.,DH94; Moth Minor; c/n 94076,Aviation Heritage Museum,on_display
Percival,P.34,A,VH-BQR,Proctor,,fixed_wing,monoplane,civilian,private,,Percival Proctor Mk III.,P34; P34A; Proctor; Proctor III; c/n K392,Aviation Heritage Museum,on_display
Gardan,GY-80,180,VH-CJZ,Horizon,,fixed_wing,monoplane,civilian,private,,Sud Aviation-built Gardan Horizon modified so visitors can work the controls. Painted to represent Robin Sugar Bird Lady Miller's aircraft although it is not the type she flew regularly; wears both Australian and French registrations.,GY80; GY80180; GY80-180; Horizon; F-OCLI; c/n 215,Aviation Heritage Museum,on_display
Bristol,Type 86,A,G-AUDK,Tourer,,fixed_wing,biplane,civilian,transport,,Full-scale replica painted in the markings of Bristol Tourer G-AUDK of Western Australian Airways; deliberately left unskinned on one side to show the internal structure.,Bristol Tourer; Type 86; Type 86A,Aviation Heritage Museum,on_display
Sopwith,F.1,,M6394,Camel,,fixed_wing,biplane,military,fighter,,"Three-quarter scale non-flying replica built in the mid 1980s by Ansett engineer Frank Matthews of Maddington, Western Australia.",Sopwith Camel; Camel; F1; M6394 F,Aviation Heritage Museum,on_display
Santos-Dumont,Demoiselle,,,,,fixed_wing,monoplane,civilian,experimental,,"Full-scale replica built in 1984 by Ansett engineer Frank Matthews at the museum, using measurements and photographs taken from an earlier Demoiselle replica the museum once held.",Demoiselle; Santos-Dumont 20,Aviation Heritage Museum,on_display
Sindlinger,Hurricane,,VH-AFW,,,fixed_wing,monoplane,civilian,private,,"Five-eighths scale Hawker Hurricane replica homebuilt, constructed, owned and flown by Arthur Winstanley; wears the code AF-W.",Sindlinger Hurricane; AF-W; c/n W140,Aviation Heritage Museum,on_display
Mignet,HM.290,,10-0718,Flying Flea,,fixed_wing,biplane,civilian,private,,"The second Flying Flea built by Bob Raper, who had built the first in Western Australia, an HM.14 tested at West Subiaco in 1936. Tandem-wing type; the tail marking reads HM.290 although the aircraft is a modified HM.293.",HM290; Pou-du-Ciel; Flying Flea; HM293,Aviation Heritage Museum,on_display
Heath,Parasol,Model V,,,,fixed_wing,monoplane,civilian,private,,Heath Parasol homebuilt; a further rebuild of the airframe was under way in 2010.,Heath Parasol; Parasol Model V,Aviation Heritage Museum,on_display
Backstrom,EPB-1,A,,Flying Plank,,fixed_wing,monoplane,civilian,experimental,,"Tailless glider, one of three Flying Planks known to survive in Australia; scratch-built and donated by Mr C K Gentle.",EPB1; EPB-1A; EPB1A; Flying Plank,Aviation Heritage Museum,on_display
Bede,BD-5,,,,,fixed_wing,monoplane,civilian,private,,"Homebuilt kit aircraft rebuilt at the museum from 2004 and dedicated to Daniel Florusse, a member of the museum's youth club; some parts including the nosewheel are non-original.",BD5; Bede BD-5,Aviation Heritage Museum,on_display
