manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
New Zealand Aerospace,CT/4,B,A19-095,Airtrainer,,fixed_wing,monoplane,military,trainer,,"Ex-RAAF Airtrainer, civil registration VH-YCW.",CT4; CT4B; Airtrainer; VH-YCW,Benalla Aviation Museum,on_display
Commonwealth Aircraft Corporation,CA-25,,A85-443,Winjeel,,fixed_wing,monoplane,military,trainer,,"Airworthy; registered VH-CZE to Mark Carr and based at the museum, operated in conjunction with the museum.",CA25; Winjeel; VH-CZE,Benalla Aviation Museum,on_display
Commonwealth Aircraft Corporation,CA-30,,A7-054,Macchi,,fixed_wing,monoplane,military,trainer,,"CAC-built Aermacchi MB-326H on loan from the Australian National Aviation Museum, Moorabbin.",CA30; MB-326; MB326; MB326H; Macchi,Benalla Aviation Museum,on_display
de Havilland Australia,DH.82,A,A17-104,Tiger Moth,,fixed_wing,biplane,military,trainer,,Museum Tiger Moth; one Benalla Tiger Moth is under rebuild towards flight status.,DH82; Tiger Moth,Benalla Aviation Museum,on_display
de Havilland Australia,DH.82,A,A17-242,Tiger Moth,,fixed_wing,biplane,military,trainer,,Second museum Tiger Moth.,DH82; Tiger Moth,Benalla Aviation Museum,under_restoration
de Havilland,DH.94,,A21-42,Moth Minor,,fixed_wing,monoplane,military,trainer,,Airworthy; registered VH-CZB and operated in conjunction with the museum.,DH94; Moth Minor; VH-CZB,Benalla Aviation Museum,on_display
de Havilland,DH.115,T Mk 35A,A79-819,Vampire,,fixed_wing,monoplane,military,trainer,,"Composite static rebuild displayed as A79-819, using the best parts of A79-819 and A79-835; on loan and completed by museum members.",DH115; Vampire,Benalla Aviation Museum,on_display
de Havilland,DH.115,T Mk 35A,A79-835,Vampire,,fixed_wing,monoplane,military,trainer,,"On loan from the Australian National Aviation Museum; ADF-Serials notes this airframe is displayed marked as A79-819, so the two Benalla Vampire identities are entangled.",DH115; Vampire,Benalla Aviation Museum,on_display
Fawcett,120,,VH-BQC,,,fixed_wing,monoplane,civilian,private,,Australian homebuilt.,Fawcett 120,Benalla Aviation Museum,on_display
Government Aircraft Factories,N24,A,VH-BRP,Nomad,,fixed_wing,monoplane,civilian,utility,,Under rebuild by museum members.,N24; N24A; Nomad,Benalla Aviation Museum,under_restoration
Nanchang,CJ-6,A,VH-LNM,,,fixed_wing,monoplane,civilian,trainer,,Chinese-built primary trainer on the Australian civil register.,CJ6; CJ6A,Benalla Aviation Museum,on_display
Government Aircraft Factories,Jindivik,Mk 3A,A92-492,,,fixed_wing,monoplane,military,drone,,"Owned by the Australian National Aviation Museum and on loan to Benalla; the ANAM list records it as A94-492, which is a typographic error for the A92 Jindivik series.",Jindivik,Benalla Aviation Museum,on_display
