manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Bell,AH-1,P,76-22592,Cobra,,rotary_wing,,military,ground_attack,,Ex-US Army Cobra held at the HARS Parkes annexe.,AH1; AH1P; Cobra; HueyCobra,HARS Parkes Aviation Museum,on_display
Cessna,150,E,VH-DML,,,fixed_wing,monoplane,civilian,trainer,,Light trainer in the Parkes collection.,C150; 150E,HARS Parkes Aviation Museum,on_display
Convair,580,,VH-PDW,,,fixed_wing,monoplane,civilian,commercial_transport,,Turboprop-converted Convair airliner.,CV580; Convair 580,HARS Parkes Aviation Museum,on_display
de Havilland,DH.114,,VH-NJI,Heron,,fixed_wing,monoplane,civilian,commercial_transport,,de Havilland Heron four-engined feederliner. The survey list this entry comes from mislabels the type DH-14.,DH114; Heron,HARS Parkes Aviation Museum,on_display
de Havilland Canada,DHC-4,,A4-275,Caribou,,fixed_wing,monoplane,military,transport,,Ex-RAAF Caribou at the HARS Parkes annexe.,DHC4; Caribou,HARS Parkes Aviation Museum,on_display
Fairey,Firefly,AS.6,,,,fixed_wing,monoplane,military,recon,,Cockpit section only; no identity published for this section.,Firefly; Fairey Firefly,HARS Parkes Aviation Museum,on_display
Fokker,100,,VH-NHO,,,fixed_wing,monoplane,civilian,commercial_transport,,Fokker 100 regional jet at the HARS Parkes annexe.,F100; Fokker 100,HARS Parkes Aviation Museum,on_display
Government Aircraft Factories,Jindivik,Mk 2,A92-22,,,fixed_wing,monoplane,military,drone,,"Australian-built target drone, formerly on a pole at the gate of the Jervis Bay Range Facility, then on loan to Australia Museum of Flight at Nowra in 2017-18 and donated to the HARS annexe at Parkes. Repainted in a later dayglo scheme; no constructor plate located.",Jindivik,HARS Parkes Aviation Museum,on_display
Lockheed,AP-3,C,A9-759,Orion,,fixed_wing,monoplane,military,recon,,"Handed over to the Parkes Aviation Museum, a HARS annexe, on 19 April 2018; serves as a static display and a spares source for the HARS flying Orion A9-753.",AP3; AP3C; P-3; P3; Orion,HARS Parkes Aviation Museum,on_display
Lockheed,12,A,VH-BHH,Electra Junior,,fixed_wing,monoplane,civilian,private,,Lockheed Model 12A Electra Junior.,L12; Electra Junior; Lockheed 12A,HARS Parkes Aviation Museum,on_display
Lockheed,SP-2,H,A89-272,Neptune,,fixed_wing,monoplane,military,recon,,"Ex-RAAF Neptune used as a spares source in the restoration of A89-280, which replaced it as a gate guard in October 2012. Offered for disposal in 2015 and donated to HARS in February 2016 for display at Parkes.",SP2; SP2H; Neptune,HARS Parkes Aviation Museum,on_display
Lockheed,SP-2,H,A89-302,Neptune,,fixed_wing,monoplane,military,recon,,"Ex-RAAF Neptune, a training aid at RSTT Wagga Wagga and then in storage at Point Cook for the RAAF Museum; gifted to HARS in June 2018. Listed by one survey as an MR.5.",SP2; SP2H; Neptune,HARS Parkes Aviation Museum,on_display
North American,AT-6,D,NZ1060,Harvard,,fixed_wing,monoplane,military,trainer,,Ex-Royal New Zealand Air Force Harvard III registered VH-SFY.,AT6; AT6D; Harvard; VH-SFY; T-6; T6,HARS Parkes Aviation Museum,on_display
PZL-Mielec,TS-11,bis-B,816,Iskra,,fixed_wing,monoplane,military,trainer,,Ex-Polish Air Force Iskra jet trainer registered VH-ADG and carrying Polish number 816. The same airframe also appears in an Albion Park inventory; it is recorded here once only.,TS11; Iskra; VH-ADG,HARS Parkes Aviation Museum,on_display
Westland,Wessex,HAS.31B,N7-203,,,rotary_wing,,military,recon,,"Ex-Royal Australian Navy Wessex, instructional airframe at HMAS Nirimba from 1987 and a training aid at RSTT Wagga from 1994; returned to the Fleet Air Arm Museum by road on 7 December 2015 and now with the HARS collection at Parkes.",Wessex,HARS Parkes Aviation Museum,on_display
