name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
HARS Aviation Museum,Albion Park Rail,NSW,Australia,2527,Oceania,"Airport Road, Shellharbour Airport, Albion Park Rail",https://hars.org.au/,public,-34.5611,150.7892
HARS Parkes Aviation Museum,Parkes,NSW,Australia,2870,Oceania,"Muzycuk Drive, Parkes Airport",https://hars.org.au/parkes/,public,-33.1339,148.2386
Fighter World,Williamtown,NSW,Australia,2314,Oceania,"49 Medowie Road, RAAF Base Williamtown",https://www.fighterworld.com.au/,public,-32.8030,151.8504
Temora Aviation Museum,Temora,NSW,Australia,2666,Oceania,"1 Tom Moon Avenue, Temora Aerodrome",https://www.aviationmuseum.com.au/,public,-34.4219,147.5122
Fleet Air Arm Museum,Nowra Hill,NSW,Australia,2540,Oceania,"489A Albatross Road, HMAS Albatross",https://www.navy.gov.au/fleet-air-arm-museum,public,-34.9497,150.5369
HMAS Albatross,Nowra Hill,NSW,Australia,2540,Oceania,"Albatross Road, Naval Air Station Nowra",,restricted,-34.9445,150.5403
Camden Museum of Aviation,Narellan,NSW,Australia,2567,Oceania,"Aerodrome Road, Narellan",http://www.camdenmuseumofaviation.com.au/,restricted,-34.0419,150.7377
Narromine Aviation Museum,Narromine,NSW,Australia,2821,Oceania,"Narromine Aerodrome, Mitchell Highway",http://narromineaviationmuseum.org.au/,public,-32.2169,148.2250
Evans Head Memorial Aerodrome Heritage Aviation Museum,Evans Head,NSW,Australia,2473,Oceania,"Memorial Aerodrome, Memorial Airport Drive",https://ehham.org.au/,public,-29.0997,153.4256
RAAF Wagga Aviation Heritage Centre,Forest Hill,NSW,Australia,2651,Oceania,"Sturt Highway, RAAF Base Wagga",https://www.airforce.gov.au/community/visit-and-learn/heritage-centres/raaf-base-wagga-heritage-centre,public,-35.1494,147.4677
Powerhouse Museum,Ultimo,NSW,Australia,2007,Oceania,"500 Harris Street, Ultimo",https://powerhouse.com.au/,public,-33.8783,151.1993
Australian National Maritime Museum,Pyrmont,NSW,Australia,2009,Oceania,"2 Murray Street, Darling Harbour",https://www.sea.museum/,public,-33.8697,151.1985
Australian Army Infantry Museum,Singleton,NSW,Australia,2330,Oceania,"Lone Pine Barracks, School of Infantry",,restricted,-32.6024,151.1133
Royal Flying Doctor Service Broken Hill Visitor Experience,Broken Hill,NSW,Australia,2880,Oceania,"Broken Hill Airport, Airport Road",https://www.flyingdoctor.org.au/,public,-32.0063,141.4709
Holsworthy Barracks,Holsworthy,NSW,Australia,2173,Oceania,Holsworthy Barracks,,restricted,-33.9736,150.9537
Woolgoolga RSL Club,Woolgoolga,NSW,Australia,2456,Oceania,"Beach Street, Woolgoolga",,public,-30.1132,153.1934
Nyngan Iroquois Memorial,Nyngan,NSW,Australia,2825,Oceania,Nyngan township,,public,-31.5629,147.1966
Forbes Vampire Memorial,Forbes,NSW,Australia,2871,Oceania,Forbes township,,public,-33.3788,147.9534
Corowa RSL Club,Corowa,NSW,Australia,2646,Oceania,Corowa RSL Club,,public,-35.9952,146.3861
Wingham Vampire Memorial,Wingham,NSW,Australia,2429,Oceania,Wingham township,,public,-31.8650,152.3678
Wagga Wagga Vampire Memorial,Wagga Wagga,NSW,Australia,2650,Oceania,"Public park, Wagga Wagga",,public,-35.1291,147.3575
Mulwala RSL Club,Mulwala,NSW,Australia,2647,Oceania,"Melbourne Street, Mulwala",,public,-36.0014,146.0018
Amaroo Tavern,Moree,NSW,Australia,2400,Oceania,"Amaroo Tavern, Moree",,public,-29.4838,149.8452
Nowra Bridge Iroquois Memorial,Nowra,NSW,Australia,2541,Oceania,"Shoalhaven River bridge approach, Nowra",,public,-34.8741,150.6005
