name,level,lat,lon,matched
Museu do Expedicionário,city,-25.42960,-49.27127,"Curitiba, Paraná, Região Sul, Brasil"
Museu Asas de um Sonho,city,-23.26378,-47.29985,"Itu, São Paulo, Região Sudeste, Brasil"
Museu EPCAR Turma 73/AFA/76,city,-4.26152,-38.93397,"Guaramiranga, Ceará, Região Nordeste, 62766-000, Brasil"
Museu de Cabangu - Casa Natal de Santos Dumont,city,-21.45615,-43.55227,"Santos Dumont, Minas Gerais, Região Sudeste, 36240-000, Brasil"
"Centro de Aquisições Específicas F-5B Display, Ilha do Governador",city,-22.91101,-43.20937,"Rio de Janeiro, Região Sudeste, Brasil"
"Comando-Geral do Corpo de Fuzileiros Navais AF-1 Display, Rio de Janeiro",city,-22.91101,-43.20937,"Rio de Janeiro, Região Sudeste, Brasil"
"Brigada de Infantaria Paraquedista Aircraft Displays, Vila Militar",address,-22.86219,-43.40062,"Vila Militar, Estrada São Pedro de Alcântara, Vila Militar, Rio de Janeiro, Região Sudeste, 21615-220, Brasil"
Museu da Aviação Naval,city,-22.78128,-42.12004,"São Pedro da Aldeia, Rio de Janeiro, Região Sudeste, Brasil"
Base Aérea Naval de São Pedro da Aldeia Displays,city,-22.78128,-42.12004,"São Pedro da Aldeia, Rio de Janeiro, Região Sudeste, Brasil"
"CENIPA Headquarters Aircraft Displays, Brasília",city,-15.79399,-47.88280,"Brasília, Plano Piloto, Distrito Federal, Região Centro-Oeste, 70391-900, Brasil"
"COMDABRA Mirage III Display, Brasília",address,-15.77070,-47.92267,"Setor Militar Urbano, Brasília, Plano Piloto, Distrito Federal, Região Centro-Oeste, Brasil"
"CINDACTA IV Gate Guard, Manaus",address,-2.98344,-60.04415,"Avenida do Turismo, Tarumã-Açú, Manaus, Amazonas, Região Norte, 69000-000, Brasil"
"Comando Militar da Amazônia C-115 Display, Manaus",address,-3.07132,-60.09134,"Avenida Coronel Teixeira, Ponta Negra, Manaus, Amazonas, Região Norte, 69000-000, Brasil"
"II COMAR Aircraft Displays, Recife",address,-8.14716,-34.90954,"Segundo Comando Aéreo Regional, Boa Viagem, Recife, Pernambuco, Região Nordeste, Brasil"
Hospital de Aeronáutica de Recife AT-26 Display,city,-8.05849,-34.88482,"Recife, Pernambuco, Região Nordeste, Brasil"
Colégio Militar do Recife AT-26 Display,city,-8.05849,-34.88482,"Recife, Pernambuco, Região Nordeste, Brasil"
"Escola Preparatória de Cadetes do Ar Aircraft Displays, Barbacena",address,-21.23495,-43.73599,"Rua Santos Dumont, Vilela, Galego, Barbacena, Minas Gerais, Região Sudeste, 36205-126, Brasil"
Parque de Material Aeronáutico de Lagoa Santa Aircraft Displays,address,-19.65816,-43.90585,"Avenida Brigadeiro Eduardo Gomes, Vila Presidentes, Lagoa Santa, Minas Gerais, Região Sudeste, 33239-876, Brasil"
"COMGAP Headquarters AMX Display, São Paulo",address,-23.51610,-46.65049,"Avenida Olavo Fontoura, Santana, São Paulo, Região Sudeste, 02510-020, Brasil"
Memorial Aeroespacial Brasileiro,city,-23.18678,-45.88545,"São José dos Campos, Eugênio de Melo, São Paulo, Região Sudeste, Brasil"
Colégio Militar de Curitiba AMX Display,city,-25.42960,-49.27127,"Curitiba, Paraná, Região Sul, Brasil"
"Aeroporto de Itacoatiara C-46 Commando, Itacoatiara",city,-3.14779,-58.44610,"Itacoatiara, Amazonas, Região Norte, Brasil"
"Praia do Avião ATR 42, Manaus",city,-3.13163,-59.98250,"Manaus, Amazonas, Região Norte, 69000-000, Brasil"
"Praça Túlio Azevedo Aircraft, Tefé",address,-3.34517,-64.70765,"Praça Túlio Azevedo, Tefé, Amazonas, Região Norte, Brasil"
"Praça do Avião ATR 72, Altamira",city,-3.20406,-52.20996,"Altamira, Pará, Região Norte, Brasil"
"Aeroporto de Carajás DC-3 Monument, Parauapebas",city,-6.06968,-49.89033,"Parauapebas, Pará, Região Norte, Brasil"
"Praça Umuarama Xavante Monument, Porto Nacional",address,-10.69309,-48.41024,"Praça Umuarama, Porto Nacional, Tocantins, Região Norte, 77500-000, Brasil"
"Avenida João Alencar Xavante Monument, Boa Vista",city,2.82085,-60.67196,"Boa Vista, Roraima, Região Norte, Brasil"
"Mirante Arthur Ramos EMB-120, Pilar",city,-9.60167,-35.95113,"Pilar, Alagoas, Região Nordeste, 57150-000, Brasil"
"Praça do Avião Gloster Meteor, Salvador",city,-12.98225,-38.48128,"Salvador, Bahia, Região Nordeste, Brasil"
"Praça Orungan Mirage III Monument, Salvador",city,-12.98225,-38.48128,"Salvador, Bahia, Região Nordeste, Brasil"
"Praça do Avião Learjet, Luís Eduardo Magalhães",city,-12.08691,-45.78342,"Luís Eduardo Magalhães, Bahia, Região Nordeste, Brasil"
"Praça Pinto Martins Xavante, Camocim",city,-2.90099,-40.84274,"Camocim, Ceará, Região Nordeste, 62400-000, Brasil"
"Praça do Aviador T-27 Tucano, Umirim",city,-3.67777,-39.34873,"Umirim, Ceará, Região Nordeste, 62660-000, Brasil"
"Apoena Ecopark DC-3, Pacatuba",address,-3.98649,-38.62120,"Apoena Ecopark, 2170, Rua Major Crisanto de Almeida, Centro, Pacatuba, Ceará, Região Nordeste, 61801-180, Brasil"
"Genesis Park Boeing 727, Guaraciaba do Norte",city,-4.16329,-40.74960,"Guaraciaba do Norte, Ceará, Região Nordeste, 62380-000, Brasil"
"CavePark Boeing 737, Maracanaú",city,-3.87794,-38.62477,"Maracanaú, Ceará, Região Nordeste, Brasil"
"Parque Águas do Cariri ATR 42, Missão Velha",city,-7.24849,-39.14348,"Missão Velha, Ceará, Região Nordeste, 63200-000, Brasil"
"Sport Club do Recife Jet Monument, Recife",address,-8.06169,-34.90393,"Sede Social do Sport Club do Recife, Avenida Sport Club do Recife, Paissandu, Recife, Pernambuco, Região Nordeste, 50750"
"Posto Marrone HS-125 Display, Recife",city,-8.05849,-34.88482,"Recife, Pernambuco, Região Nordeste, Brasil"
"Lago João Barbosa Xavante Monument, Triunfo",city,-7.83630,-38.10426,"Triunfo, Pernambuco, Região Nordeste, 56870-000, Brasil"
"Praça dos Três Poderes Xavante, Florânia",city,-6.12687,-36.81832,"Florânia, Rio Grande do Norte, Região Nordeste, Brasil"
"Aeroporto de Mossoró Xavante Roundabout, Mossoró",city,-5.19043,-37.34439,"Mossoró, Rio Grande do Norte, Região Nordeste, Brasil"
"Praça Félix Gomes Xavante, Parelhas",city,-6.69137,-36.65845,"Parelhas, Rio Grande do Norte, Região Nordeste, 59360-000, Brasil"
Clube de Aeronáutica de Brasília Aircraft Displays,city,-15.79399,-47.88280,"Brasília, Plano Piloto, Distrito Federal, Região Centro-Oeste, 70391-900, Brasil"
"Clube dos Suboficiais e Sargentos da Aeronáutica Mirage, Brasília",city,-15.79399,-47.88280,"Brasília, Plano Piloto, Distrito Federal, Região Centro-Oeste, 70391-900, Brasil"
"Avião de Taguatinga Boeing 767, Taguatinga",address,-15.83696,-48.09047,"Avenida Elmo Serejo, Centro Metropolitano, Taguatinga, Distrito Federal, Região Centro-Oeste, 72215-092, Brasil"
"Praça Americano do Brasil Mirage III, Anápolis",address,-16.32401,-48.95625,"Praça Americano do Brasil ( Praça do Avião), Setor Central, Anápolis, Goiás, Região Centro-Oeste, Brasil"
"BR-414 Air Base Access Mirage III, Anápolis",city,-16.33328,-48.95258,"Anápolis, Goiás, Região Centro-Oeste, Brasil"
"Praça Tenente Diomar Meneses F-5 Monument, Jataí",city,-17.88562,-51.72030,"Jataí, Goiás, Região Centro-Oeste, Brasil"
"Auto Posto DDD EMB-120, Simolândia",city,-14.47333,-46.48328,"Simolândia, Goiás, Região Centro-Oeste, Brasil"
"Praça Cel Av Chaves Filho T-6 Monument, Campo Grande",city,-20.46402,-54.61629,"Campo Grande, Mato Grosso do Sul, Região Centro-Oeste, Brasil"
"Praça da Cultura DC-3, Alta Floresta",address,-9.86822,-56.08292,"Praça da Cultura, Canteiro Central, Alta Floresta, Mato Grosso, Região Centro-Oeste, Brasil"
"Praça Siegfried Roewer DC-3, Canarana",city,-13.55646,-52.26912,"Canarana, Mato Grosso, Região Centro-Oeste, 78640-000, Brasil"
"Restaurante Avião Bandeirante, Cuiabá",city,-15.59867,-56.09913,"Cuiabá, Mato Grosso, Região Centro-Oeste, Brasil"
Aeroporto de Santo Antônio do Leverger Boeing 727,address,-15.84980,-56.08614,"Aeroporto de Santo Antônio de Leverger, Beco do Caju, Santo Antônio de Leverger, Mato Grosso, Região Centro-Oeste, 78184"
Aeroporto de Sorriso Mirage III,address,-12.47872,-55.67213,"Aeroporto Regional de Sorriso, BR-163, Sorriso, Mato Grosso, Região Centro-Oeste, Brasil"
"Praça do Rosário F-5 Monument, Carandaí",city,-20.95239,-43.80439,"Carandaí, Prefeitura Municipal de Carandaí, Minas Gerais, Região Sudeste, 36280-000, Brasil"
"Beer 737 Airline Bar, Caratinga",city,-19.79009,-42.14053,"Caratinga, Minas Gerais, Região Sudeste, Brasil"
"Shopping do Avião Boeing 737, Contagem",city,-19.91327,-44.08410,"Contagem, Minas Gerais, Região Sudeste, Brasil"
"Praça do Avião Bandeirante, Espera Feliz",city,-20.64942,-41.90807,"Espera Feliz, Minas Gerais, Região Sudeste, 36830-000, Brasil"
"Praça do Soldado Super Puma Monument, Itajubá",city,-22.42382,-45.45242,"Itajubá, Minas Gerais, Região Sudeste, Brasil"
Mercadão de Lagoa Santa Boeing 737,city,-19.63574,-43.89661,"Lagoa Santa, Minas Gerais, Região Sudeste, Brasil"
"Pousada Viviê EMB-120 Brasília, Monte Verde",city,-22.75528,-46.14444,"Camanducaia, Minas Gerais, Região Sudeste, Brasil"
Trevo de Nanuque Boeing 737,city,-17.83939,-40.34946,"Nanuque, Minas Gerais, Região Sudeste, 39860-000, Brasil"
"Trevo de Paraguaçu T-6 Monument, Paraguaçu",city,-21.54722,-45.73750,"Paraguaçu, Minas Gerais, Região Sudeste, 37120-000, Brasil"
"Aero Sofiste Gulfstream I, Divino de São Lourenço",city,-20.62246,-41.68531,"Divino de São Lourenço, Espírito Santo, Região Sudeste, 29590-000, Brasil"
"Praça do Avião A-1 AMX, Ilha do Governador",city,-22.91101,-43.20937,"Rio de Janeiro, Região Sudeste, Brasil"
"Fazenda Gamela Eco Resort Hercules, Cantagalo",city,-21.86740,-42.30624,"Cantagalo, Rio de Janeiro, Região Sudeste, Brasil"
"Ipiabas Boeing 727, Barra do Piraí",city,-22.47034,-43.82633,"Barra do Piraí, Rio de Janeiro, Região Sudeste, Brasil"
