name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Museu Aeroespacial,Rio de Janeiro,Rio de Janeiro,Brazil,21740-000,South America,"Av. Marechal Fontenelle 2000, Campo dos Afonsos, Rio de Janeiro - RJ",https://www2.fab.mil.br/musal/,public,-22.8797,-43.3871
"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",Bebedouro,São Paulo,Brazil,14700-000,South America,"Praça Santos Dumont 300, Centro, Bebedouro - SP",,public,-20.9518,-48.4747
Museu Catavento,São Paulo,São Paulo,Brazil,03003-060,South America,"Av. Mercúrio 250, Parque Dom Pedro II, Brás, São Paulo - SP",https://museucatavento.org.br,public,-23.5444,-46.6273
Museu Militar Brasileiro,Panambi,Rio Grande do Sul,Brazil,98280-000,South America,"BR-285 km 420, 700, Linha Ocearú, Panambi - RS",https://museumilitarpanambi.com.br/,public,-28.3422,-53.5428
Museu do Expedicionário,Curitiba,Paraná,Brazil,80060-180,South America,"Rua Comendador Macedo 5000 (Praça do Expedicionário), Alto da XV, Curitiba - PR",http://www.museudoexpedicionario.5rm.eb.mil.br/,public,-25.42960,-49.27127
Museu Asas de um Sonho,Itu,São Paulo,Brazil,,South America,"Centro Cultural Fábrica São Pedro, Rua Padre Bartolomeu Tadei 9, Vila São Francisco, Itu - SP",,public,-23.26378,-47.29985
Museu EPCAR Turma 73/AFA/76,Guaramiranga,Ceará,Brazil,,South America,"Eco Hotel Vale das Nuvens, Guaramiranga - CE",https://www.museuepcarguaramiranga.com.br/,public,-4.26152,-38.93397
Museu de Cabangu - Casa Natal de Santos Dumont,Santos Dumont,Minas Gerais,Brazil,36240-000,South America,"Rodovia MG-499 km 16, Distrito de Mantiqueira (Cabangu), Santos Dumont - MG",https://fundacaocasadecabangu.com.br,public,-21.45615,-43.55227
Espaço Cultural da Marinha,Rio de Janeiro,Rio de Janeiro,Brazil,,South America,"Av. Alfred Agache s/n (Orla Conde, between Praça XV and Candelária), Centro, Rio de Janeiro - RJ",https://www.marinha.mil.br/dphdm/,public,-22.9003,-43.1750
"Sítio do Carroção DC-3, Tatuí",Tatuí,São Paulo,Brazil,,South America,"Sítio do Carroção, Rodovia SP-127 (Tatuí-Itapetininga), Tatuí - SP",https://carrocao.com/,appointment,-23.3606,-47.9409
Base Aérea de Santa Cruz Aircraft Displays,Rio de Janeiro,Rio de Janeiro,Brazil,,South America,"Rua do Imperador s/n, Santa Cruz, Rio de Janeiro - RJ",,restricted,-22.9328,-43.7194
Base Aérea do Galeão Gate Guard,Rio de Janeiro,Rio de Janeiro,Brazil,,South America,"Estrada do Galeão, Ilha do Governador, Rio de Janeiro - RJ",,restricted,-22.8100,-43.2506
"Centro de Aquisições Específicas F-5B Display, Ilha do Governador",Rio de Janeiro,Rio de Janeiro,Brazil,,South America,"Estrada do Galeão, Ilha do Governador, Rio de Janeiro - RJ",,restricted,-22.91101,-43.20937
