manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Saab,90,A-2,PP-SQR,Scandia,,fixed_wing,monoplane,civilian,commercial_transport,,"VASP Saab 90A-2 Scandia (c/n 90115), the only surviving Scandia in the world; outdoors at the museum since the 1970s.",Saab 90; Scandia; Saab90; c/n 90115; 90A2,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
Vickers,Viscount,701,PP-SRO,,,fixed_wing,monoplane,civilian,commercial_transport,1955,"Vickers Viscount 701 (c/n 64, ex BEA G-ANHD) flown by VASP 1962-69; at the museum since 1974.",Viscount 701; V.701; G-ANHD; c/n 64; GANHD,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
Convair,CV-240,,PP-VDG,,,fixed_wing,monoplane,civilian,commercial_transport,,"Convair 240-2 (c/n 67, ex N90666 Northeast Airlines) flown by Varig/Real as PP-VDG; outdoors at the museum.",CV240; Convair 240; N90666; c/n 240-67,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
Curtiss,C-46,A,PP-VCE,Commando,,fixed_wing,monoplane,civilian,commercial_transport,1944,"Curtiss C-46A (c/n 30656, ex USAAF 42-101201) converted to a Smith Super 46C for Varig as PP-VCE; to the museum 11 Oct 1978 from TABA.",Super 46C; C46A; CW-20; CW20; 42-101201; c/n 30656; C46,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
Douglas,DC-3,,PP-VBK,,,fixed_wing,monoplane,civilian,commercial_transport,,"Douglas C-47B-15-DK (c/n 15378/26823, ex USAAF 43-49562, N4667V) flown by Varig as PP-VBK and given to the museum; the aircraft that brought the 1958 World Cup squad home is claimed by the museum to be this DC-3 - unverified.",C-47B; DC3; C47B; 43-49562; N4667V; c/n 15378,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
Douglas,DC-6,A,PP-LFB,,,fixed_wing,monoplane,civilian,commercial_transport,1958,"Douglas DC-6A/C (c/n 45528) delivered to Lóide Aéreo Nacional Dec 1958, then Panair do Brasil and VASP; outdoors at the museum since 1977.",DC6A; DC-6A/C; c/n 45528; DC6A/C; DC6,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
Lockheed,18,,PT-CGV,Lodestar,,fixed_wing,monoplane,civilian,transport,,"Lockheed 18-56 Lodestar / C-60 (c/n 18-2190, ex N74659) PT-CGV, displayed outdoors (Wikipedia photo).",C-60; Lodestar; C60; Lockheed 18-56; N74659; c/n 18-2190; Lockheed1856,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
North American,B-25,J,5070,Mitchell,,fixed_wing,monoplane,military,bomber,1944,"B-25J (c/n 108-32775, ex USAAF 44-29500) converted to a CB-25J VIP transport, FAB 5097 then 5070; displayed outdoors.",B25J; CB-25J; CB25J; 5097; 44-29500; c/n 108-32775; B25,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
Sikorsky,S-51,,,Dragonfly,,rotary_wing,,military,utility,,"Sikorsky S-51 / H-5 Dragonfly helicopter listed in the museum's aircraft collection (Wikipedia, UNESP survey); serial not published.",H-5; Dragonfly; H5; S51,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
Gloster,F-8,,4409,Meteor,,fixed_wing,monoplane,military,fighter,,"Gloster Meteor F.8 FAB 4409, withdrawn 3 Aug 1967 and preserved at Bebedouro (historiadafab.rudnei.cunha.nom.br fate list; Ogden survivors list). First of two Meteors at the museum; needs an on-site check that both survive after the 1984/2006 floods.",Meteor F.8; F8; Meteor F8,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
Gloster,F-8,,4442,Meteor,,fixed_wing,monoplane,military,fighter,,"Gloster Meteor F.8 FAB 4442, withdrawn 11 Dec 1967 and preserved at Bebedouro (historiadafab fate list; Ogden survivors list). Second of two Meteors at the museum.",Meteor F.8; F8; Meteor F8,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
Lockheed,TF-33,A,,Shooting Star,,fixed_wing,monoplane,military,trainer,,Lockheed T-33A ('AT 33') on loan from the Air Ministry (Recife) to the museum; serial not published.,T-33A; TF33A; T33A; AT-33; AT33; TF33,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
Douglas,B-26,,,Invader,,fixed_wing,monoplane,military,bomber,,"Douglas A-26/B-26 Invader painted '5176' reported at Bebedouro by enthusiast lists (Pass 2 notes); not in the Wikipedia collection summary - painted serial only, unverified.",A-26; B26; A26; 5176,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",in_storage
Fairchild,PT-19,,,Cornell,,fixed_wing,monoplane,military,trainer,,"Fairchild PT-19 donated by the Ministério da Aeronáutica, displayed in the hangar (Wikipedia photo).",PT19; M-62; M62; Cornell,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
Rearwin,Sportster,,,,,fixed_wing,monoplane,civilian,private,1938,"1938 Rearwin monoplane in the museum's light-aircraft group (Wikipedia, UNESP survey); model and registration not published.",Rearwin,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
CAP,CAP-4,,,Paulistinha,,fixed_wing,monoplane,civilian,trainer,,CAP-4 Paulistinha in the museum's light-aircraft group; registration not published.,CAP4; Paulistinha,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
North American,T-6,,,Texan,,fixed_wing,monoplane,military,trainer,,First of two North American T-6 Texans at the museum; serials not published (1339 is quoted for one of them by enthusiast lists).,T6; Texan; 1339,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
North American,T-6,,,Texan,,fixed_wing,monoplane,military,trainer,,Second of two North American T-6 Texans at the museum; serial not published.,T6; Texan; second example,"Museu de Armas, Veículos e Máquinas Eduardo André Matarazzo",on_display
