name,city,state_province,country,postal_code,region,address,website,latitude,longitude
Alameda Naval Air Museum,Alameda,California,United States,94501,North America,"2151 Ferry Point, Building 77",https://alamedanavalairmuseum.org,,
"USS Hornet Sea, Air & Space Museum",Alameda,California,United States,94501,North America,707 W Hornet Ave,https://uss-hornet.org,37.77254,-122.30284
Golden Age Flight Museum,Tehachapi,California,United States,93561,North America,Tehachapi Municipal Airport,https://goldenageflightmuseum.org,,
Boron Aerospace Museum,Boron,California,United States,93516,North America,26922 Twenty Mule Team Rd,https://www.boronaerospacemuseum.org,34.9993,-117.6513
Commemorative Air Force Southern California Wing Museum,Camarillo,California,United States,93010,North America,455 Aviation Drive,https://www.cafsocal.com,34.20994,-119.08175
Chico Air Museum,Chico,California,United States,95973,North America,165 Ryan Avenue,https://www.chicoairmuseum.org,39.79528,-121.85833
China Lake Museum,Ridgecrest,California,United States,93555,North America,130 E Las Flores Ave,https://www.chinalakemuseum.org,35.6299,-117.6682
Planes of Fame Air Museum,Chino,California,United States,91710,North America,14998 Cal Aero Drive,https://planesoffame.org,33.98139,-117.63972
Yanks Air Museum,Chino,California,United States,91710,North America,15121 Stearman Drive,https://yanksair.org,33.97927,-117.64661
Tomorrow's Aeronautical Museum,Compton,California,United States,90220,North America,961 W Alondra Blvd,https://www.tamuseum.org,,
Air Force Flight Test Museum,Edwards,California,United States,93524,North America,405 S Rosamond Blvd,https://flighttestmuseum.org,34.912,-117.921
West Gate Century Circle,Edwards,California,United States,,North America,"Rosamond Blvd, Edwards AFB West Gate",https://flighttestmuseum.org,,
Air Group One Commemorative Air Force Museum,El Cajon,California,United States,92020,North America,"1915 N Marshall Ave, Hangar 13",https://ag1caf.org,,
Allen Airways Flying Museum,El Cajon,California,United States,92020,North America,2020 N Marshall Ave,https://www.allenairwaysflyingmuseum.com,32.82131,-116.97551
San Diego Air & Space Museum Gillespie Field Annex,El Cajon,California,United States,92020,North America,335 Kenney St,https://sandiegoairandspace.org/museum/gillespie-field-annex,32.82888,-116.96593
Warbirds West Air Museum,El Cajon,California,United States,92020,North America,1725 N Marshall Ave,,32.81818,-116.9758
National Training Center and 11th Armored Cavalry Regiment Museum,Fort Irwin,California,United States,92310,North America,"Building 222, 1st Street",https://home.army.mil/irwin,,
Prop and Jet Air Museum,Hemet,California,United States,92545,North America,4200 Walden Weaver Rd,https://propandjetairmuseum.org,33.73121,-117.01713
Battleship USS Iowa Museum,Los Angeles,California,United States,90731,North America,250 S Harbor Blvd,https://pacificbattleship.com,33.74235,-118.27952
California Science Center,Los Angeles,California,United States,90037,North America,700 Exposition Park Dr,https://californiasciencecenter.org,34.0181,-118.28525
Flight Path Learning Center and Museum,Los Angeles,California,United States,90045,North America,6661 W Imperial Hwy,https://flightpathlax.com,33.93143,-118.41836
The Proud Bird,Los Angeles,California,United States,90045,North America,11022 Aviation Blvd,https://www.theproudbird.com,33.93525,-118.37838
Aerospace Museum of California,McClellan Park,California,United States,95652,North America,3200 Freedom Park Dr,https://www.aerospaceca.org,38.67584,-121.38983
Hillier Air Museum,Modesto,California,United States,95354,North America,"700 Tioga Drive, Hangar 7",http://www.hillierairmuseum.com,37.6222,-120.9527
Mojave Air & Space Port Legacy Park,Mojave,California,United States,93501,North America,1434 Flightline,https://www.mojaveairport.com,35.0557,-118.151
Moffett Field Museum,Mountain View,California,United States,94035,North America,"Building 126, Severyns Avenue",https://www.moffettfieldmuseum.org,37.41127,-122.0541
Wings & Rotors Air Museum,Murrieta,California,United States,92563,North America,"37350 Sky Canyon Drive, Hangar 7",http://wingsandrotors.org,33.5712,-117.1238
Oakland Aviation Museum,Oakland,California,United States,94621,North America,8252 Earhart Road,https://www.oaklandaviationmuseum.org,37.7331,-122.21271
Joe Davies Heritage Airpark at Palmdale Plant 42,Palmdale,California,United States,93550,North America,2001 East Avenue P,https://www.cityofpalmdaleca.gov/205/Joe-Davies-Heritage-Airpark,34.60247,-118.08711
Estrella Warbirds Museum,Paso Robles,California,United States,93446,North America,4251 Dry Creek Road,https://www.ewarbirds.org,35.66389,-120.62
Classic Rotors Museum,Ramona,California,United States,92065,North America,2690 Montecito Road,https://rotors.org,33.04088,-116.9122
USS Midway Museum,San Diego,California,United States,92101,North America,910 N Harbor Drive,https://www.midway.org,32.71445,-117.17315
Wings of History Air Museum,San Martin,California,United States,95046,North America,12777 Murphy Avenue,https://www.wingsofhistory.org,37.07875,-121.60086
Lyon Air Museum,Santa Ana,California,United States,92707,North America,19300 Ike Jones Road,https://lyonairmuseum.org,33.67347,-117.8732
Museum of Flying,Santa Monica,California,United States,90405,North America,3100 Airport Avenue,https://www.museumofflying.org,34.01472,-118.44778
Aviation Museum of Santa Paula,Santa Paula,California,United States,93060,North America,800 E Santa Maria Street,https://www.aviationmuseumofsantapaula.org,34.34839,-119.06166
Pacific Coast Air Museum,Santa Rosa,California,United States,95403,North America,One Air Museum Way,https://pacificcoastairmuseum.org,38.50652,-122.80212
Minter Field Air Museum,Shafter,California,United States,93263,North America,401 Vultee Avenue,https://www.minterfieldairmuseum.com,35.5031,-119.1823
The American Military Museum,South El Monte,California,United States,91733,North America,1918 Rosemead Boulevard,https://tankland.com,34.05024,-118.06355
Stockton Field Aviation Museum,Stockton,California,United States,95206,North America,7432 C.E. Dixon Street,http://www.twinbeech.com/STOCKTON_FIELD_PAGE.htm,37.89066,-121.24301
Western Museum of Flight,Torrance,California,United States,90505,North America,3315 Airport Drive,https://wmof.com,33.8017,-118.3424
Travis Air Force Base Aviation Museum,Fairfield,California,United States,94535,North America,"461 Burgan Blvd, Building 80",https://www.travisafbaviationmuseum.org,38.26984,-121.93152
American Veterans Memorial,Tulare,California,United States,93274,North America,,,36.15667,-119.32667
