museum,approx_aircraft,collection_url,has_published_list
Alameda Naval Air Museum,,https://alamedanavalairmuseum.org/aircraft-gallery-fixed-wing/,yes
"USS Hornet Sea, Air & Space Museum",16,https://uss-hornet.org/exhibits/,yes
Golden Age Flight Museum,6,https://goldenageflightmuseum.org/collection/,yes
Boron Aerospace Museum,6,,no
Commemorative Air Force Southern California Wing Museum,17,https://www.cafsocal.com/our-aircrafts/,yes
Chico Air Museum,21,https://www.chicoairmuseum.org/about-4,yes
China Lake Museum,3,,no
Planes of Fame Air Museum,100,https://planesoffame.org/aircraft,yes
Yanks Air Museum,190,https://yanksair.org/collections/,yes
Tomorrow's Aeronautical Museum,,,no
Air Force Flight Test Museum,85,https://flighttestmuseum.org/aircraft-inventory-list/,yes
West Gate Century Circle,7,,no
Air Group One Commemorative Air Force Museum,1,,no
Allen Airways Flying Museum,2,,no
San Diego Air & Space Museum Gillespie Field Annex,25,https://sandiegoairandspace.org/collection/aircraft,yes
Warbirds West Air Museum,6,,no
National Training Center and 11th Armored Cavalry Regiment Museum,3,,no
Prop and Jet Air Museum,6,https://propandjetairmuseum.org/,yes
Battleship USS Iowa Museum,1,,no
California Science Center,6,https://californiasciencecenter.org/exhibits/air-and-space/collection,yes
Flight Path Learning Center and Museum,1,https://flightpathlax.com/museum-exhibits/,yes
The Proud Bird,7,,no
Aerospace Museum of California,40,https://www.aerospaceca.org/aircraft-collection,yes
Hillier Air Museum,,,no
Mojave Air & Space Port Legacy Park,6,,no
Moffett Field Museum,9,,no
Wings & Rotors Air Museum,6,,no
Oakland Aviation Museum,30,https://www.oaklandaviationmuseum.org/aircraft-on-display,yes
Joe Davies Heritage Airpark at Palmdale Plant 42,21,,no
Estrella Warbirds Museum,35,https://www.ewarbirds.org/aircraft/,yes
Classic Rotors Museum,45,https://rotors.org/our-collection,yes
USS Midway Museum,29,https://www.midway.org/visit/our-exhibits/flight-deck-exhibits,yes
Wings of History Air Museum,,https://www.wingsofhistory.org/aircraft-on-display/,yes
Lyon Air Museum,8,https://lyonairmuseum.org/exhibits/airplanes/,yes
Museum of Flying,12,https://www.museumofflying.org/explore/aircraft/,yes
Aviation Museum of Santa Paula,,,no
Pacific Coast Air Museum,35,https://pacificcoastairmuseum.org/museum-fleet-2/,yes
Minter Field Air Museum,,,no
The American Military Museum,1,,no
Stockton Field Aviation Museum,,,no
Western Museum of Flight,16,https://wmof.com/aircraft-displays/,yes
Travis Air Force Base Aviation Museum,34,https://www.travisafbaviationmuseum.org/aircraft,yes
American Veterans Memorial,2,,no
