manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Canadair,CT-133,Silver Star 3,133038,,,fixed_wing,monoplane,military,trainer,,"Natural aluminium with red nose, tail and tip tanks in Royal Canadian Navy markings, representing the CT-133 as flown at Shearwater in the 1950s and 1960s. Earlier serial 21038.",CT133; Silver Star; T-33; T33; T-Bird; 21038,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
Canadair,CT-133,Silver Star 3,133618,,,fixed_wing,monoplane,military,trainer,,Low-visibility camouflage grey as flown from Shearwater by 434 Squadron until 1994.,CT133; Silver Star; T-33; T33; T-Bird,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
Canadair,CF-116,D,116832,,,fixed_wing,monoplane,military,fighter,,"Two-seat CF-5D, silver, in 419 Squadron markings. First flew 14 February 1974, delivered to Cold Lake and later used by AETE and 419 Squadron; to 406 (Maritime Operational Training) Squadron at Shearwater as a training aid in June 2002. Kept in museum hangar 2 where training sessions may sometimes be viewed. Canadian Warplanes also lists 116832 at Cold Lake; the Shearwater provenance is the fuller one.",CF116; CF-5; CF5; Freedom Fighter; CF-5D; CF5D; CF116D,"Shearwater Aviation Museum, 12 Wing Shearwater",in_storage
Canadair,CT-114,Tutor,114075,,,fixed_wing,monoplane,military,trainer,,Recorded on site by the Aerial Visuals locator.,CT114; Tutor; CL-41; CL41,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
Fairey,Swordfish,Mk IV,HS469,,,fixed_wing,biplane,military,bomber,,"Recovered from an Ontario field and restored by naval aviation enthusiasts in the Toronto area, first flying again in April 1994 at CFB Shearwater as one of only four airworthy Swordfish then in the world, and donated to the museum. Civil registration C-GRCN.",Swordfish; C-GRCN; Stringbag,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
Fairey,Firefly,FR.1,PP462,,,fixed_wing,monoplane,military,fighter,,"Ex-Indian Navy Firefly, construction number F.6173, registered C-GRCN.",Firefly; PP462; C-GRCN,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
McDonnell,F2H,3,126402,,,fixed_wing,monoplane,military,fighter,,One of 39 Banshees bought from the US Navy; arrived at Shearwater in March 1957 and flew with VF 870 Squadron from Shearwater and from HMCS Bonaventure.,F2H; Banshee; F2H-3; F2H3,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
Grumman,TBM,3E,85861,,,fixed_wing,monoplane,military,bomber,,"Built as a TBM-3E by the Eastern Aircraft Division of General Motors at Trenton, New Jersey, and coded TFD. Later an Avenger AS.3 in Canadian service.",TBM; Avenger; TBM-3E; TBM3E,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
Grumman,TBM,3E,53610,,,fixed_wing,monoplane,military,bomber,,"Flown to the museum on 26 July 2012 as water bomber aircraft 23, civil registration C-FIMR.",TBM; Avenger; C-FIMR; TBM3E,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
Grumman,CS2F,1,1501,,,fixed_wing,monoplane,military,recon,,The first Canadian-built Tracker.,CP121; Tracker; CS2F; CS-2F; CS2F-1; CS2F1,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
de Havilland Canada,CP-121,Tracker,12157,,,fixed_wing,monoplane,military,recon,,Construction number DHC-056.,CP121; Tracker; CS2F; CS-2F,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
Sikorsky,CH-124,Sea King,4001,,,rotary_wing,,military,search_rescue,,"First Canadian Sea King, preserved at the museum.",CH124; Sea King; SH-3; SH3,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
Sikorsky,CH-124,Sea King,4031,,,rotary_wing,,military,search_rescue,,Preserved at the museum.,CH124; Sea King; SH-3; SH3,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
Sikorsky,CH-124,Sea King,4044,,,rotary_wing,,military,search_rescue,,Preserved at the museum.,CH124; Sea King; SH-3; SH3,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
Sikorsky,HO4S,3,55891,,,rotary_wing,,military,search_rescue,,"Horse helicopter, instructional airframe A740. Retired from naval duties on 8 May 1970 and used by the School of Aerospace Engineering at CFB Borden until 1985, then restored by New Brunswick Community College at Dieppe and presented to the museum on 26 August 1998.",HO4S; Horse; H-19; H19; S-55; S55,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
North American,Harvard,Mk II,2777,,,fixed_wing,monoplane,military,trainer,,"Royal Canadian Navy Harvard, construction number 66-2510.",Harvard 4; AT-16; AT16; T-6; T6,"Shearwater Aviation Museum, 12 Wing Shearwater",on_display
