manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Avro Canada,CF-100,Mk 5,18761,,,fixed_wing,monoplane,military,fighter,,Ex-No. 3 All-Weather Operational Training Unit Canuck preserved on 4 Wing.,CF100; Canuck; Clunk,4 Wing Cold Lake Air Park,on_display
McDonnell,CF-101,B,101056,,,fixed_wing,monoplane,military,fighter,,"Ex-USAF 57-0426, flown by 416 Squadron from CFB Chatham. Displayed on 4 Wing in 416 Squadron markings; carried a temporary camouflage scheme during Exercise Maple Flag in May 1981.",CF101; Voodoo; F-101B; F101B; 57-0426; CF101B,4 Wing Cold Lake Air Park,on_display
Canadair,CF-104,A,104872,,,fixed_wing,monoplane,military,fighter,,Mounted on a pylon on 4 Wing. A composite airframe; earlier RCAF serial 12872.,CF104; Starfighter; F-104; F104; 12872; CF104A,4 Wing Cold Lake Air Park,on_display
Canadair,CF-104,A,104816,,,fixed_wing,monoplane,military,fighter,,Mounted on a pylon on 4 Wing.,CF104; Starfighter; F-104; F104; CF104A,4 Wing Cold Lake Air Park,on_display
Canadair,CF-116,A,116736,,,fixed_wing,monoplane,military,fighter,,Displayed on 4 Wing in blue camouflage and 419 Squadron markings.,CF116; CF-5; CF5; Freedom Fighter; CF116A,4 Wing Cold Lake Air Park,on_display
Canadair,CT-133,Silver Star 3,133181,,,fixed_wing,monoplane,military,trainer,,Mounted on a pylon on 4 Wing; earlier RCAF serial 21181.,CT133; Silver Star; T-33; T33; T-Bird; 21181,4 Wing Cold Lake Air Park,on_display
Canadair,CT-133,Silver Star 3,133094,,,fixed_wing,monoplane,military,trainer,,Mounted on a pylon on 4 Wing in camouflage.,CT133; Silver Star; T-33; T33; T-Bird,4 Wing Cold Lake Air Park,on_display
Canadair,CT-133,Silver Star 3,133508,,,fixed_wing,monoplane,military,trainer,,Preserved on 4 Wing; earlier RCAF serial 21508.,CT133; Silver Star; T-33; T33; T-Bird; 21508,4 Wing Cold Lake Air Park,on_display
Canadair,CT-133,Silver Star 3,133353,,,fixed_wing,monoplane,military,trainer,,"Held in storage at Cold Lake, not on view.",CT133; Silver Star; T-33; T33; T-Bird,4 Wing Cold Lake Air Park,in_storage
Canadair,CT-133,Silver Star 3,21231,,,fixed_wing,monoplane,military,trainer,,"Held in storage at Cold Lake under its original RCAF serial, not on view. The post-unification serial would be 133231.",CT133; Silver Star; T-33; T33; T-Bird; 133231,4 Wing Cold Lake Air Park,in_storage
Canadair,CT-133,Silver Star 3,21146,,,fixed_wing,monoplane,military,trainer,,"Held in storage at Cold Lake under its original RCAF serial, not on view. The post-unification serial would be 133146.",CT133; Silver Star; T-33; T33; T-Bird; 133146,4 Wing Cold Lake Air Park,in_storage
Beechcraft,CT-134,Musketeer,134216,,,fixed_wing,monoplane,military,trainer,,Preserved on 4 Wing.,CT134; Musketeer; Beech Musketeer,4 Wing Cold Lake Air Park,on_display
Douglas,CC-129,Dakota,12959,,,fixed_wing,monoplane,military,transport,,"Named Pinocchio, preserved on 4 Wing.",CC129; Dakota; C-47; C47; DC-3; DC3,4 Wing Cold Lake Air Park,on_display
McDonnell Douglas,CF-188,B,188905,,,fixed_wing,monoplane,military,fighter,,Two-seat Hornet mounted on a pylon on 4 Wing.,CF188; Hornet; F/A-18; FA-18; CF188B; FA18,4 Wing Cold Lake Air Park,on_display
