manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Avro,Anson,Mk II,,,,fixed_wing,monoplane,military,trainer,,British Commonwealth Air Training Plan Anson rebuilt by the museum's volunteer restoration team from several airframes. Serial unresolved: recorded as RCAF 11567 by Wikipedia and as 886 by silverhawkauthor.,Anson Mk II; Anson II; Avro 652A,Alberta Aviation Museum,on_display
Avro Canada,CF-100,Mk 5D,100476,Canuck,,fixed_wing,monoplane,military,fighter,,"CF-100 Mk 5D c/n 376, on outdoor display beside the museum hangar. Also cited as 18476 in early-serial form.",CF100; Canuck; CF-100 Mk 5; 18476,Alberta Aviation Museum,on_display
Barkley-Grow,T8P-1,,CF-BLV,,,fixed_wing,monoplane,civilian,transport,,"Barkley-Grow T8P-1 c/n 3, a rare twin used on northern Canadian bush routes.",T8P-1; T8P1; Barkley Grow,Alberta Aviation Museum,on_display
Beechcraft,Expeditor,3NM,2366,,,fixed_wing,monoplane,military,transport,,"Ex-RCAF Expeditor 3NM 2366, c/n CA-245, later C-FRSX; bought surplus in 1966 by Walter Ross of Lethbridge Air Service.",Expeditor; Beech 18; C-45; C-FRSX; C45,Alberta Aviation Museum,on_display
Beechcraft,D18,S,C-FDSV,,,fixed_wing,monoplane,civilian,transport,,"Beech D18S c/n A-0025, ex-N745PD.",D18S; Beech 18; Twin Beech; N745PD,Alberta Aviation Museum,on_display
Bell,47,G,,,,rotary_wing,,civilian,utility,,Bell 47G assembled by the museum's volunteer restoration team from a frame and surplus parts under Pat Sauriol's direction.,Bell 47; 47G; Sioux,Alberta Aviation Museum,on_display
Bell,206,A,C-FQZB,JetRanger,,rotary_wing,,civilian,utility,,"Bell 206A JetRanger C-FQZB, restored and displayed in the markings of C-GDXC.",206A; JetRanger; Bell 206; C-GDXC,Alberta Aviation Museum,on_display
Bell,P-39,,,Airacobra,,fixed_wing,monoplane,military,fighter,,Airacobra restoration project in the museum's restoration area; to be finished in the Soviet markings of a Lend-Lease P-39 lost near Wetaskiwin in December 1942. Two P-39 projects are reported on site.,P39; P-39; Airacobra; Bell Model 26,Alberta Aviation Museum,under_restoration
Boeing,737,200,C-GIPW,,,fixed_wing,monoplane,civilian,commercial_transport,,Ex-Pacific Western Airlines Boeing 737-275 recorded on site by Aerial Visuals; silverhawkauthor gives the registration as C-GPIW. Registration transposition unresolved.,737-200; 737200; B737; 737-275,Alberta Aviation Museum,on_display
Boeing,CIM-10,B,60447,Bomarc,,missile_rocket,,military,surface_to_air,,CIM-10B Super Bomarc surface-to-air missile displayed inside the museum.,CIM10; CIM-10B; Bomarc; IM-99; CIM10B; IM99,Alberta Aviation Museum,on_display
Canadair,CT-133,Silver Star 3,133506,,,fixed_wing,monoplane,military,trainer,,"Canadair Silver Star, also cited as 21506; carries code PP-506.",CT133; T-33; T33; Silver Star; 21506,Alberta Aviation Museum,on_display
Canadair,CT-133,Silver Star 3,133533,,,fixed_wing,monoplane,military,trainer,,"Canadair Silver Star c/n T33-533, also cited as 21533, on outdoor display beside the hangar. Wikipedia records the airframe as 21146 marked as 21533; Aerial Visuals reads it as 21533 outright.",CT133; T-33; T33; Silver Star; 21533,Alberta Aviation Museum,on_display
