name,level,lat,lon,matched
Canadian Warplane Heritage Museum,address,43.15983,-79.92492,"Canadian Warplane Heritage Museum, 9280, Airport Road West, Mount Hope, Hamilton, Golden Horseshoe, Ontario, L"
National Air Force Museum of Canada,postcode,44.10820,-77.53032,"K0K 3W0, Sidney, Quinte West, Central Ontario, Ontario, Canada"
Canadian Bushplane Heritage Centre,address,46.50485,-84.32383,"Canadian Bushplane Heritage Centre, 50, Pim Street, Sault Ste. Marie, Algoma District, Northeastern Ontario, O"
Canadian Air and Space Conservancy,postcode,44.42020,-80.08773,"L0M 1S0, Clearview, Simcoe County, Central Ontario, Ontario, Canada"
Great War Flying Museum,address,43.75867,-79.87504,"Brampton-Caledon Airport, 13691, McLaughlin Road, Caledon, Peel Region, Golden Horseshoe, Ontario, L7C 3L7, Ca"
"Base31 Lancaster KB882 Display, Picton",address,43.99395,-77.14273,"Escape Camp Picton, 343, County Road 22, Picton, Prince Edward County, Central Ontario, Ontario, M4N 1A5, Cana"
Musée de la Défense aérienne de Bagotville,address,48.34023,-70.99101,"6513, Chemin des Aviateurs, Arrondissement de La Baie, Saguenay, Saguenay–Lac-Saint-Jean, Québec, G7B 3N8, Can"
Musée de l'aérospatiale du Québec,city,45.52191,-73.46446,"Longueuil, Agglomération de Longueuil, Montérégie, Québec, Canada"
Shearwater Aviation Museum,address,44.62778,-63.51465,"Shearwater Aviation Museum, 34, Bonaventure Street, CFB Shearwater, Shearwater, Halifax Regional Municipality,"
North Atlantic Aviation Museum,address,48.95254,-54.62265,"North Atlantic Aviation Museum, 135, Trans Canada Highway, Gander, Newfoundland, Newfoundland and Labrador, A1"
Reynolds-Alberta Museum,address,52.96229,-113.41557,"Collections Storage Facility, 6426, 40 Avenue, City of Wetaskiwin, Wetaskiwin, Alberta, T9A 3S8, Canada"
Canadian Museum of Flight,city,49.10393,-122.65705,"City of Langley, Metro Vancouver Regional District, British Columbia, Canada"
British Columbia Aviation Museum,city,48.65058,-123.39832,"Sidney, Capital Regional District, British Columbia, Canada"
Western Development Museum History of Transportation Moose Jaw,address,50.41964,-105.53054,"Western Development Museum, 50, Diefenbaker Drive, Grayson Industrial Park, Moose Jaw, Saskatchewan, S6J 1M4, "
Saskatchewan Aviation Museum,city,52.13180,-106.66077,"Saskatoon, Saskatchewan, Canada"
Prince of Wales Northern Heritage Centre,city,62.45408,-114.37739,"Yellowknife, North Slave Region, Northwest Territories, Canada"
4 Wing Cold Lake Air Park,address,54.41463,-110.26888,"Cold Lake Station Forces MPO, 167, Kingsway, 4 Wing, City of Cold Lake, Alberta, T9M 1P9, Canada"
"Greenwood Military Aviation Museum, 14 Wing Greenwood",postcode,44.96948,-64.93106,"B0P 1N0, CFB Greenwood, Kings County, Nova Scotia, Canada"
"Base Borden Military Museum, 16 Wing Borden",postcode,44.28660,-79.88646,"L0M 1C0, Essa, Simcoe County, Central Ontario, Ontario, Canada"
"Canadian Forces School of Aerospace Technology and Engineering, CFB Borden",postcode,44.28660,-79.88646,"L0M 1C0, Essa, Simcoe County, Central Ontario, Ontario, Canada"
"Canadian Forces Museum of Aerospace Defence, 22 Wing North Bay",postcode,46.32973,-79.48947,"P1B 9S7, North Bay, Nipissing District, Northeastern Ontario, Ontario, Canada"
"Labrador Military Museum, 5 Wing Goose Bay",postcode,53.17328,-59.64454,"A0P 1S0, Labrador, Newfoundland and Labrador, Canada"
8 Wing Trenton Gate Guardians,postcode,44.10820,-77.53032,"K0K 3W0, Sidney, Quinte West, Central Ontario, Ontario, Canada"
"Royal Military College of Canada Aircraft Displays, Kingston",postcode,44.23617,-76.46310,"K7K 7B4, Kingston, Eastern Ontario, Ontario, Canada"
CFB Kingston and 1 Wing Headquarters Displays,address,44.23735,-76.45803,"CFB Kingston PMQs, Kingston, Eastern Ontario, Ontario, K7K 5J7, Canada"
Base des Forces canadiennes Saint-Jean et Collège militaire royal de Saint-Jean,postcode,45.29754,-73.25228,"J3B 8R8, Saiint-Jean, Saint-Jean-sur-Richelieu, Le Haut-Richelieu, Montérégie, Québec, Canada"
2 Canadian Division Support Base Valcartier Displays,city,47.71304,-70.05277,"Courcelette, La Malbaie, Charlevoix-Est, Capitale-Nationale, Québec, G5A 2N1, Canada"
Garnison Saint-Hubert CH-136 Kiowa Display,postcode,45.51923,-73.40951,"J3Y 8Y9, Saint-Hubert, Longueuil, Agglomération de Longueuil, Montérégie, Québec, Canada"
"Musée du Corps royal canadien des munitions, Garnison Longue-Pointe",address,45.57676,-73.53168,"BFC Montréal - Garnison Montréal, 6560, Rue Hochelaga, Mercier, Mercier–Hochelaga-Maisonneuve, Montréal, Agglo"
Garrison Petawawa Military Museums,postcode,45.91267,-77.28186,"K8H 2X3, Petawawa, Renfrew County, Eastern Ontario, Ontario, Canada"
"CFB Edmonton Aircraft Displays, Namao",postcode,53.67020,-113.49135,"T5J 4J5, Sturgeon County, Alberta, Canada"
"Connaught Range and Primary Training Centre Displays, Ottawa",city,45.42088,-75.69011,"Ottawa, Eastern Ontario, Ontario, Canada"
