name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Canadian Warplane Heritage Museum,Mount Hope,Ontario,Canada,L0R 1W0,North America,9280 Airport Road,https://www.warplane.com/,public,43.15983,-79.92492
National Air Force Museum of Canada,Astra,Ontario,Canada,K0K 3W0,North America,220 RCAF Road,https://airforcemuseum.ca/,public,44.10820,-77.53032
Canadian Bushplane Heritage Centre,Sault Ste. Marie,Ontario,Canada,,North America,50 Pim Street,https://bushplane.com/,public,46.50485,-84.32383
Jet Aircraft Museum,London,Ontario,Canada,N5V 3Z9,North America,2465 Aviation Lane Unit 2,https://jetaircraftmuseum.ca/,public,43.03099,-81.15552
Canadian Air and Space Conservancy,Stayner,Ontario,Canada,L0M 1S0,North America,5195 Highway 26 East,https://www.avroarrow203.com/,appointment,44.42020,-80.08773
Great War Flying Museum,Caledon,Ontario,Canada,,North America,"Brampton-Caledon Airport, McLaughlin Road",https://greatwarflyingmuseum.org/,public,43.75867,-79.87504
"Base31 Lancaster KB882 Display, Picton",Picton,Ontario,Canada,,North America,343 County Road 22,https://www.base31.ca/,public,43.99395,-77.14273
Musée de la Défense aérienne de Bagotville,La Baie,Quebec,Canada,G7B 3N8,North America,6513 chemin des Aviateurs,https://museebagotville.ca/,public,48.34023,-70.99101
Musée de l'aviation de Montréal,Sainte-Anne-de-Bellevue,Quebec,Canada,,North America,"Macdonald Campus, McGill University, Lakeshore Road",https://www.mam.quebec/,public,45.4125388,-73.9416200
Musée de l'aérospatiale du Québec,Longueuil,Quebec,Canada,,North America,"Saint-Hubert Airport, École nationale d'aérotechnique",https://www.maq-qam.ca/,appointment,45.52191,-73.46446
Shearwater Aviation Museum,Shearwater,Nova Scotia,Canada,B0J 3A0,North America,34 Bonaventure Street,https://shearwateraviationmuseum.ca/,public,44.62778,-63.51465
Atlantic Canada Aviation Museum,Goffs,Nova Scotia,Canada,B2T 1K3,North America,20 Sky Boulevard,https://acamuseum.ca/,public,44.877069,-63.53323
North Atlantic Aviation Museum,Gander,Newfoundland and Labrador,Canada,A1V 1P6,North America,135 Trans Canada Highway,https://northatlanticaviationmuseum.com/,public,48.95254,-54.62265
Royal Aviation Museum of Western Canada,Winnipeg,Manitoba,Canada,R3H 0G3,North America,2088 Wellington Avenue,https://royalaviationmuseum.com/,public,49.8956,-97.2215
Alberta Aviation Museum,Edmonton,Alberta,Canada,T5G 0X4,North America,11410 Kingsway NW,https://albertaaviationmuseum.com/,public,53.5659,-113.5171
