manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Aerial Experiment Association,Silver Dart,,,,Silver Dart,fixed_wing,biplane,civilian,experimental,,Full-size replica of the 1909 Silver Dart. Not an original airframe.,AEA Silver Dart; Silver Dart,Canadian Bushplane Heritage Centre,on_display
Aeronca,11,Chief,C-FNGV,Chief,,fixed_wing,monoplane,civilian,private,,"Registered C-FNGV. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",Aeronca 11; 11AC; Chief,Canadian Bushplane Heritage Centre,on_display
Aeronca,7,Champion,CF-IHU,Champion,,fixed_wing,monoplane,civilian,private,,"Registered CF-IHU. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",Aeronca 7; 7AC; Champ; Champion,Canadian Bushplane Heritage Centre,on_display
Beechcraft,18,,CF-UWE,,,fixed_wing,monoplane,civilian,transport,,"Registered CF-UWE. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",Beech 18; D18; Twin Beech,Canadian Bushplane Heritage Centre,on_display
Beechcraft,C-45,Expeditor,CF-MJY,Expeditor,,fixed_wing,monoplane,civilian,transport,,"Registered CF-MJY. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",C45; C-45; Expeditor; Beech 18,Canadian Bushplane Heritage Centre,on_display
Bell,47,D,,,,rotary_wing,,civilian,utility,,"Bell 47D helicopter; registration recorded elsewhere as CF-ODM but not confirmed and left blank rather than guessed. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",Bell 47; 47D; H-13; Sioux; H13,Canadian Bushplane Heritage Centre,on_display
Buhl,CA-6,Air Sedan,CF-OAR,Air Sedan,,fixed_wing,biplane,civilian,utility,,"Registered CF-OAR; one of two Buhl Air Sedans in the collection. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",CA6; CA-6; Air Sedan; Buhl,Canadian Bushplane Heritage Centre,on_display
Buhl,CA-6,Air Sedan,CF-OAT,Air Sedan,,fixed_wing,biplane,civilian,utility,,"Registered CF-OAT; second of the museum's two Buhl Air Sedans. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",CA6; CA-6; Air Sedan; Buhl,Canadian Bushplane Heritage Centre,on_display
Canadair,CL-215,,F-ZBBT,,,fixed_wing,monoplane,civilian,utility,,"Water bomber carrying the French Sécurité Civile registration F-ZBBT. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",CL215; CL-215; Scooper,Canadian Bushplane Heritage Centre,on_display
Cessna,172,,C-FUGE,,,fixed_wing,monoplane,civilian,private,,"Registered C-FUGE. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",172; Cessna 172; Skyhawk,Canadian Bushplane Heritage Centre,on_display
de Havilland Canada,DHC-2,Beaver,CF-OBS,Beaver,,fixed_wing,monoplane,civilian,utility,,"Registered CF-OBS; an Ontario Provincial Air Service Beaver. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",DHC2; DHC-2; Beaver; OPAS,Canadian Bushplane Heritage Centre,on_display
de Havilland Canada,DHC-2,Turbo Beaver Mk III,CF-PSM-X,Turbo Beaver,,fixed_wing,monoplane,civilian,utility,,"Registered CF-PSM-X, the Turbo Beaver prototype. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",DHC2; DHC-2; Turbo Beaver; Beaver III,Canadian Bushplane Heritage Centre,on_display
de Havilland Canada,DHC-3,Otter,CF-ODU,Otter,,fixed_wing,monoplane,civilian,utility,,"Registered CF-ODU. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",DHC3; DHC-3; Otter,Canadian Bushplane Heritage Centre,on_display
de Havilland,D.H.83,C Fox Moth,C-FBNI,Fox Moth,,fixed_wing,biplane,civilian,utility,,"Replica DH.83C Fox Moth registered C-FBNI. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",DH83; DH.83; Fox Moth,Canadian Bushplane Heritage Centre,on_display
de Havilland,D.H.89,Dragon Rapide,C-FAYE,Dragon Rapide,,fixed_wing,biplane,civilian,transport,,"Registered C-FAYE. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",DH89; DH.89; Dragon Rapide; Rapide,Canadian Bushplane Heritage Centre,on_display
Fairchild,F-11,Husky,CF-EIR,Husky,,fixed_wing,monoplane,civilian,utility,,"Fairchild Canada F-11 Husky registered CF-EIR, a Canadian-designed bush aircraft. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",F11; F-11; Husky; Fairchild Husky,Canadian Bushplane Heritage Centre,on_display
Fairchild,KR-34,,C-FADH,,,fixed_wing,biplane,civilian,private,,"Registered C-FADH. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",KR34; KR-34; Kreider Reisner,Canadian Bushplane Heritage Centre,on_display
Fokker,F.VIIb,3m,,,,fixed_wing,monoplane,civilian,transport,,"Fokker F.VIIb/3m trimotor; no registration recorded by the museum. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",FVIIb; F.VII; Fokker Trimotor,Canadian Bushplane Heritage Centre,on_display
Fokker,Super Universal,,CF-AJE,Super Universal,,fixed_wing,monoplane,civilian,utility,,"Registered CF-AJE. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",Super Universal; Fokker Universal,Canadian Bushplane Heritage Centre,on_display
Grumman,CS2F,Tracker,,Tracker,,fixed_wing,monoplane,military,utility,,"Ex-military Tracker converted for forest-fire detection; serial not recorded by the museum. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",CS2F; CP-121; CP121; Tracker; S-2; S2,Canadian Bushplane Heritage Centre,on_display
MacGregor,MG-65,,CF-RCZ,,,fixed_wing,monoplane,civilian,private,,"Registered CF-RCZ. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",MG65; MG-65; MacGregor,Canadian Bushplane Heritage Centre,on_display
Noorduyn,Norseman,Mk IV,CF-BFT,Norseman,,fixed_wing,monoplane,civilian,utility,,"Registered CF-BFT. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",Norseman; Norseman IV,Canadian Bushplane Heritage Centre,on_display
Noorduyn,Norseman,Mk I,CF-AYO,Norseman,,fixed_wing,monoplane,civilian,utility,,"Registered CF-AYO, the Norseman prototype. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",Norseman; Norseman I,Canadian Bushplane Heritage Centre,on_display
Republic,RC-3,Seabee,CF-DKG,Seabee,,fixed_wing,monoplane,civilian,private,,"Registered CF-DKG. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",RC3; RC-3; Seabee,Canadian Bushplane Heritage Centre,on_display
Saunders,ST-27,,C-GCML,,,fixed_wing,monoplane,civilian,commercial_transport,,"Canadian-built Saunders ST-27, a stretched Heron derivative; visitors can climb into the cockpit. Collection list from the museum's Wikipedia article, cross-read against the museum's own exhibit pages; registration not confirmed from a museum placard.",ST27; ST-27; Saunders; Heron,Canadian Bushplane Heritage Centre,on_display
