manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
North American,Harvard,Mk II,3191,Harvard,,fixed_wing,monoplane,military,trainer,,Operated by the association at Tillsonburg Regional Airport. Airworthy.,AT-6;AT6;T-6;T6;Texan;Harvard;75-3465;C-FMTX,"Canadian Harvard Aircraft Association, Tillsonburg",on_display
North American,Harvard,Mk II,AJ583,Harvard,,fixed_wing,monoplane,military,trainer,,Operated by the association at Tillsonburg Regional Airport. Airworthy.,AT-6;AT6;T-6;T6;Texan;Harvard;76-3553;C-FHWX,"Canadian Harvard Aircraft Association, Tillsonburg",on_display
North American,Harvard,Mk II,3830,Harvard,,fixed_wing,monoplane,military,trainer,,Operated by the association at Tillsonburg Regional Airport. Airworthy.,AT-6;AT6;T-6;T6;Texan;Harvard;81-4097;C-FRWN,"Canadian Harvard Aircraft Association, Tillsonburg",on_display
North American,Harvard,Mk II,2885,Harvard,,fixed_wing,monoplane,military,trainer,,Operated by the association at Tillsonburg Regional Airport. Airworthy.,AT-6;AT6;T-6;T6;Texan;Harvard;66-2618;N630X,"Canadian Harvard Aircraft Association, Tillsonburg",on_display
Canadian Car and Foundry,Harvard,Mk 4,20242,Harvard,,fixed_wing,monoplane,military,trainer,,Operated by the association at Tillsonburg Regional Airport.,AT-6;AT6;T-6;T6;Texan;Harvard;CCF-4-033;C-FWPK,"Canadian Harvard Aircraft Association, Tillsonburg",on_display
Canadian Car and Foundry,Harvard,Mk 4,20304,Harvard,,fixed_wing,monoplane,military,trainer,,Operated by the association at Tillsonburg Regional Airport.,AT-6;AT6;T-6;T6;Texan;Harvard;CCF-4-095;C-FBZT,"Canadian Harvard Aircraft Association, Tillsonburg",on_display
Canadian Car and Foundry,Harvard,Mk 4,20321,Harvard,,fixed_wing,monoplane,military,trainer,,Operated by the association at Tillsonburg Regional Airport.,AT-6;AT6;T-6;T6;Texan;Harvard;CCF-4-112;CF-UFZ,"Canadian Harvard Aircraft Association, Tillsonburg",on_display
Canadian Car and Foundry,Harvard,Mk 4,20422,Harvard,,fixed_wing,monoplane,military,trainer,,Operated by the association at Tillsonburg Regional Airport.,AT-6;AT6;T-6;T6;Texan;Harvard;CCF-4-213;CF-RZW,"Canadian Harvard Aircraft Association, Tillsonburg",on_display
Canadian Car and Foundry,Harvard,Mk 4,20436,Harvard,,fixed_wing,monoplane,military,trainer,,Operated by the association at Tillsonburg Regional Airport.,AT-6;AT6;T-6;T6;Texan;Harvard;CCF-4-227;C-FWLH,"Canadian Harvard Aircraft Association, Tillsonburg",on_display
North American,NA-64,Yale,3399,Yale,,fixed_wing,monoplane,military,trainer,,Registered C-GLJH.,NA64;Yale;BT-14;BT14;64-2160;C-GLJH,"Canadian Harvard Aircraft Association, Tillsonburg",on_display
de Havilland Canada,DH-82,C Tiger Moth,5030,Tiger Moth,,fixed_wing,biplane,military,trainer,,Registered C-GCOE.,DH82;Tiger Moth;C-GCOE,"Canadian Harvard Aircraft Association, Tillsonburg",on_display
