manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
de Havilland,DH.82,C,4188,Tiger Moth,,fixed_wing,biplane,military,trainer,,Canadian-built Tiger Moth kept airworthy; the museum offers flights in it.,DH82C; Tiger Moth; DH.82C,Commonwealth Air Training Plan Museum,on_display
de Havilland,DH.82,A,,Tiger Moth,,fixed_wing,biplane,military,trainer,,British-built Tiger Moth kept airworthy; the museum offers flights in it. Serial not established.,DH82A; Tiger Moth; DH.82A,Commonwealth Air Training Plan Museum,on_display
Fairchild Aircraft Ltd,PT-26,A Cornell II,FV725,,,fixed_wing,monoplane,military,trainer,,Registered C-GATP and kept airworthy.,Cornell; Cornell II; PT-26; PT26; C-GATP,Commonwealth Air Training Plan Museum,on_display
North American,NA-66,Harvard Mk II,2557,,,fixed_wing,monoplane,military,trainer,1942,Registered C-FMGZ and kept airworthy.,Harvard; Harvard II; T-6; T6; NA66,Commonwealth Air Training Plan Museum,on_display
North American,NA-66,Harvard Mk II,,,,fixed_wing,monoplane,military,trainer,,"Second Harvard held as a fuselage only, incomplete.",Harvard; Harvard II; T6; NA66,Commonwealth Air Training Plan Museum,under_restoration
Stinson,Model 105,Voyager,CF-DLM,,,fixed_wing,monoplane,civilian,private,,Ex-RCAF 3478; kept airworthy.,Model 105; Voyager; HW-75; Stinson 105; HW75,Commonwealth Air Training Plan Museum,on_display
Fleet,16,B Finch,,,,fixed_wing,biplane,military,trainer,,Kept airworthy; the museum offers flights in it. Serial not established.,Finch; Fleet 16B; Fleet Finch,Commonwealth Air Training Plan Museum,on_display
Boeing-Stearman,A75N1,Kaydet,,,,fixed_wing,biplane,military,trainer,,Kept airworthy; the museum offers flights in it. Serial not established.,A75N1; PT-17; PT17; Kaydet; Stearman,Commonwealth Air Training Plan Museum,on_display
Noorduyn,Norseman,,,,,fixed_wing,monoplane,civilian,utility,,Complete Norseman awaiting a rebuilt engine. Serial not established.,Norseman; UC-64; UC64,Commonwealth Air Training Plan Museum,under_restoration
Noorduyn,Norseman,,,,,fixed_wing,monoplane,civilian,utility,,One of two further incomplete Norseman airframes held by the museum.,Norseman; UC-64; UC64,Commonwealth Air Training Plan Museum,in_storage
Noorduyn,Norseman,,,,,fixed_wing,monoplane,civilian,utility,,Second of two further incomplete Norseman airframes held by the museum.,Norseman; UC-64; UC64,Commonwealth Air Training Plan Museum,in_storage
Avro,Anson,Mk V,12125,,,fixed_wing,monoplane,military,trainer,,"Moulded plywood Anson V; the museum lists it as a complete static display, silverhawkauthor as under restoration.",Anson; Anson V; Avro 652A,Commonwealth Air Training Plan Museum,on_display
Avro,Anson,Mk I,,,,fixed_wing,monoplane,military,trainer,,Incomplete Anson Mk I held for restoration. Serial not established.,Anson; Anson I; Avro 652A,Commonwealth Air Training Plan Museum,under_restoration
