name,level,lat,lon,matched
"Edificio Delphos FACh Displays, Cerrillos",city,-33.43770,-70.65107,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8320000, Chile"
Museo Histórico y Centro Cultural de Carabineros de Chile,address,-33.44306,-70.61242,"Avenida Antonio Varas, Barrio Inés de Suárez, Providencia, Provincia de Santiago, Región Metropolitana de Santiago, 7500"
"Plaza Aviadora Margot Duhalde Cessna Skylane, La Reina",city,-33.44228,-70.54327,"La Reina, Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8320000, Chile"
Complejo Educacional La Reina FH-1100 Instructional Airframe,city,-33.44228,-70.54327,"La Reina, Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8320000, Chile"
"Parque del Avión A-36 Halcón Monument, Alto Hospicio",city,-20.27005,-70.10092,"Alto Hospicio, Provincia de Iquique, Región de Tarapacá, 1130000, Chile"
"Plaza Villa Carrizo Hunter Monument, Antofagasta",city,-23.64637,-70.39800,"Antofagasta, Provincia de Antofagasta, Región de Antofagasta, Chile"
"Plazoleta Reinaldo Martín Muller C-45 Monument, Gorbea",city,-39.10316,-72.67594,"Gorbea, Provincia de Cautín, Región de la Araucanía, Chile"
"Motel Ensueño Boeing 737, Concón",city,-32.92200,-71.51596,"Concón, Provincia de Valparaíso, Región de Valparaíso, Chile"
"Motel Ensueño DC-3, El Bosque, Santiago",city,-33.55615,-70.66557,"El Bosque, Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8320000, Chile"
"Medialuna de San Esteban C-47 Monument, Los Andes",city,-32.79905,-70.57958,"San Esteban, Provincia de Los Andes, Región de Valparaíso, Chile"
"Aeródromo Capitán Fuentes Martínez Beech 18, Porvenir",city,-53.29567,-70.36874,"Porvenir, Provincia de Tierra del Fuego, Región de Magallanes y de la Antártica Chilena, 6300000, Chile"
"Motel Paraíso Boeing 737, Quillota",city,-32.88000,-71.24736,"Quillota, Provincia de Quillota, Región de Valparaíso, 2260000, Chile"
"Liceo Industrial Alberto Widmer Instructional Airframes, Maipú",city,-33.50944,-70.75618,"Maipú, Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8320000, Chile"
