name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Wings Over the Rockies Air and Space Museum,Denver,Colorado,United States,80230,North America,"7711 East Academy Boulevard, Hangar 1, former Lowry AFB",https://wingsmuseum.org/,public,39.7211,-104.8955
Wings Over the Rockies Exploration of Flight,Englewood,Colorado,United States,80112,North America,"13005 Wings Way, Centennial Airport",https://wingsmuseum.org/visit/locations/exploration-of-flight/,public,39.5680,-104.8373
Pueblo Weisbrod Aircraft Museum,Pueblo,Colorado,United States,81001,North America,31001 Magnuson Avenue,https://pwam.org/,public,38.2819,-104.4984
National Museum of World War II Aviation,Colorado Springs,Colorado,United States,80916,North America,775 Aviation Way,https://www.worldwariiaviation.org/,public,38.8212,-104.7216
Vintage Aero Flying Museum,Fort Lupton,Colorado,United States,80621,North America,"7529 County Road 39, Platte Valley Airpark",https://www.vafm.org/,appointment,40.1026,-104.6978
CAF Rocky Mountain Wing Museum,Grand Junction,Colorado,United States,81506,North America,780 Heritage Way,https://www.rmwcaf.org/,appointment,39.1178,-108.5253
CAF Mile High Wing,Broomfield,Colorado,United States,80021,North America,"11855 Airport Way, Rocky Mountain Metropolitan Airport",https://milehighwing.org/,appointment,39.9088,-105.1172
Aviators Memorial Park,Grand Junction,Colorado,United States,81506,North America,"2828 Walker Field Drive, Grand Junction Regional Airport entrance",https://www.gjairport.com/,public,39.1202,-108.5270
United States Air Force Academy Static Displays,Colorado Springs,Colorado,United States,80840,North America,"Honor Court and Cadet Area, 2346 Academy Drive",https://www.usafa.edu/,public,39.0080,-104.8888
United States Air Force Academy North Gate,Colorado Springs,Colorado,United States,80840,North America,North Gate Boulevard at Stadium Boulevard,https://www.usafa.edu/,public,39.0214,-104.8505
Peterson Air and Space Museum,Colorado Springs,Colorado,United States,80914,North America,"150 East Ent Avenue, Peterson Space Force Base",https://petemuseum.org/,appointment,38.8228,-104.7017
Buckley 140th Wing Heritage Displays,Aurora,Colorado,United States,80011,North America,"Buckley Space Force Base, 140th Wing area",https://www.140wg.ang.af.mil/,restricted,39.7138,-104.7720
Butts Army Airfield Static Displays,Fort Carson,Colorado,United States,80913,North America,"Butts Army Airfield, Fort Carson",https://home.army.mil/carson/,restricted,38.6780,-104.7700
Col. Leo Sidney Boston War Memorial Park,Canon City,Colorado,United States,81212,North America,"Fremont County Airport, 60298 US Highway 50",https://fremontcountyco.gov/parks/helicopters,public,38.4340,-105.1040
Flagler Town Park,Flagler,Colorado,United States,80815,North America,East 2nd Street and Ruffner Avenue,https://flagler.colorado.gov/community/flagler-town-park,public,39.2900,-103.0620
Costilla County Veterans Park,Fort Garland,Colorado,United States,81133,North America,County Road HH east of Fort Garland,https://costillacounty.colorado.gov/parks-and-recreation/veterans-park,public,37.4260,-105.4205
Western Slope Vietnam War Memorial Park,Fruita,Colorado,United States,81521,North America,"Welcome Center Park, Interstate 70 and Colorado 340",https://www.field-of-dreams.org/,public,39.1530,-108.7361
Cripple Creek Veterans Memorial,Cripple Creek,Colorado,United States,80813,North America,Mount Pisgah Cemetery,https://www.cityofcripplecreek.com/,public,38.7498,-105.1919
VFW Post 6491,Burlington,Colorado,United States,80807,North America,884 Rose Avenue,,public,39.3015,-102.2613
Kremmling Veterans Memorial Park,Kremmling,Colorado,United States,80459,North America,Veterans Memorial Park beside West Grand High School,,public,40.0588,-106.3804
Spanish Peaks Veterans Community Living Center,Walsenburg,Colorado,United States,81089,North America,23500 US Highway 160,https://cdhs.colorado.gov/vclc-walsenburg,public,37.6009,-104.8327
Homelake Veterans Community Living Center,Monte Vista,Colorado,United States,81144,North America,3749 Sherman Avenue,https://cdhs.colorado.gov/vclc-homelake,public,37.5748,-106.0972
Montrose Regional Airport,Montrose,Colorado,United States,81401,North America,2100 Airport Road,https://www.montrosecounty.net/,public,38.4993,-107.8993
Greeley-Weld County Airport,Greeley,Colorado,United States,80631,North America,600 Airport Road,https://www.flygxy.com/,public,40.4240,-104.6390
