manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Mitsubishi,F-15,J,52-8846,,JP,Eagle,,fixed_wing,monoplane,military,fighter,,Cockpit section only of the only aircraft in the world shot down in air-to-air combat by accident: hit by a missile fired in error during air combat training on 22 Nov 1995; the pilot ejected and survived; the wreck was raised investigated and sold for scrap and part of it was acquired here,F15J; Eagle; F15,Daikeien -- Ichikawa,on_display
Mitsubishi,F-104,J,46-8571,,JP,Starfighter,,fixed_wing,monoplane,military,fighter,,Nose section with red paint traces in the car park; the radio call plate in the cockpit confirms 46-8571; struck off 29 Aug 1968 and used from about 1970 as a skeleton instructional airframe at the Hamamatsu 1st Technical School which is why panels are missing,F104J; F104,Daikeien -- Ichikawa,on_display
Mitsubishi,F-104,J,76-8697,,JP,Starfighter,,fixed_wing,monoplane,military,fighter,,Nose section propped against a building; the radio call plate has been removed with the panel so identity rests on a 2013 photograph of the adjoining rear cockpit section marked 697,F104J; F104,Daikeien -- Ichikawa,on_display
Mitsubishi,F-104,J,56-8667,,JP,Starfighter,,fixed_wing,monoplane,military,fighter,,A further F-104J section held on the site,F104J; F104,Daikeien -- Ichikawa,on_display
Kawasaki,Bell 47,G2-A,JA7352,,JP,,,rotary_wing,,civilian,utility,,Outdoors since at least January 2004 when JA7352 was painted on the underside,Bell47; 47G2-A,Daikeien -- Ichikawa,on_display
Robinson,R22,Beta,JA7845,,JP,,,rotary_wing,,civilian,private,,Present since at least the end of 2007,R22,Daikeien -- Ichikawa,on_display
Robinson,R22,,,,JP,,,rotary_wing,,civilian,private,,Second R22 present since about 2014; no registration established,R22,Daikeien -- Ichikawa,on_display
Robinson,R22,,,,JP,,,rotary_wing,,civilian,private,,Third R22 present since about 2014; no registration established,R22,Daikeien -- Ichikawa,on_display
McDonnell Douglas,F-15,J,,,JP,,Eagle,fixed_wing,monoplane,military,fighter,,Nose section only; internationally known as the only F-15 nose anywhere from an airframe destroyed in an air-to-air engagement; displayed outdoors as an eye-catcher,F15; F-15J; Eagle; F15J,Daikeien -- Ichikawa,on_display
Bell,47,G,,,,,,rotary_wing,,civilian,utility,,Displayed outdoors as an eye-catcher,Bell 47G,Daikeien -- Ichikawa,on_display
Robinson,R22,,,,,,,rotary_wing,,civilian,private,,Displayed inside the amusement building,R22,Daikeien -- Ichikawa,on_display
