name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Heeresgeschichtliches Museum Wien,Wien,Wien,Austria,1030,Europe,"Arsenal Objekt 1, Arsenal 3",https://www.hgm.at/,public,48.184684,16.388394
Militärluftfahrtmuseum Zeltweg,Zeltweg,Steiermark,Austria,8740,Europe,"Fliegerhorst Hinterstoisser, Hangar 8",https://www.hgm.at/besuch/militaerluftfahrtmuseum-zeltweg,public,47.197253,14.753144
Fliegerhorst Hinterstoisser Aircraft Displays -- Zeltweg,Zeltweg,Steiermark,Austria,8740,Europe,"Fliegerhorst Hinterstoisser, Fliegerhorstsiedlung",,restricted,47.200600,14.762200
Österreichisches Luftfahrtmuseum Graz-Thalerhof,Feldkirchen bei Graz,Steiermark,Austria,8073,Europe,Thalerhofstraße 52,https://www.luftfahrtmuseum.at/,public,46.986776,15.447981
Flugmuseum Aviaticum,Wiener Neustadt,Niederösterreich,Austria,2700,Europe,Flugplatz Wiener Neustadt Ost,https://aviaticum.at/,appointment,47.842800,16.252500
Hangar-7 Flying Bulls,Salzburg,Salzburg,Austria,5020,Europe,Wilhelm-Spazier-Straße 7A,https://www.hangar-7.com/,public,47.793687,13.007385
Technisches Museum Wien,Wien,Wien,Austria,1140,Europe,Mariahilfer Straße 212,https://www.technischesmuseum.at/,public,48.190895,16.317945
Saab 35Öe Draken Roundabout -- Tulln-Langenlebarn,Tulln an der Donau,Niederösterreich,Austria,3430,Europe,"B14 / Langenlebarn-Oberaigen, near Fliegerhorst Brumowski",,public,48.318773,16.084797
Saab J29F Tunnan -- HTL Linz Paul-Hahn-Straße,Linz,Oberösterreich,Austria,4020,Europe,"Paul-Hahn-Straße, Katzenau",,public,48.306283,14.311321
Saab 35Öe Draken -- Graz-Eggenberg,Graz,Steiermark,Austria,8020,Europe,Eggenberger Allee,,public,47.069519,15.407518
Saab 35Öe Draken -- Flugplatz Bad Vöslau,Bad Vöslau,Niederösterreich,Austria,2540,Europe,Flugplatz Vöslau-Kottingbrunn,,public,47.964095,16.252306
"Douglas C-47 ""Edelweiß"" -- Salzburg Airport",Salzburg,Salzburg,Austria,5020,Europe,"Dr.-Matthias-Laireiter-Straße, Loig",,public,47.789301,13.000064
Test-Fuchs Aircraft Displays -- Groß-Siegharts,Groß-Siegharts,Niederösterreich,Austria,3812,Europe,Test-Fuchs-Straße 1-5,https://www.test-fuchs.com/,public,48.795500,15.409600
MiG-21 -- Gerasdorf bei Wien,Gerasdorf bei Wien,Niederösterreich,Austria,2201,Europe,Föhrenhain,,public,48.327846,16.450579
NOVAPARK Flugzeughotel Roof Aircraft -- Graz,Graz,Steiermark,Austria,8051,Europe,Fischeraustraße 22,https://www.novapark.at/,public,47.095721,15.410528
Unidentified Aircraft Display -- Spital am Semmering,Spital am Semmering,Steiermark,Austria,8684,Europe,"Hübnerweg, Pichl",,public,47.611860,15.755464
Unidentified Aircraft Display -- St. Georgen am Fillmannsbach,Helpfau-Uttendorf,Oberösterreich,Austria,5144,Europe,"B156, Fillmannsbach",,public,48.121087,13.005735
Saab 35Öe Draken -- Voitsberg Shopping Centre,Voitsberg,Steiermark,Austria,8570,Europe,Shopping centre car park,,public,,
