manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Curtiss,C-46,D,91-1145,,JP,Commando,,fixed_wing,monoplane,military,transport,,A JASDF designated preservation airframe; built as a C-46A-65CK,C46D; C-46A-65CK; 43-47328; C46,JASDF Iruma Air Base -- Southern Perimeter Display,on_display
Mitsubishi,F-86,F,82-7807,,JP,Sabre,,fixed_wing,monoplane,military,fighter,,Confirmed as a JASDF designated preservation airframe by enquiry to the base PR section; visible from the perimeter road at any time,F86F; F86,JASDF Iruma Air Base -- Southern Perimeter Display,on_display
Mitsubishi,F-104,J,46-8561,,JP,Starfighter,,fixed_wing,monoplane,military,fighter,,Displayed marked 56-8666 which is not its identity,F104J; 56-8666; F104,JASDF Iruma Air Base -- Southern Perimeter Display,on_display
Kawasaki,T-33,A,51-5620,,JP,Shooting Star,,fixed_wing,monoplane,military,trainer,,A JASDF designated preservation airframe designated 27 Jan 2004,T33A; T33,JASDF Iruma Air Base -- Southern Perimeter Display,on_display
Fuji,T-34,A,71-0419,,JP,Mentor,,fixed_wing,monoplane,military,trainer,,Photographable from the perimeter road at any time; approachable during the summer Bon festival and autumn air festival,T34A; T34,JASDF Iruma Air Base -- Southern Perimeter Display,on_display
Mitsubishi,Nike-J,,,,JP,Nike-J,,missile_rocket,,military,other,,surface_to_air Complete round with launcher in the perimeter display group,NikeJ,JASDF Iruma Air Base -- Southern Perimeter Display,on_display
Farman,Henry Farman 1910,,,,JP,,Farman,fixed_wing,biplane,military,other,1910,Held in the Shubudai Memorial Hall; photography is normally prohibited and social-media posting is barred even when it is allowed,Henri Farman,JASDF Iruma Air Base -- Southern Perimeter Display,on_display
Yokosuka,MXY-7,,,,JP,Ohka,,fixed_wing,monoplane,military,air_to_surface,,Held in the Shubudai Memorial Hall; photography normally prohibited,Ohka; 桜花; MXY7,JASDF Iruma Air Base -- Southern Perimeter Display,on_display
Mitsubishi,F-1,,70-8201,,JP,,,fixed_wing,monoplane,military,ground_attack,,The first F-1 built; a JASDF designated preservation airframe designated 27 Feb 2006; held in the Shubudai Memorial Hall,F1,JASDF Iruma Air Base -- Southern Perimeter Display,on_display
Kawasaki,V-107,A,74-4844,,JP,,,rotary_wing,,military,search_rescue,,Held in the Shubudai Memorial Hall,V107A; KV-107IIA-5; KV107; V107,JASDF Iruma Air Base -- Southern Perimeter Display,on_display
Mitsubishi,Nike Ajax,,,,JP,Nike Ajax,,missile_rocket,,military,other,,surface_to_air Body only stood beside the Nike-J inside the air defence group area at 35.8469N 139.4137E; a second Ajax is inside the Shubudai Memorial Hall,Nike-Ajax,JASDF Iruma Air Base -- Southern Perimeter Display,on_display
Unidentified,UAV,,1001,,JP,,,fixed_wing,monoplane,military,drone,,Target or research drone held at Iruma; the blog records only the number 1001,UAV,JASDF Iruma Air Base -- Southern Perimeter Display,on_display
