manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Curtiss,C-46,D,91-1139,,JP,Commando,,fixed_wing,monoplane,military,transport,,At 35.5011N 133.2387E; the only one of the eight main-gate aircraft still open to visitors at the 2024 air festival,C46D; ex 42-101115; C46,JASDF Miho Air Base,on_display
Mitsubishi,F-1,,20-8260,,JP,,,fixed_wing,monoplane,military,ground_attack,,At 35.5029N 133.2382E,F1,JASDF Miho Air Base,on_display
North American,F-86,D,04-8202,,JP,Sabre Dog,,fixed_wing,monoplane,military,fighter,,At 35.5020N 133.2389E,F86D; F86,JASDF Miho Air Base,on_display
Mitsubishi,F-104,J,46-8602,,JP,Starfighter,,fixed_wing,monoplane,military,fighter,,At 35.5019N 133.2389E,F104J; F104,JASDF Miho Air Base,on_display
Fuji,T-3,,11-5543,,JP,,,fixed_wing,monoplane,military,trainer,,Carries ADTW markings; at 35.5024N 133.2386E,T3,JASDF Miho Air Base,on_display
Kawasaki,T-33,A,51-5647,,JP,Shooting Star,,fixed_wing,monoplane,military,trainer,,At 35.5022N 133.2388E,T33A; ex 53-5390; T33,JASDF Miho Air Base,on_display
Mitsubishi,S-62,,63-4776,,JP,,,rotary_wing,,military,search_rescue,,Delivered 18 Feb 1966 and struck off 31 Mar 1983; the last S-62 in JASDF service; displayed at Iruma before moving here about March 2003; at 35.5025N 133.2386E,S62; S-62J; c/n M62013; S62J,JASDF Miho Air Base,on_display
Fuji,T-1,B,35-5860,,JP,,,fixed_wing,monoplane,military,trainer,,One of the four T-1Bs that made the type's final flight on 3 Mar 2006,T1B; T1,JASDF Miho Air Base,on_display
Kawasaki,C-1,,38-1003,,JP,,,fixed_wing,monoplane,military,transport,,In the SE perimeter display park opened 26 May 2018; the only preserved JASDF C-1 as of March 2025; at 35.4931N 133.2515E,C1,JASDF Miho Air Base,on_display
NAMC,YS-11,P,02-1158,,JP,,,fixed_wing,monoplane,military,transport,,In the SE perimeter display park at 35.4931N 133.2515E,YS11; YS-11P; c/n 2150; YS11P,JASDF Miho Air Base,on_display
Mitsubishi,F-4,EJ Kai,17-8439,,JP,Phantom II,,fixed_wing,monoplane,military,fighter,,In the SE perimeter display park at 35.4931N 133.2515E,F4EJ; Phantom; F4,JASDF Miho Air Base,on_display
