manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Aero,Ae-45,,,,CZ,,,fixed_wing,monoplane,civilian,private,,Aero Ae-45 light twin; listed by the museum and mapped as OSM node 7237313419; no registration published,Ae-45; Ae45; Aero 45,Letecké muzeum v Kunovicích,on_display
Aero,L-29,A,,,CZ,Delfín Akrobat,,fixed_wing,monoplane,military,trainer,,L-29A Akrobat single-seat aerobatic variant of the Delfín; OSM node 7239065105,L-29A; L29A; Delfin; Delfín; Maya; L29,Letecké muzeum v Kunovicích,on_display
Aero,L-29,R,,,CZ,Delfín Oko,,fixed_wing,monoplane,military,recon,,"L-29R ""Oko"" reconnaissance conversion of the Delfín; OSM node 7239065107",L-29R; L29R; Oko; Delfin; Maya; L29,Letecké muzeum v Kunovicích,on_display
Aero,L-39,ZA,,,CZ,Albatros,,fixed_wing,monoplane,military,ground_attack,,L-39ZA armed Albatros; OSM node 7244810556 with model:wikidata Q17481146,L-39ZA; L39ZA; Albatros; L39,Letecké muzeum v Kunovicích,on_display
Avia,Il-14,FG,1103,,CZ,,,fixed_wing,monoplane,military,recon,,"Czechoslovak licence-built Il-14 designated Avia Av-14; FG is the photogrammetric survey conversion; tactical number 1103 recorded in OSM node 7239065108 which names the aircraft ""Avia Av/IL-14 FG (1103)""",Avia 14; Avia-14; Avia14; Il-14; Il14; Crate; Il14FG,Letecké muzeum v Kunovicích,on_display
Avia,Il-14,T,,,CZ,,,fixed_wing,monoplane,military,transport,,Czechoslovak licence-built Il-14 transport designated Avia Av-14T; OSM node 7239492343,Avia 14T; Avia-14; Avia14; Il-14; Il14; Crate; Il14T,Letecké muzeum v Kunovicích,on_display
Yakovlev,Yak-40,,,,CZ,,,fixed_wing,monoplane,civilian,commercial_transport,,Yakovlev Yak-40 tri-jet; OSM node 8457812563 with model:wikidata Q505663; no registration published,Yak-40; Yak40; Codling,Letecké muzeum v Kunovicích,on_display
Let,L-13,J,,,CZ,Blaník Jawa,,fixed_wing,monoplane,civilian,other,,L-13J Blaník fitted with a Jawa engine — a powered Blaník variant; OSM node 7244810562,L-13J; L13J; Blanik; Blaník; L13,Letecké muzeum v Kunovicích,on_display
Let,L-200,D,,,CZ,Morava,,fixed_wing,monoplane,civilian,private,,Let L-200D Morava; OSM node 7239487863,L-200D; L200D; Morava; L200,Letecké muzeum v Kunovicích,on_display
Let,L-410,A,OK-ADP,,CZ,Turbolet,,fixed_wing,monoplane,civilian,commercial_transport,,"Early production L-410A; registration OK-ADP recorded in OSM node 7239065110 which names the aircraft ""Let L-410 A Turbolet (OK-ADP)""",L-410A; L410A; Turbolet; OK-ADP; L410,Letecké muzeum v Kunovicích,on_display
Let,L-410,M,OK-022,,CZ,Turbolet,,fixed_wing,monoplane,civilian,commercial_transport,,L-410M; registration OK-022 recorded in OSM node 7239065109; the L-410 is Kunovice's own product and the museum sits at the LET works airfield,L-410M; L410M; Turbolet; OK-022; L410; OK022,Letecké muzeum v Kunovicích,on_display
Let,L-410,UVP,,,CZ,Turbolet Máňa,,fixed_wing,monoplane,civilian,commercial_transport,,"L-410UVP named ""Máňa""; listed by the museum",L-410UVP; L410UVP; Turbolet; Mana; Máňa; L410,Letecké muzeum v Kunovicích,on_display
Let,L-410,prototype 001,OK-YKE,,CZ,Turbolet Matylda,,fixed_wing,monoplane,civilian,test,,"XL-410 prototype airframe 001 named ""Matylda"" — the first L-410 ever built; OSM node 7237313420; the registration should be confirmed before import and is left in the alias field only",XL-410; XL410; Turbolet; Matylda; 001; L410,Letecké muzeum v Kunovicích,on_display
Let,L-410,prototype 004,,,CZ,Turbolet Zuzka,,fixed_wing,monoplane,civilian,test,,"XL-410 prototype airframe 004 named ""Zuzka""; OSM node 7239065106",XL-410; XL410; Turbolet; Zuzka; 004; L410,Letecké muzeum v Kunovicích,on_display
Let,L-610,M,X05,,CZ,,,fixed_wing,monoplane,civilian,test,,XL-610M prototype X05 — the LET L-610 was Kunovice's intended L-410 successor and never entered series production; OSM node 7237313421,L-610; L610; XL-610; X05; L610M; XL610,Letecké muzeum v Kunovicích,on_display
Let,L-610,,,,CZ,,,fixed_wing,monoplane,civilian,test,,"L-610 fuselage; OSM node 7237254459 names it ""trup L-610"" (L-610 fuselage)",L-610; L610,Letecké muzeum v Kunovicích,on_display
Let,L-610,,,,CZ,,,fixed_wing,monoplane,civilian,test,,"Second L-610 fuselage; OSM node 7237313422 names it ""trup prvovýroba L-610"" (first-production L-610 fuselage)",L-610; L610,Letecké muzeum v Kunovicích,on_display
Zlín,Z-37,,,,CZ,Čmelák,,fixed_wing,monoplane,civilian,utility,,Zlín Z-37 Čmelák agricultural aircraft; listed by the museum,Z-37; Z37; Cmelak; Čmelák,Letecké muzeum v Kunovicích,on_display
Zlín,Z-37,TM,,,CZ,Čmelák Turbo Militar,,fixed_wing,monoplane,military,utility,,Z-37TM turbine military variant of the Čmelák; OSM node 7239531762,Z-37TM; Z37TM; Cmelak; Čmelák; Z37,Letecké muzeum v Kunovicích,on_display
