manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Mikojan-Guriewicz,MiG-21,F-13,2307,,PL,,,fixed_wing,monoplane,military,fighter,,s/n 742307 per pl.wikipedia; from Poland's first MiG-21 delivery batch,MiG21; MiG-21F-13; Fishbed C; c/n 742307,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
Mikojan-Guriewicz,MiG-21,R,1423,,PL,,,fixed_wing,monoplane,military,recon,,s/n 94R011423 per pl.wikipedia,MiG21; MiG-21R; Fishbed H; c/n 94R011423; MiG21R,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
Mikojan-Guriewicz,MiG-21,PFM,7815,,PL,,,fixed_wing,monoplane,military,fighter,,s/n 94N7815 per pl.wikipedia,MiG21; MiG-21PFM; Fishbed F; c/n 94N7815; MiG21PFM,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
Mikojan-Guriewicz,MiG-21,U,1318,,PL,,,fixed_wing,monoplane,military,trainer,,s/n 661318 per pl.wikipedia,MiG21; MiG-21U; Mongol A; c/n 661318; MiG21U,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
Suchoj,Su-20,,6138,,PL,,,fixed_wing,monoplane,military,ground_attack,,s/n 74928 per pl.wikipedia Su-17 preserved list,Su20; Su-17; Fitter; c/n 74928; Su17,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
Suchoj,Su-22,M4,8511,,PL,,,fixed_wing,monoplane,military,ground_attack,,s/n 28511 per pl.wikipedia,Su22; Su-22M4; Fitter K; c/n 28511,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
Suchoj,Su-7,U,905,,PL,,,fixed_wing,monoplane,military,trainer,,s/n 2905 per pl.wikipedia Su-7 preserved list,Su7; Su-7U; Moujik; c/n 2905; Su7U,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
Iliuszyn,Ił-28,,50,,PL,,,fixed_wing,monoplane,military,bomber,,s/n 56538 per pl.wikipedia; the museum's own 2025 page calls the Il-28 its signboard aircraft standing beside the entrance since almost the first days of the museum,Il28; Il-28; Beagle; c/n 56538,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
WSK PZL-Mielec,TS-11,Iskra,506,,PL,,,fixed_wing,monoplane,military,trainer,,s/n 1H-0506 per pl.wikipedia,TS11; Iskra; c/n 1H-0506,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
WSK PZL-Mielec,TS-11,Iskra,530,,PL,,,fixed_wing,monoplane,military,trainer,,s/n 2H-0530 per pl.wikipedia,TS11; Iskra; c/n 2H-0530,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
WSK PZL-Mielec,TS-11,Iskra 200 BR,823,,PL,,,fixed_wing,monoplane,military,trainer,,s/n 4H-0823 per pl.wikipedia; the museum's own page calls the Iskra 200BR a one-off and an ornament of the collection,TS11; Iskra 200BR; c/n 4H-0823,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
Lisunow,Li-2,,,,PL,,,fixed_wing,monoplane,military,transport,1945,Museum's own 2025 page states the Li-2 is the oldest aeroplane in the collection built in 1945 and that it carried the name Stasiek in service,Li2; Lisunov Li-2; Cab; Stasiek,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
Jakowlew,Jak-23,,06,,PL,,,fixed_wing,monoplane,military,fighter,,s/n 807 per pl.wikipedia Jak-23 preserved list; the museum's own 2025 page states this restored aircraft is currently displayed at 31 Baza Lotnictwa Taktycznego Krzesiny and so is NOT at Drzonów,Jak23; Yak-23; Flora; c/n 807; Yak23,Lubuskie Muzeum Wojskowe -- Drzonów,in_storage
Jakowlew,Jak-18,,,,PL,,,fixed_wing,monoplane,military,trainer,,Listed on the museum's exhibition description,Jak18; Yak-18; Max; Yak18,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
WSK PZL-Mielec,TS-8,Bies,,,PL,,,fixed_wing,monoplane,military,trainer,,Museum's own page names the TS-8 Bies as the centrepiece of the aviation section of the Pawilon hall,TS8; Bies; TS-8 Bies,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
Jakowlew,Jak-12,A,SP-CXH,,PL,,,fixed_wing,monoplane,civilian,utility,,Air ambulance variant; registration SP-CXH,Jak12; Yak-12A; Creek; Jak12A; Yak12A,Lubuskie Muzeum Wojskowe -- Drzonów,on_display
