manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Aérospatiale,SE 3130,Alouette II,3D-XJ,,AT,,,rotary_wing,,military,utility,,Serial as published by the aviationmuseum.eu inventory; single lead-list source and not independently confirmed,SE3130; Alouette 2,Militärluftfahrtmuseum Zeltweg,on_display
Aérospatiale,SE 3160,Alouette III,3E-KG,,AT,,,rotary_wing,,military,utility,,Serial from a single lead-list inventory; the Austrian 3E- code block is correct for the Alouette III,SE3160; Alouette 3,Militärluftfahrtmuseum Zeltweg,on_display
Aérospatiale,SE 3160,Alouette III,3E-KZ,,AT,,,rotary_wing,,military,utility,,Serial from a single lead-list inventory,SE3160; Alouette 3,Militärluftfahrtmuseum Zeltweg,on_display
Agusta-Bell,AB 206,A,3C-JD,,AT,JetRanger,,rotary_wing,,military,utility,,Serial from a single lead-list inventory,AB206; Jet Ranger,Militärluftfahrtmuseum Zeltweg,on_display
Agusta-Bell,AB 204,B,4D-BW,,AT,,,rotary_wing,,military,utility,,Serial from a single lead-list inventory,AB204,Militärluftfahrtmuseum Zeltweg,on_display
Bell,OH-13,H,3B-HD,,AT,Sioux,,rotary_wing,,military,utility,,Serial from a single lead-list inventory,OH13; Bell 47; OH13H,Militärluftfahrtmuseum Zeltweg,on_display
Cessna,L-19,E,3A-BH,,AT,Bird Dog,,fixed_wing,monoplane,military,recon,,Serial from a single lead-list inventory,L19; O-1; Bird Dog; L19E; O1,Militärluftfahrtmuseum Zeltweg,on_display
Cessna,L-19,E,3A-BM,,AT,Bird Dog,,fixed_wing,monoplane,military,recon,,Listed by the source as stored rather than exhibited,L19; O-1; Bird Dog; L19E; O1,Militärluftfahrtmuseum Zeltweg,in_storage
de Havilland,DH-115,Vampire T.55,5C-VF,,AT,Vampire Trainer,,fixed_wing,monoplane,military,trainer,,Serial from a single lead-list inventory,DH115; Vampire T55; Vampire,Militärluftfahrtmuseum Zeltweg,on_display
Fiat,G.46,4B,3A-BB,,AT,,,fixed_wing,monoplane,military,trainer,,Serial from a single lead-list inventory; a forum thread on Austrian gate guards also places a Fiat G-46 at Zeltweg now inside the museum,G46,Militärluftfahrtmuseum Zeltweg,on_display
Fouga,CM.170,Magister,4D-YL,,AT,,,fixed_wing,monoplane,military,trainer,,Serial from a single lead-list inventory; the type is named on the museum's own page,CM170; Magister,Militärluftfahrtmuseum Zeltweg,on_display
Schneider,Grunau Baby,II,S2-0442,,AT,,,fixed_wing,monoplane,military,trainer,,Training glider; serial from a single lead-list inventory,Grunau Baby 2,Militärluftfahrtmuseum Zeltweg,on_display
Messerschmitt,Bf 109,,,,DE,,,fixed_wing,monoplane,military,fighter,,Wreck; the source records the number 2609 which is more likely a works number than a service serial so it is placed in aliases only,2609; Me 109; Bf109,Militärluftfahrtmuseum Zeltweg,on_display
Mikoyan-Gurevich,MiG-21,bis,110,,,,,fixed_wing,monoplane,military,fighter,,Recorded by the lead-list inventory as MiG-21bis 110; NOT the Croatian defector aircraft of Rudolf Perešin which Austria returned to Croatia; the operator nationality of this airframe was not established so operator_country is left blank,MiG21; MiG21bis; Fishbed,Militärluftfahrtmuseum Zeltweg,on_display
Musger,Mg 19,a,S2-0443,,AT,Steinadler,,fixed_wing,monoplane,military,trainer,,Austrian-designed glider; serial from a single lead-list inventory,Mg19a; Steinadler,Militärluftfahrtmuseum Zeltweg,on_display
North American,LT-6,G,4C-TE,,AT,Texan,,fixed_wing,monoplane,military,trainer,,Serial from a single lead-list inventory,LT6G; T-6; Harvard; Texan; LT6; T6,Militärluftfahrtmuseum Zeltweg,on_display
Saab,91,D,3F-SO,,AT,Safir,,fixed_wing,monoplane,military,trainer,,Serial from a single lead-list inventory,Saab 91D; Safir,Militärluftfahrtmuseum Zeltweg,on_display
Saab,91,D,3F-SR,,AT,Safir,,fixed_wing,monoplane,military,trainer,,Listed by the source as stored,Saab 91D; Safir,Militärluftfahrtmuseum Zeltweg,in_storage
Saab,91,D,3F-SW,,AT,Safir,,fixed_wing,monoplane,military,trainer,,Serial from a single lead-list inventory,Saab 91D; Safir,Militärluftfahrtmuseum Zeltweg,on_display
Saab,29,F,,,AT,Tunnan,,fixed_wing,monoplane,military,fighter,,Recorded by the source as 29449/F; 29449 is a Swedish construction number rather than an Austrian service serial so it is kept in aliases,29449; J29F; Tunnan,Militärluftfahrtmuseum Zeltweg,on_display
Saab,29,F,,,AT,Tunnan,,fixed_wing,monoplane,military,fighter,,Recorded by the source as 29558/D; construction number kept in aliases for the same reason,29558; J29F; Tunnan,Militärluftfahrtmuseum Zeltweg,on_display
Saab,35,J,,,SE,Draken,,fixed_wing,monoplane,military,fighter,,Cockpit section only; the source gives 35531 which is a Swedish construction number,35531; J35J; Draken,Militärluftfahrtmuseum Zeltweg,on_display
Saab,35,Öe Mk II,08,,AT,Draken,,fixed_wing,monoplane,military,fighter,,"Wore the ""Ostarrichi"" special livery in 1997; en.wikipedia's surviving-Draken list independently places 08 at the Zeltweg museum",J35Oe; J 35Ö; Draken,Militärluftfahrtmuseum Zeltweg,on_display
Saab,35,Öe Mk II,09,,AT,Draken,,fixed_wing,monoplane,military,fighter,,en.wikipedia's surviving-Draken list independently places 09 at the Zeltweg museum,J35Oe; J 35Ö; Draken,Militärluftfahrtmuseum Zeltweg,on_display
Saab,35,Öe Mk II,12,,AT,Draken,,fixed_wing,monoplane,military,fighter,,Displayed with one side opened up to show the structure; listed only by the lead-list inventory and not by the Wikipedia surviving-Draken list,J35Oe; J 35Ö; Draken,Militärluftfahrtmuseum Zeltweg,on_display
Saab,35,Öe Mk II,14,,AT,Draken,,fixed_wing,monoplane,military,fighter,,en.wikipedia's surviving-Draken list independently places 14 at the Zeltweg museum,J35Oe; J 35Ö; Draken,Militärluftfahrtmuseum Zeltweg,on_display
Saab,35,Öe Mk II,21,,AT,Draken,,fixed_wing,monoplane,military,fighter,,"Carried the ""Dragon Knights"" special livery from November 2005 until Austrian Draken operations ended on 22 December 2005; en.wikipedia independently places 21 at Zeltweg",J35Oe; J 35Ö; Draken,Militärluftfahrtmuseum Zeltweg,on_display
Saab,105,Öe,1116,,AT,,,fixed_wing,monoplane,military,trainer,,Recorded by the source as 1116/GF-16; the Austrian fleet was withdrawn at the end of 2020,GF-16; GF16; Saab 105OE,Militärluftfahrtmuseum Zeltweg,on_display
Saab,105,Öe,,,AT,,,fixed_wing,monoplane,military,trainer,,Recorded by the source only by its two-letter code BJ-40; numeric serial unknown,BJ-40; BJ40; Saab 105OE,Militärluftfahrtmuseum Zeltweg,on_display
Saab,105,Öe,,,AT,,,fixed_wing,monoplane,military,trainer,,Recorded by the source only by its two-letter code GD-14,GD-14; GD14; Saab 105OE,Militärluftfahrtmuseum Zeltweg,on_display
Saab,105,Öe,,,AT,,,fixed_wing,monoplane,military,trainer,,Cockpit section only; recorded by the source only by its code RI-29,RI-29; RI29; Saab 105OE,Militärluftfahrtmuseum Zeltweg,on_display
Scheibe,L-Spatz,55,OE-0547,,AT,,,fixed_wing,monoplane,civilian,private,,Glider carrying an Austrian OE-0 glider registration,L-Spatz 55; LSpatz,Militärluftfahrtmuseum Zeltweg,on_display
Schneider,SG 38,Schulgleiter,,,AT,,,fixed_wing,monoplane,military,trainer,,Primary training glider; the source records the number 17-524,17-524; SG38; Schulgleiter,Militärluftfahrtmuseum Zeltweg,on_display
Short Brothers,SC.7,Skyvan 3M,5S-TA,,AT,,,fixed_wing,monoplane,military,transport,,Austrian Air Force light transport; the type served from 1969 into the 2000s,SC7; Skyvan,Militärluftfahrtmuseum Zeltweg,on_display
Yakovlev,Yak-18,,3A-AA,,AT,,,fixed_wing,monoplane,military,trainer,,Named by the museum's own page as the first aircraft in Austrian military service after 1945,Yak18,Militärluftfahrtmuseum Zeltweg,on_display
Yakovlev,Yak-11,,4C-AF,,AT,,,fixed_wing,monoplane,military,trainer,,Serial from a single lead-list inventory,Yak11; Let C-11; C11,Militärluftfahrtmuseum Zeltweg,on_display
Yakovlev,Yak-11,,4C-AH,,AT,,,fixed_wing,monoplane,military,trainer,,CONFLICT: the same lead list also gives 4C-AH to a Yak-11 at the Österreichisches Luftfahrtmuseum Graz-Thalerhof; one of the two entries is wrong and neither could be resolved,Yak11; Let C-11; C11,Militärluftfahrtmuseum Zeltweg,on_display
Zlín,Z-126,,2A-AM,,AT,,,fixed_wing,monoplane,military,trainer,,Serial from a single lead-list inventory,Z126; Zlin 126; Trener,Militärluftfahrtmuseum Zeltweg,on_display
