manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Mitsubishi,F-1,,00-8247,,JP,,,fixed_wing,monoplane,military,ground_attack,,Outdoor in the Ozora Hiroba free park; JASDF free-loan airframe; wears the 3rd Squadron warrior badge and the special retirement scheme; Misawa is the only place in Japan where an F-1 an early-production T-2 and a late-production T-2 stand together,F1; F-1,Misawa Aviation and Science Museum,on_display
McDonnell Douglas,F-4,EJ,57-8375,,JP,Phantom II,,fixed_wing,monoplane,military,fighter,,F-4EJ Kai standard; JASDF free-loan airframe; 8th Squadron black panther badge; delivered 2009-01-29 and repainted between 2021-09-09 and 2021-12-10 for JPY 2035000 with about 80 per cent of the stencilling reinstated,F4; F-4EJ; F-4EJ Kai; Phantom; F4EJ,Misawa Aviation and Science Museum,on_display
Lockheed,F-104,J,76-8699,,JP,Starfighter,,fixed_wing,monoplane,military,fighter,,JASDF free-loan airframe; 207th Squadron markings and the anti-salt-corrosion finish specific to the Okinawa-based aircraft; cockpit opened to visitors,F104; F-104J; Eiko; F104J,Misawa Aviation and Science Museum,on_display
Mitsubishi,T-2,,59-5105,,JP,,,fixed_wing,monoplane,military,trainer,,JASDF free-loan airframe; a rare early-production T-2; moved from a display site inside Misawa air base where it had been given F-1 camouflage; repainted into early 4th Air Wing markings for museum display,T2; T-2,Misawa Aviation and Science Museum,on_display
Mitsubishi,T-2,,29-5177,,JP,,,fixed_wing,monoplane,military,trainer,,JASDF free-loan airframe; late-production; Blue Impulse markings and badly faded when inspected in 2021,T2; T-2; Blue Impulse,Misawa Aviation and Science Museum,on_display
Fuji,T-3,,91-5516,,JP,,,fixed_wing,monoplane,military,trainer,,JASDF free-loan airframe; 11th Flying Training Wing (Shizuhama) markings; cockpit opened to visitors,T3; T-3,Misawa Aviation and Science Museum,on_display
Lockheed,T-33,A,81-5344,,US,Shooting Star,,fixed_wing,monoplane,military,trainer,,Northern Air Defence Force support flight markings in blue; retired from the JASDF and RETURNED TO THE USAF in 2002 then loaned free of charge by the US military to Misawa City so the airframe is legally American not Japanese; on display since July 2005,T33; T-33A; Shooting Star; T33A,Misawa Aviation and Science Museum,on_display
Mitsubishi,LR-1,,22009,,JP,,,fixed_wing,monoplane,military,recon,,Ex-JGSDF; cabin opened to visitors; badly faded,LR1; LR-1; MU-2; MU2,Misawa Aviation and Science Museum,on_display
Hughes,OH-6,D,31270,,JP,Cayuse,,rotary_wing,,military,recon,,Ex-JGSDF; the second airframe of this type displayed here; a viewing platform surrounds the nose,OH6; OH-6D; Cayuse; OH6D,Misawa Aviation and Science Museum,on_display
General Dynamics,F-16,A,78-0021,,US,Fighting Falcon,,fixed_wing,monoplane,military,fighter,,On loan from the USAF; the only F-16A on permanent public display in Japan,F16; F-16A; Fighting Falcon; Viper; F16A,Misawa Aviation and Science Museum,on_display
Lockheed,P-3,UP-3A,150526,,US,Orion,,fixed_wing,monoplane,military,utility,,Bureau Number 150526; on loan from the US Seventh Fleet; cabin opened to visitors; believed to be the only UP-3A on display anywhere in the world; often listed as UP-3C in later sources,P3; UP-3A; Orion; BuNo 150526; UP3A,Misawa Aviation and Science Museum,on_display
NAMC,YS-11,,JA8776,,JP,,,fixed_wing,monoplane,civilian,commercial_transport,,Indoor display with the cabin open; ex-Japan Air Commuter; the only YS-11 in Japan preserved in Toa Domestic Airlines colours,YS11; YS-11,Misawa Aviation and Science Museum,on_display
Honda,HondaJet,,N420HA,,US,,,fixed_wing,monoplane,civilian,private,,Construction number P001; the HondaJet technology demonstrator; on display from the April 2021 reopening,HondaJet; HA-420; c/n P001; HA420,Misawa Aviation and Science Museum,on_display
Bellanca,Model J,Skyrocket,,,US,Miss Veedol,,fixed_wing,monoplane,civilian,private,,Full-scale replica of the aircraft flown by Pangborn and Herndon on the first non-stop trans-Pacific flight from Sabishiro Beach in 1931; the museum's centrepiece,Miss Veedol; Bellanca Skyrocket; ミス・ビードル号,Misawa Aviation and Science Museum,on_display
Tokyo Imperial University,Koken-ki,,,,JP,Koken-ki,,fixed_wing,monoplane,civilian,experimental,,Full-scale replica of the 1938 long-range record aircraft,Koken-ki; 航研機,Misawa Aviation and Science Museum,on_display
Narahara,Type 2,,,,JP,Narahara No.2,,fixed_wing,biplane,civilian,experimental,,Full-scale replica of the 1911 machine,奈良原式2号機; Narahara No.2,Misawa Aviation and Science Museum,on_display
Shirato,Asahi,,,,JP,Shirato Asahi-go,,fixed_wing,biplane,civilian,experimental,,Full-scale replica,白戸式旭号; Shirato Asahi,Misawa Aviation and Science Museum,on_display
Wright,Flyer,,,,,,Wright Flyer,fixed_wing,biplane,civilian,experimental,,Full-scale replica,Wright Flyer I,Misawa Aviation and Science Museum,on_display
Unidentified,HAYABUSA Kai,,,,JP,,,fixed_wing,biplane,civilian,private,,Primary training glider; rebuilt from a shoulder-and-high-wing biplane layout into a shoulder-and-low-wing biplane so it no longer matches the photograph on its own interpretation board,HAYABUSA Kai; プライマリーグライダーHAYABUSA改,Misawa Aviation and Science Museum,on_display
JAXA,Hayabusa2,,,,JP,はやぶさ2,,spacecraft,,civilian,space,,Full-scale model; added in the April 2021 reopening,Hayabusa2; はやぶさ2,Misawa Aviation and Science Museum,on_display
Nihon University,CHicK,2000,,,JP,,CHicK-2000,fixed_wing,monoplane,civilian,experimental,,Human-powered aircraft,CHicK-2000,Misawa Aviation and Science Museum,on_display
