manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Aerotécnica,AC-12,,,,ES,Pepo,,rotary_wing,,military,utility,,Listed in the foundation's type inventory; serial not published,AC12; Pepo,Museu Aeronàutic de Catalunya -- Sabadell,on_display
AISA,I-11,B,,,ES,Vespa,,fixed_wing,monoplane,civilian,private,,Listed in the foundation's type inventory; registration not published,I11; I-11B; Vespa; I11B,Museu Aeronàutic de Catalunya -- Sabadell,on_display
AISA,I-115,,,,ES,Garrapata,,fixed_wing,monoplane,military,trainer,,Listed in the foundation's type inventory; serial not published,I115; Garrapata,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Antonov,An-2,,,,,,,fixed_wing,biplane,civilian,utility,,Listed in the foundation's type inventory; registration and previous operator not published,An2,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Agusta-Bell,47,G-2,,,,,,rotary_wing,,military,utility,,Listed in the foundation's type inventory; serial not published,AB47; Bell 47,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Auster,Autocrat,,,,,,,fixed_wing,monoplane,civilian,private,,Listed in the foundation's type inventory; registration not published,Auster J/1,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Beechcraft,T-34,,,,,Mentor,,fixed_wing,monoplane,military,trainer,,Listed in the foundation's type inventory; serial not published,T34; Mentor,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Boeing,75,,,,,Stearman,,fixed_wing,biplane,civilian,trainer,,Listed by the foundation as a Boeing 75 Stearman; registration not published,Stearman; PT-17; Boeing-Stearman; PT17,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Bücker,Bü 131,,,,,Jungmann,,fixed_wing,biplane,civilian,trainer,,Listed in the foundation's type inventory; Spanish-built examples are the CASA 1.131; registration not published,Bu131; Jungmann; CASA 1.131,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Britten-Norman,BN-2,,,,,Islander,,fixed_wing,monoplane,civilian,utility,,Listed in the foundation's type inventory; registration not published,BN2; Islander,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Brügger,MB-2,,,,,Colibri,,fixed_wing,monoplane,civilian,private,,Homebuilt listed in the foundation's type inventory; registration not published,MB2; Colibri,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Cessna,172,,,,,,,fixed_wing,monoplane,civilian,private,,Listed in the foundation's type inventory; registration not published,Cessna 172; Skyhawk,Museu Aeronàutic de Catalunya -- Sabadell,on_display
de Havilland,DH.82,A,,,,Tiger Moth,,fixed_wing,biplane,civilian,trainer,,Listed in the foundation's type inventory; registration not published,DH82; Tiger Moth,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Douglas,C-47,,,,,Dakota,,fixed_wing,monoplane,military,transport,,Listed in the foundation's type inventory; serial not published,C47; Dakota; DC-3; DC3,Museu Aeronàutic de Catalunya -- Sabadell,on_display
CASA,Do 27,,,,ES,,,fixed_wing,monoplane,military,utility,,Spanish licence-built Dornier Do 27; the Spanish military designation is CASA C-127; serial not published,Do27; C-127; CASA C-127; C127,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Fairchild,24,R,,,,Argus,,fixed_wing,monoplane,civilian,private,,Listed in the foundation's type inventory; registration not published,Fairchild 24R; Argus,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Tipsy,Nipper,T.66,,,,,,fixed_wing,monoplane,civilian,private,,Listed by the foundation as a Fairey Tippsy Nipper T66 Mk II; registration not published,Nipper; T66; Tipsy Nipper,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Hispano Aviación,HA-200,,,,ES,Saeta,,fixed_wing,monoplane,military,trainer,,Listed in the foundation's type inventory; serial not published,HA200; Saeta,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Hispano Aviación,HA-220,,,,ES,Super Saeta,,fixed_wing,monoplane,military,ground_attack,,Listed in the foundation's type inventory; serial not published,HA220; Super Saeta; Supersaeta,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Lockheed,T-33,A,,,ES,Shooting Star,,fixed_wing,monoplane,military,trainer,,Listed in the foundation's type inventory; serial not published,T33; T-Bird; Shooting Star; T33A,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Macchi,MB-308,,,,,,,fixed_wing,monoplane,civilian,private,,Listed in the foundation's type inventory; registration not published,MB308,Museu Aeronàutic de Catalunya -- Sabadell,on_display
McDonnell Douglas,F-4,C,C.12-26,,ES,Phantom II,,fixed_wing,monoplane,military,fighter,,A dated 2025 survey of Spanish Phantoms places F-4C C.12-26 at the Parque Aeronáutico de Cataluña; wears the unit code 122-13,122-13; F4; Phantom; F4C,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Mignet,HM-14,,,,,Pou du Ciel,,fixed_wing,monoplane,civilian,private,,Listed in the foundation's type inventory; registration not published,HM14; Pou du Ciel; Flying Flea,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Hedilla,Monocoque,II,,,ES,,,fixed_wing,monoplane,civilian,experimental,,Recorded by the foundation itself as a replica of the Monocoque Hedilla II,Monocoque Hedilla,Museu Aeronàutic de Catalunya -- Sabadell,on_display
North American,F-86,,,,ES,Sabre,,fixed_wing,monoplane,military,fighter,,Listed in the foundation's type inventory; serial not published,F86; Sabre,Museu Aeronàutic de Catalunya -- Sabadell,on_display
North American,T-6,,,,ES,Texan,,fixed_wing,monoplane,military,trainer,,Listed in the foundation's type inventory; serial not published,T6; Texan; Harvard,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Piper,PA-18,,,,,Super Cub,,fixed_wing,monoplane,civilian,private,,Listed in the foundation's type inventory; registration not published,PA18; Super Cub,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Polikarpov,I-15,,,,ES,Chato,,fixed_wing,biplane,military,fighter,,Recorded by the foundation itself as a three-quarter scale replica,I15; Chato,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Polikarpov,I-153,,,,,Chaika,,fixed_wing,biplane,military,fighter,,Listed in the foundation's type inventory; registration and previous operator not published,I153; Chaika,Museu Aeronàutic de Catalunya -- Sabadell,on_display
SIAT,223,,,,,Flamingo,,fixed_wing,monoplane,civilian,trainer,,Listed by the foundation as SIAT S223 Flamingo; registration not published,S223; Flamingo,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Scheibe,Mü 13,E,,,,Bergfalke,,fixed_wing,monoplane,civilian,other,,Glider listed in the foundation's type inventory; registration not published,Mu13; Bergfalke,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Stinson,108,,,,,Voyager,,fixed_wing,monoplane,civilian,private,,Listed in the foundation's type inventory; registration not published,Stinson 108; Voyager,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Zlin,Z-326,,,,,Trener-Master,,fixed_wing,monoplane,civilian,trainer,,Listed in the foundation's type inventory; registration not published,Z326; Trener Master,Museu Aeronàutic de Catalunya -- Sabadell,on_display
Zlin,Z-526,,,,,Akrobat,,fixed_wing,monoplane,civilian,private,,Listed in the foundation's type inventory; registration not published,Z526; Akrobat,Museu Aeronàutic de Catalunya -- Sabadell,on_display
