manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Sud Aviation,SE 3130,,,,PT,Alouette II,,rotary_wing,,military,utility,,The only aircraft named in the museum's own current description of the Alverca site; published lists give serial 9216 for an Alouette II at Alverca but the official page does not confirm it so the serial is not carried,Alouette II; SE3130; 9216,Museu do Ar -- Núcleo de Alverca,on_display
Northrop,T-38,A,2601,,PT,Talon,,fixed_wing,monoplane,military,trainer,,Outdoor exhibit confirmed by a recent OpenStreetMap survey of the museum grounds; serial 2601 from the published Alverca list,T38; Talon; T38A,Museu do Ar -- Núcleo de Alverca,on_display
North American,F-86,F,5319,,PT,Sabre,,fixed_wing,monoplane,military,fighter,,Outdoor exhibit confirmed by a recent OpenStreetMap survey; serial 5319 from the published Alverca list,F86; Sabre; F86F,Museu do Ar -- Núcleo de Alverca,on_display
LTV,A-7,P,15508,,PT,Corsair II,,fixed_wing,monoplane,military,ground_attack,,Outdoor exhibit confirmed by a recent OpenStreetMap survey; serial 15508 from the published Alverca list,A7P; A-7; Corsair II; A7,Museu do Ar -- Núcleo de Alverca,on_display
Fairey,III,D Mk.2,17,,PT,,,fixed_wing,biplane,military,recon,,"Portuguese naval aviation Fairey III-D serial 17; this is NOT the ""Santa Cruz"" of the 1922 South Atlantic crossing which is held by the Museu de Marinha",Fairey IIID; Fairey III-D,Museu do Ar -- Núcleo de Alverca,on_display
Maurice Farman,MF.4,,,,PT,,,fixed_wing,biplane,military,recon,,Early type; the museum also holds a full-scale Maurice Farman MF.4 replica so which is displayed should be checked,MF4; Farman MF.4,Museu do Ar -- Núcleo de Alverca,on_display
Grumman,G-44,,129,,PT,Widgeon,,fixed_wing,monoplane,military,utility,,Portuguese serial 129,G44; Widgeon,Museu do Ar -- Núcleo de Alverca,on_display
Schneider,Grunau Baby,,CS-PAE,,PT,,,fixed_wing,monoplane,civilian,other,,Glider on the Portuguese civil register,Grunau Baby; CSPAE,Museu do Ar -- Núcleo de Alverca,on_display
Hawker,Hurricane,IIb,,,PT,,,fixed_wing,monoplane,military,fighter,,The published inventory calls this a Hurricane IIIb; the Hurricane III was a projected variant that was never built so the designation is doubtful and the variant is recorded here as IIb with that doubt noted,Hurricane; Hurricane III,Museu do Ar -- Núcleo de Alverca,on_display
Jodel,D9,,CS-AXA,,PT,Bébé,,fixed_wing,monoplane,civilian,private,,Portuguese civil registration,D9; Bebe; CSAXA,Museu do Ar -- Núcleo de Alverca,on_display
North American,T-6,J,1769,,PT,Texan,,fixed_wing,monoplane,military,trainer,,Portuguese Air Force serial 1769,T6; Texan; Harvard; T6J,Museu do Ar -- Núcleo de Alverca,on_display
Piper,PA-18,,3212,,PT,Super Cub,,fixed_wing,monoplane,military,utility,,Portuguese L-21B; serial 3212,L-21B; Super Cub; PA18; L21B,Museu do Ar -- Núcleo de Alverca,on_display
Cessna,337,FTB-337G,13709,,PT,Skymaster,,fixed_wing,monoplane,military,recon,,Portuguese Air Force serial 13709,FTB-337; Skymaster; FTB337,Museu do Ar -- Núcleo de Alverca,on_display
Beagle,Auster D-5,160,3564,,PT,,,fixed_wing,monoplane,military,utility,,Portuguese Air Force serial 3564,Auster D5; D-5/160,Museu do Ar -- Núcleo de Alverca,on_display
de Havilland Canada,DHC-1,,1376,,PT,Chipmunk,,fixed_wing,monoplane,military,trainer,,Portuguese Air Force serial 1376,DHC1; Chipmunk,Museu do Ar -- Núcleo de Alverca,on_display
Sud Aviation,SE 3160,,9258,,PT,Alouette III,,rotary_wing,,military,utility,,Recorded in the published inventory as a composite: main cabin 9258 with the tail boom of 9265,9265; Alouette III; SE3160,Museu do Ar -- Núcleo de Alverca,on_display
Nikus,Miniplane,,,,,,,fixed_wing,biplane,civilian,private,,Homebuilt listed in the published Alverca inventory; registration not published,Miniplane,Museu do Ar -- Núcleo de Alverca,on_display
