manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Messerschmitt,Bf 109,G-14/AS,784993,,DE,,,fixed_wing,monoplane,military,fighter,,Bf 109 G-14/AS restored and displayed by the museum; the serial 784993 is published by the museum itself in its exposition description; acquired in 2012 in exchange with Germany for an aero engine per Korzár SME 11 October 2012; note that the aviationmuseum.eu directory attaches 784993 to the F-4F Phantom instead which is how the column shift in that table was detected,Bf 109; Bf109; Me 109; Me109; Gustav,Múzeum letectva Košice,on_display
Sukhoi,Su-15,TM,,,UA,,,fixed_wing,monoplane,military,fighter,,The first aircraft of the Galéria prezidentských lietadiel — a gift from Ukrainian president Leonid Kuchma to Slovak president Rudolf Schuster; ex-Soviet air defence interceptor operated by Ukraine after 1991,Su-15; Su15; Su-15TM; Flagon; Su15TM,Múzeum letectva Košice,on_display
Dassault,Mirage III,RS,,,CH,,,fixed_wing,monoplane,military,recon,,Gift of the Swiss Confederation and the first presidential-gift aircraft to arrive by air; the Mirage IIIRS was the Swiss reconnaissance variant,Mirage IIIRS; Mirage-3RS; MirageIIIRS,Múzeum letectva Košice,on_display
Dassault,Mirage III,E,,,FR,,,fixed_wing,monoplane,military,fighter,,Gift arranged at the initiative of French president Jacques Chirac,Mirage IIIE; Mirage-3E; MirageIIIE,Múzeum letectva Košice,on_display
Lockheed,F-104,S,,,IT,Starfighter,,fixed_wing,monoplane,military,fighter,,Gift of Italian president Carlo Azeglio Ciampi delivered 8 August 2003; the Italian F-104S-ASA-M was the last Starfighter variant in service anywhere,F-104; F104; F-104S; Starfighter; Spillone; F104S,Múzeum letectva Košice,on_display
McDonnell Douglas,F-4,F,,,DE,Phantom II,,fixed_wing,monoplane,military,fighter,,Gift of the German president in 2004 with the export approved by the United States government; ex-Luftwaffe F-4F,F-4F; F4F; Phantom; F4,Múzeum letectva Košice,on_display
Northrop,NF-5,A,,,GR,Freedom Fighter,,fixed_wing,monoplane,military,fighter,,Gift of Greek president Konstantinos Stefanopoulos; the NF-5A was the Canadair-built Dutch variant and Greece received ex-Netherlands airframes,NF-5A; NF5A; F-5; F5; Freedom Fighter; NF5,Múzeum letectva Košice,on_display
Saab,37,AJSF,,,SE,Viggen,,fixed_wing,monoplane,military,recon,,Gift of the Kingdom of Sweden,AJSF37; AJSF 37; Viggen,Múzeum letectva Košice,on_display
Saab,35,Ö,,,AT,Draken,,fixed_wing,monoplane,military,fighter,,Gift of the government of the Republic of Austria; the Austrian Draken was the J35Ö variant,J35; J-35; J35O; Draken,Múzeum letectva Košice,on_display
Nanchang,Q-5,,,,CN,,,fixed_wing,monoplane,military,ground_attack,,Gift of the Chinese government; described by the museum as the only Q-5/A-5 in Europe,Q-5; Q5; A-5; A5; Fantan,Múzeum letectva Košice,on_display
