manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Harbin,Z-5,,,,CN,,Chinese-built Mi-4,rotary_wing,,military,transport,,OSM node 13157223588 (2024 survey); tagged 直-5 / HAMC Z-5,Z5; Z-5; Mi-4; Mi4; Hound,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
Harbin,Z-6,,,,CN,,Turbine-powered Z-5 development,rotary_wing,,military,transport,,OSM node 13157223589 (2024 survey); tagged 直-6 / HAMC Z-6,Z6; Z-6,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
Bell,UH-1,,,,US,,Iroquois,rotary_wing,,military,utility,,OSM node 13355335006 (2024 survey); tagged UH-1直升机,UH1; UH-1; Huey; Iroquois,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
AVIC,AG600,,,,CN,,Kunlong large amphibian,fixed_wing,monoplane,military,search_rescue,,OSM node 13157223590 (2024 survey) tagged AG600大型水陆两栖飞机; almost certainly a full-scale model or structural article rather than a flying AG600; flagged as unverified,AG600; AG-600; Kunlong; 鲲龙,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
Nanchang,CJ-5,,,,CN,,Chinese-built Yak-18 primary trainer,fixed_wing,monoplane,military,trainer,,OSM node 13157223591 (2024 survey); tagged 初教-5,CJ5; CJ-5; 初教-5; Yak-18; Yak18; Max,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
Mikoyan-Gurevich,MiG-15,,,,CN,,Early swept-wing jet fighter,fixed_wing,monoplane,military,fighter,,OSM node 13157223592 (2024 survey); tagged 米格-15 with Russian and English names; whether the airframe is a Soviet MiG-15 or a Chinese J-5 was not established,MiG15; MiG-15; Fagot; J-5; J5,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
Chengdu,FC-1,,,,CN,,Xiaolong / JF-17 Thunder,fixed_wing,monoplane,military,fighter,,OSM node 13157223593 (2024 survey); tagged FC-1战斗机; likely a full-scale model,FC1; FC-1; JF-17; JF17; 枭龙; Thunder,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
Shenyang,J-8,,,,CN,,Finback-A,fixed_wing,monoplane,military,fighter,,OSM node 13157223594 (2024 survey); tagged 歼-8,J8; J-8; Finback,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
Shenyang,J-8,II,,,CN,,Finback-B,fixed_wing,monoplane,military,fighter,,OSM node 13157223595 (2024 survey); tagged 歼-8Ⅱ,J8II; J-8; J8; Finback-B,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
Hongdu,K-8,,,,CN,,Karakorum jet trainer,fixed_wing,monoplane,military,trainer,,OSM node 13157223596 (2024 survey); tagged K-8教练机,K8; K-8; JL-8; JL8; Karakorum,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
Nanjing University of Aeronautics and Astronautics,CK-1,,,,CN,,Chang Kong 1 target drone,fixed_wing,monoplane,military,drone,,OSM node 13157223597 (2024 survey); tagged 长空一号,CK1; CK-1; 长空一号; Chang Kong-1,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
Unidentified,Sharp Eagle FX70,,,,CN,,FX70 unmanned aircraft,fixed_wing,monoplane,civilian,drone,,OSM node 13157223598 (2024 survey); tagged 锐鹰FX70 / Sharp Eagle FX70; manufacturer not established,FX70; 锐鹰FX70; Sharp Eagle,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
Unidentified,Medium-range high-speed UAV,,,,CN,,Unnamed unmanned aircraft,fixed_wing,monoplane,military,drone,,OSM node 13157223599 (2024 survey); tagged only 中程高速无人机 / medium-range high-speed unmanned aerial vehicle; no type name recorded by the surveyor and none invented here,中程高速无人机,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
Ryan,BQM-34,,,,US,,Firebee target and reconnaissance drone,fixed_wing,monoplane,military,drone,,OSM node 13157223600 (2024 survey); tagged BQM-34火蜂无人机; Firebee airframes recovered over China were widely distributed to Chinese aeronautical institutes,BQM34; BQM-34; Firebee; 火蜂; AQM-34; AQM34,NUAA Jiangjunlu Campus Aircraft Display -- Nanjing,on_display
