manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Aermacchi,MB-326,M,,,ZA,,Impala,fixed_wing,monoplane,military,trainer,,Listed by the museum as an Atlas/Aermacchi MB-326M Impala; the lead-list inventory records the US ferry registration N162TP and the number 475,N162TP; 475; MB326; Impala; MB326M,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
PZL-Mielec,TS-11,,,,PL,,Iskra,fixed_wing,monoplane,military,trainer,,Named on the museum's own jet list; serial not published,TS11; Iskra,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Saab,29,F,,,AT,Tunnan,,fixed_wing,monoplane,military,fighter,,"Named on the museum's own jet list as the Saab J 29 ""Flying Barrel""",J29; J29F; Tunnan,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Saab,32,,,,SE,,Lansen,fixed_wing,monoplane,military,ground_attack,,Named on the museum's own jet list; a Swedish airframe,J32; A32; Lansen,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Saab,35,C,,,SE,Draken,,fixed_wing,monoplane,military,trainer,,Two-seat Sk 35C trainer; the lead-list inventory gives construction number 35804,35804; Sk35C; Sk 35C; Draken,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Saab,35,Öe Mk II,07,,AT,Draken,,fixed_wing,monoplane,military,fighter,,"en.wikipedia's surviving-Draken list places 07 at the ""Graz Museum"" which is this museum at Thalerhof",J35Oe; J 35Ö; Draken,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Agusta-Bell,AB 204,B,4D-BT,,AT,,,rotary_wing,,military,utility,,Serial from a single lead-list inventory,AB204,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Antonov,An-2,TP,,,,Colt,,fixed_wing,biplane,military,utility,,The lead-list inventory records the number 2919,2919; An2; Colt; An2TP,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Bell,OH-13,H,3B-HA,,AT,Sioux,,rotary_wing,,military,utility,,Serial from a single lead-list inventory,OH13; Bell 47; OH13H,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Cessna,150,,OE-ATP,,AT,,,fixed_wing,monoplane,civilian,private,,Austrian civil registration,C150,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Cessna,L-19,E,3A-BF,,AT,Bird Dog,,fixed_wing,monoplane,military,recon,,Serial from a single lead-list inventory,L19; O-1; Bird Dog; L19E; O1,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Dassault,Mirage III,S,J-2309,,CH,,,fixed_wing,monoplane,military,fighter,,Ex-Swiss Air Force; J-23xx is the correct Swiss Mirage IIIS block so this serial is internally plausible,J2309; Mirage 3S; Mirage IIIS,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
de Havilland,DH-112,Venom FB.54,J-1733,,CH,,,fixed_wing,monoplane,military,ground_attack,,Ex-Swiss Air Force; J-17xx sits inside the Swiss Venom serial range,J1733; Venom; DH112,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
de Havilland,DH-115,Vampire T.55,5C-YC,,AT,Vampire Trainer,,fixed_wing,monoplane,military,trainer,,Austrian two-seat Vampire trainer,DH115; Vampire T55,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Fairchild,SA-226,Metro II,OE-LSA,,AT,,,fixed_wing,monoplane,civilian,commercial_transport,,Austrian-registered commuter airliner,SA226; Metro 2; Metroliner,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Hawker,Hunter,F.58,J-4094,,CH,,,fixed_wing,monoplane,military,fighter,,Ex-Swiss Air Force; J-40xx is the correct Swiss Hunter F.58 block,J4094; Hunter F58,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Luscombe,8,,OE-APD,,AT,Silvaire,,fixed_wing,monoplane,civilian,private,,Austrian civil registration,Luscombe 8; Silvaire,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
Mikoyan-Gurevich,MiG-15,,50+94,,DE,Fagot,,fixed_wing,monoplane,military,fighter,,Wears a Bundeswehr-style 50+94 code so it is most likely an ex-NVA airframe taken on German charge after 1990,5094; MiG15; Fagot,Österreichisches Luftfahrtmuseum Graz-Thalerhof,on_display
