manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Douglas,DC-6,B,43536,,TW,Chung Mei,,fixed_wing,monoplane,military,transport,,The second-generation 中美號 (Chung Mei) ROC presidential aircraft; number 43536; withdrawn December 1989 and displayed in the open-air military aircraft display area in front of the ROCAF Museum; the aircraft carried Madame Chiang Kai-shek to New York in 1966,DC6B; DC-6B; 43536; 中美號; Chung Mei; C-118; DC6; C118,ROCAF Museum and Military Aircraft Display Area -- Gangshan,on_display
Lockheed,F-104,A,4241,,TW,Starfighter,,fixed_wing,monoplane,military,fighter,,Open-air display; tactical number from the Chinese Wikipedia F-104 survivor table,F104A; 4241; F104,ROCAF Museum and Military Aircraft Display Area -- Gangshan,on_display
Northrop,F-5,A,,,TW,Freedom Fighter,,fixed_wing,monoplane,military,fighter,,Open-air display; no serial published,F5A; F5,ROCAF Museum and Military Aircraft Display Area -- Gangshan,on_display
Northrop,F-5,B,,,TW,Freedom Fighter,,fixed_wing,monoplane,military,trainer,,Open-air display; no serial published,F5B; F5,ROCAF Museum and Military Aircraft Display Area -- Gangshan,on_display
Northrop,F-5,E,,,TW,Tiger II,,fixed_wing,monoplane,military,fighter,,Open-air display; no serial published,F5E; Tiger II; F5,ROCAF Museum and Military Aircraft Display Area -- Gangshan,on_display
Curtiss-Wright,C-46,,,,TW,Commando,,fixed_wing,monoplane,military,transport,,Open-air display; this is very probably the ROKAF C-46 that South Korea supplied to Taiwan in February 1992 in exchange for the C-119 now at the War Memorial of Korea; the Chinese Wikipedia C-119 entry states the exchange was made specifically to provide a C-46 for the Gangshan display; no serial published,C46; Commando,ROCAF Museum and Military Aircraft Display Area -- Gangshan,on_display
Fairchild,C-119,,,,TW,Flying Boxcar,,fixed_wing,monoplane,military,transport,,Open-air display; no serial published for this example; a second C-119 (3190) is indoors at the Aviation Education Exhibition Hall,C119; Flying Boxcar,ROCAF Museum and Military Aircraft Display Area -- Gangshan,on_display
Fairchild,C-123,,,,TW,Provider,,fixed_wing,monoplane,military,transport,,Open-air display; no serial published,C123; Provider,ROCAF Museum and Military Aircraft Display Area -- Gangshan,on_display
North American,F-100,F,,,TW,Super Sabre,,fixed_wing,monoplane,military,fighter,,Two-seat Super Sabre fighter-bomber; open-air display; no serial published,F100F; Super Sabre; F100,ROCAF Museum and Military Aircraft Display Area -- Gangshan,on_display
Grumman,S-2,,,,TW,Tracker,,fixed_wing,monoplane,military,recon,,Open-air anti-submarine aircraft; no serial published,S2; Tracker,ROCAF Museum and Military Aircraft Display Area -- Gangshan,on_display
