manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Shenyang,J-6,,,,AL,F-6,,fixed_wing,monoplane,military,fighter,,Chinese-built Shenyang J-6 — the licence copy of the Soviet MiG-19 — exported to Albania as the F-6; this is a CHINESE aircraft and not a Soviet one and the manufacturer and designation are recorded accordingly; one of ten J-6 airframes mapped in an evenly spaced line on the military side of Tirana Rinas in 2025-2026; no serial recorded; whether the line is presented to visitors is unconfirmed; OpenStreetMap node/13891512692,J6; J-6; F-6; F6; MiG-19; MiG19; Farmer,Rinas -- Baza Ajrore e Tiranës; të ruajtura,in_storage
Shenyang,J-6,,,,AL,F-6,,fixed_wing,monoplane,military,fighter,,Chinese-built Shenyang J-6 — the licence copy of the Soviet MiG-19 — exported to Albania as the F-6; this is a CHINESE aircraft and not a Soviet one and the manufacturer and designation are recorded accordingly; one of ten J-6 airframes mapped in an evenly spaced line on the military side of Tirana Rinas in 2025-2026; no serial recorded; whether the line is presented to visitors is unconfirmed; OpenStreetMap node/13891512693,J6; J-6; F-6; F6; MiG-19; MiG19; Farmer,Rinas -- Baza Ajrore e Tiranës; të ruajtura,in_storage
Shenyang,J-6,,,,AL,F-6,,fixed_wing,monoplane,military,fighter,,Chinese-built Shenyang J-6 — the licence copy of the Soviet MiG-19 — exported to Albania as the F-6; this is a CHINESE aircraft and not a Soviet one and the manufacturer and designation are recorded accordingly; one of ten J-6 airframes mapped in an evenly spaced line on the military side of Tirana Rinas in 2025-2026; no serial recorded; whether the line is presented to visitors is unconfirmed; OpenStreetMap node/13891512694,J6; J-6; F-6; F6; MiG-19; MiG19; Farmer,Rinas -- Baza Ajrore e Tiranës; të ruajtura,in_storage
Shenyang,J-6,,,,AL,F-6,,fixed_wing,monoplane,military,fighter,,Chinese-built Shenyang J-6 — the licence copy of the Soviet MiG-19 — exported to Albania as the F-6; this is a CHINESE aircraft and not a Soviet one and the manufacturer and designation are recorded accordingly; one of ten J-6 airframes mapped in an evenly spaced line on the military side of Tirana Rinas in 2025-2026; no serial recorded; whether the line is presented to visitors is unconfirmed; OpenStreetMap node/13891512695,J6; J-6; F-6; F6; MiG-19; MiG19; Farmer,Rinas -- Baza Ajrore e Tiranës; të ruajtura,in_storage
Shenyang,J-6,,,,AL,F-6,,fixed_wing,monoplane,military,fighter,,Chinese-built Shenyang J-6 — the licence copy of the Soviet MiG-19 — exported to Albania as the F-6; this is a CHINESE aircraft and not a Soviet one and the manufacturer and designation are recorded accordingly; one of ten J-6 airframes mapped in an evenly spaced line on the military side of Tirana Rinas in 2025-2026; no serial recorded; whether the line is presented to visitors is unconfirmed; OpenStreetMap node/13891512696,J6; J-6; F-6; F6; MiG-19; MiG19; Farmer,Rinas -- Baza Ajrore e Tiranës; të ruajtura,in_storage
Shenyang,J-6,,,,AL,F-6,,fixed_wing,monoplane,military,fighter,,Chinese-built Shenyang J-6 — the licence copy of the Soviet MiG-19 — exported to Albania as the F-6; this is a CHINESE aircraft and not a Soviet one and the manufacturer and designation are recorded accordingly; one of ten J-6 airframes mapped in an evenly spaced line on the military side of Tirana Rinas in 2025-2026; no serial recorded; whether the line is presented to visitors is unconfirmed; OpenStreetMap node/13891512697,J6; J-6; F-6; F6; MiG-19; MiG19; Farmer,Rinas -- Baza Ajrore e Tiranës; të ruajtura,in_storage
Shenyang,J-6,,,,AL,F-6,,fixed_wing,monoplane,military,fighter,,Chinese-built Shenyang J-6 — the licence copy of the Soviet MiG-19 — exported to Albania as the F-6; this is a CHINESE aircraft and not a Soviet one and the manufacturer and designation are recorded accordingly; one of ten J-6 airframes mapped in an evenly spaced line on the military side of Tirana Rinas in 2025-2026; no serial recorded; whether the line is presented to visitors is unconfirmed; OpenStreetMap node/13891512698,J6; J-6; F-6; F6; MiG-19; MiG19; Farmer,Rinas -- Baza Ajrore e Tiranës; të ruajtura,in_storage
Shenyang,J-6,,,,AL,F-6,,fixed_wing,monoplane,military,fighter,,Chinese-built Shenyang J-6 — the licence copy of the Soviet MiG-19 — exported to Albania as the F-6; this is a CHINESE aircraft and not a Soviet one and the manufacturer and designation are recorded accordingly; one of ten J-6 airframes mapped in an evenly spaced line on the military side of Tirana Rinas in 2025-2026; no serial recorded; whether the line is presented to visitors is unconfirmed; OpenStreetMap node/13891512699,J6; J-6; F-6; F6; MiG-19; MiG19; Farmer,Rinas -- Baza Ajrore e Tiranës; të ruajtura,in_storage
Shenyang,J-6,,,,AL,F-6,,fixed_wing,monoplane,military,fighter,,Chinese-built Shenyang J-6 — the licence copy of the Soviet MiG-19 — exported to Albania as the F-6; this is a CHINESE aircraft and not a Soviet one and the manufacturer and designation are recorded accordingly; one of ten J-6 airframes mapped in an evenly spaced line on the military side of Tirana Rinas in 2025-2026; no serial recorded; whether the line is presented to visitors is unconfirmed; OpenStreetMap node/13891522903,J6; J-6; F-6; F6; MiG-19; MiG19; Farmer,Rinas -- Baza Ajrore e Tiranës; të ruajtura,in_storage
Shenyang,J-6,,,,AL,F-6,,fixed_wing,monoplane,military,fighter,,Chinese-built Shenyang J-6 — the licence copy of the Soviet MiG-19 — exported to Albania as the F-6; this is a CHINESE aircraft and not a Soviet one and the manufacturer and designation are recorded accordingly; one of ten J-6 airframes mapped in an evenly spaced line on the military side of Tirana Rinas in 2025-2026; no serial recorded; whether the line is presented to visitors is unconfirmed; OpenStreetMap node/13891522902,J6; J-6; F-6; F6; MiG-19; MiG19; Farmer,Rinas -- Baza Ajrore e Tiranës; të ruajtura,in_storage
Ilyushin,Il-28,,,,AL,Beagle,,fixed_wing,monoplane,military,bomber,,Soviet-designed jet bomber; Albania operated both Soviet-supplied Il-28s and Chinese-built Harbin H-5 copies and it is NOT established which this airframe is; the manufacturer is therefore given as the design authority Ilyushin and the H-5 is recorded as an alias; mapped as OpenStreetMap node/13891522904; no serial,Il28; Il-28; Beagle; H-5; H5; Harbin H-5,Rinas -- Baza Ajrore e Tiranës; të ruajtura,in_storage
Shijiazhuang,Y-5,,,,AL,Y-5,,fixed_wing,biplane,military,transport,,Chinese-built Antonov An-2 copy supplied to Albania; a Chinese aircraft and not a Soviet one; the surveyor names it Shijiazhuang Y-5 which is the later production designation of the Nanchang Y-5; mapped as OpenStreetMap node/13891522905; no serial,Y5; Y-5; An-2; An2; Nanchang Y-5; Colt,Rinas -- Baza Ajrore e Tiranës; të ruajtura,in_storage
Shijiazhuang,Y-5,,,,AL,Y-5,,fixed_wing,biplane,military,transport,,Chinese-built Antonov An-2 copy supplied to Albania; a Chinese aircraft and not a Soviet one; the surveyor names it Shijiazhuang Y-5 which is the later production designation of the Nanchang Y-5; mapped as OpenStreetMap node/13891522906; no serial,Y5; Y-5; An-2; An2; Nanchang Y-5; Colt,Rinas -- Baza Ajrore e Tiranës; të ruajtura,in_storage
