manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Arado,Ar 196,A-3,1,,BG,,Акула,fixed_wing,monoplane,military,recon,,THE ONLY SURVIVING ARADO Ar 196 FLOAT SEAPLANE IN THE WORLD; Bulgarian Navy machine known as Akula (Shark); museum register gives nomenclature number 1/7096 and construction number 196.0219; recovered from the Black Sea coast and restored,Ar196; Ar 196A-3; Arado 196; Akula; c/n 196.0219; nomenclature 1/7096,Национален музей на авиацията Крумово,on_display
Yakovlev,Yak-9,P,,,BG,,,fixed_wing,monoplane,military,fighter,,Post-war all-metal Yak-9P; built at Novosibirsk plant 153; museum register gives nomenclature 27/7097 and construction number 0267 (0215367); no tactical number carried,Yak9; Yak-9P; Yak9P; c/n 0215367; c/n 0267; Frank,Национален музей на авиацията Крумово,on_display
Ilyushin,Il-2,M3,,,BG,,,fixed_wing,monoplane,military,ground_attack,,Armoured two-seat ground-attack aircraft; Bulgaria received Il-2M3s in 1945; the museum register records no tactical number and no construction number for this airframe,Il2; Il-2M3; Il2M3; Shturmovik,Национален музей на авиацията Крумово,on_display
Tupolev,Tu-2,T,,,BG,,,fixed_wing,monoplane,military,bomber,,Torpedo-bomber variant; the museum register records no tactical number and no construction number,Tu2; Tu-2T; Tu2T; Bat,Национален музей на авиацията Крумово,on_display
Polikarpov,Po-2,,LZ-K19,,BG,,,fixed_wing,biplane,civilian,utility,,Bulgarian civil registration LZ-K19 per the museum register,Po2; U-2; LZ-K19; Mule; U2,Национален музей на авиацията Крумово,on_display
Lazarov,LAZ-7,M,LZ-M34,,BG,,,fixed_wing,biplane,civilian,trainer,,Domestic Bulgarian design by Tsvetan Lazarov built at the state aircraft factory in Lovech; museum register gives registration LZ-M34; nomenclature 304/7034 and construction number 140509/784,LAZ-7M; LAZ7M; Laz-7; Laz7; LZ-M34; c/n 140509/784,Национален музей на авиацията Крумово,on_display
Lisunov,Li-2,,,,BG,,,fixed_wing,monoplane,military,transport,,Soviet-built licence DC-3; museum register gives construction number 33444601 and no tactical number,Li2; PS-84; Cab; c/n 33444601; PS84,Национален музей на авиацията Крумово,on_display
Yakovlev,Yak-23,,23,,BG,,,fixed_wing,monoplane,military,fighter,,Built at plant 31 Tbilisi; museum register gives nomenclature 60/7107 and construction number 421,Yak23; Flora; c/n 421; nomenclature 60/7107,Национален музей на авиацията Крумово,on_display
Yakovlev,Yak-23,,45,,BG,,,fixed_wing,monoplane,military,fighter,,Built at plant 31 Tbilisi; museum register gives nomenclature 96/7107 and construction number 116,Yak23; Flora; c/n 116; nomenclature 96/7107,Национален музей на авиацията Крумово,on_display
Ilyushin,Il-14,T,97,,BG,,,fixed_wing,monoplane,military,transport,,Built at MMZ Znamya Truda; museum register gives construction number 148001846,Il14; Il-14T; Il14T; Crate; c/n 148001846,Национален музей на авиацията Крумово,on_display
Ilyushin,Il-28,R,43,,BG,,,fixed_wing,monoplane,military,recon,,Reconnaissance variant; the only jet bomber type Bulgaria operated; museum register gives nomenclature 3/7206 and construction number 2504,Il28; Il-28R; Il28R; Beagle; c/n 2504,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-15,,578,,BG,,,fixed_wing,monoplane,military,fighter,,Built at plant 153 Novosibirsk; museum register gives nomenclature 14/7117 and construction number 0515378,MiG15; Fagot; c/n 0515378; nomenclature 14/7117,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-15,,590,,BG,,,fixed_wing,monoplane,military,fighter,,Built at plant 153 Novosibirsk; museum register gives nomenclature 41/7117 and construction number 0515390,MiG15; Fagot; c/n 0515390; nomenclature 41/7117,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-15,,,,BG,,,fixed_wing,monoplane,military,fighter,,Fourth MiG-15 in the museum register with no tactical number; no nomenclature number and no construction number recorded,MiG15; Fagot,Национален музей на авиацията Крумово,on_display
Aero Vodochody,MiG-15,,,,BG,,,fixed_wing,monoplane,military,fighter,,Czechoslovak licence build designated S-102; museum register records neither a tactical number nor a construction number; operator_country is BG because it flew with the Bulgarian Air Force,MiG15; S-102; S102; Fagot,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-15,bis,,,BG,,,fixed_wing,monoplane,military,fighter,,Museum register gives nomenclature 101/7117 and no tactical number,MiG15; MiG-15bis; MiG15bis; Fagot; nomenclature 101/7117,Национален музей на авиацията Крумово,on_display
Aero Vodochody,MiG-15,bis,,,BG,,,fixed_wing,monoplane,military,fighter,,Czechoslovak licence build designated S-103; museum register gives nomenclature 128/7117 and no tactical number,MiG15; MiG-15bis; S-103; S103; Fagot; nomenclature 128/7117; MiG15bis,Национален музей на авиацията Крумово,on_display
Aero Vodochody,MiG-15,UTI,202,,BG,,,fixed_wing,monoplane,military,trainer,,Czechoslovak licence-built two-seat trainer designated CS-102; museum register gives nomenclature 192/7151 and construction number 612781,MiG15UTI; MiG-15UTI; CS-102; CS102; Midget; c/n 612781; MiG15,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-17,,71,,BG,,,fixed_wing,monoplane,military,fighter,,Museum register gives nomenclature 61/7207 and construction number 540528,MiG17; Fresco; c/n 540528; nomenclature 61/7207,Национален музей на авиацията Крумово,on_display
WSK PZL-Mielec,MiG-17,F,30,,BG,,,fixed_wing,monoplane,military,fighter,,Polish licence build designated Lim-5; museum register gives nomenclature 27/7138 and construction number 1C15-22; operator_country is BG because it flew with the Bulgarian Air Force,MiG17; MiG-17F; Lim-5; Lim5; Fresco; c/n 1C15-22; MiG17F,Национален музей на авиацията Крумово,on_display
WSK PZL-Mielec,MiG-17,F,150,,BG,,,fixed_wing,monoplane,military,fighter,,Polish licence build designated Lim-5; museum register gives nomenclature 50/7138 and construction number 1C18-17,MiG17; MiG-17F; Lim-5; Lim5; Fresco; c/n 1C18-17; MiG17F,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-17,PF,21,,BG,,,fixed_wing,monoplane,military,fighter,,Radar-equipped all-weather variant; museum register gives nomenclature 11/7137 and construction number 0412; subject of a documented museum restoration discussed on the airgroup2000 forum,MiG17; MiG-17PF; MiG17PF; Fresco-D; c/n 0412,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-17,PF,22,,BG,,,fixed_wing,monoplane,military,fighter,,Radar-equipped all-weather variant; museum register gives nomenclature 12/7137 and construction number 0414,MiG17; MiG-17PF; MiG17PF; Fresco-D; c/n 0414,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-19,S,882,,BG,,,fixed_wing,monoplane,military,fighter,,Built at plant 153 Novosibirsk; museum register gives nomenclature 13/7200 and construction number 08-82,MiG19; MiG-19S; MiG19S; Farmer-C; c/n 08-82,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-19,S,030,,BG,,,fixed_wing,monoplane,military,fighter,,Built at plant 153 Novosibirsk; museum register gives nomenclature 59/7200 and construction number 10-30,MiG19; MiG-19S; MiG19S; Farmer-C; c/n 10-30,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-19,P,506,,BG,,,fixed_wing,monoplane,military,fighter,,Radar-equipped interceptor built at plant 21 Gorky; museum register gives nomenclature 15/7201 and construction number 620506,MiG19; MiG-19P; MiG19P; Farmer-B; c/n 620506,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-19,PM,936,,BG,,,fixed_wing,monoplane,military,fighter,,Missile-armed interceptor built at plant 21 Gorky; museum register gives nomenclature 7/7205 and construction number 650936,MiG19; MiG-19PM; MiG19PM; Farmer-E; c/n 650936,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-21,F-13,501,,BG,,,fixed_wing,monoplane,military,fighter,,Built at plant 30 Znamya Truda Moscow; museum register gives nomenclature 74/1101 (also cited as 11/7274) and construction number 741101,MiG21; MiG-21F13; MiG21F13; Fishbed-C; c/n 741101,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-21,PF,20,,BG,,,fixed_wing,monoplane,military,fighter,,Museum register gives nomenclature 1/7276 and construction number 760804,MiG21; MiG-21PF; MiG21PF; Fishbed-D; c/n 760804,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-21,PFM,62,,BG,,,fixed_wing,monoplane,military,fighter,,Built at plant 21 Gorky; museum register gives nomenclature 52/7294 and construction number 94МЕ10,MiG21; MiG-21PFM; MiG21PFM; Fishbed-F; c/n 94ME10,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-21,M,613,,BG,,,fixed_wing,monoplane,military,fighter,,Museum register gives construction number 0613 and no nomenclature number; note that the tactical number and the construction number coincide here which is unusual and may indicate a transcription conflation in the register,MiG21; MiG-21M; MiG21M; Fishbed-J; c/n 0613,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-21,MF,52,,BG,,,fixed_wing,monoplane,military,fighter,,Built at plant 30 Znamya Truda Moscow; museum register gives construction number 9402; the museum's own website also lists a MiG-21MF-R reconnaissance-configured airframe which is probably this one,MiG21; MiG-21MF; MiG21MF; MiG-21MF-R; Fishbed-J; c/n 9402,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-21,bis,088,,BG,,,fixed_wing,monoplane,military,fighter,,Built at plant 21 Gorky; museum register gives nomenclature 75/94088 and construction number 75094088,MiG21; MiG-21bis; MiG21bis; Fishbed-L; c/n 75094088,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-21,US,05,,BG,,,fixed_wing,monoplane,military,trainer,,Two-seat trainer; museum register gives construction number 07685143,MiG21; MiG-21US; MiG21US; Mongol-B; c/n 07685143,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-21,UM,27,,BG,,,fixed_wing,monoplane,military,trainer,,Two-seat trainer; museum register gives construction number 516999266,MiG21; MiG-21UM; MiG21UM; Mongol-B; c/n 516999266,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-23,BN,79,,BG,,,fixed_wing,monoplane,military,ground_attack,,Built at plant 30 Znamya Truda Moscow; museum register gives nomenclature 24/08379 and construction number 0393208379,MiG23; MiG-23BN; MiG23BN; Flogger-H; c/n 0393208379,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-23,BN,50,,BG,,,fixed_wing,monoplane,military,ground_attack,,Built at plant 30 Znamya Truda Moscow; museum register gives nomenclature 24/15750 and construction number 0393215750,MiG23; MiG-23BN; MiG23BN; Flogger-H; c/n 0393215750,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-23,MF,670,,BG,,,fixed_wing,monoplane,military,fighter,,Built at plant 30 Znamya Truda Moscow; museum register gives nomenclature 2М/13670 and construction number 0390213670,MiG23; MiG-23MF; MiG23MF; Flogger-B; c/n 0390213670,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-23,MLD,390,,BG,,,fixed_wing,monoplane,military,fighter,,Built at plant 30 Znamya Truda Moscow; museum register gives nomenclature 3А/25390 and construction number 2960325390,MiG23; MiG-23MLD; MiG23MLD; Flogger-K; c/n 2960325390,Национален музей на авиацията Крумово,on_display
Mikoyan-Gurevich,MiG-23,UB,021,,BG,,,fixed_wing,monoplane,military,trainer,,Two-seat trainer; museum register gives nomenclature 23У/03762 and construction number А1037621,MiG23; MiG-23UB; MiG23UB; Flogger-C; c/n A1037621,Национален музей на авиацията Крумово,on_display
Sukhoi,Su-22,M4,818,,BG,,,fixed_wing,monoplane,military,ground_attack,,Built at plant 126 Yuri Gagarin Komsomolsk-na-Amure; museum register gives nomenclature 54/818 and construction number 27818,Su22; Su-22M4; Su22M4; Su-17; Fitter-K; c/n 27818; Su17,Национален музей на авиацията Крумово,on_display
Sukhoi,Su-22,UM3K,206,,BG,,,fixed_wing,monoplane,military,trainer,,Two-seat trainer variant; museum register gives construction number 17532372206; the museum's own website refers to it as Су-22-У,Su22; Su-22UM3K; Su22UM3K; Su-22U; Fitter-G; c/n 17532372206; Su22U,Национален музей на авиацията Крумово,on_display
WSK PZL-Świdnik,Mi-1,M,21,,BG,,,rotary_wing,,military,utility,,Polish licence build designated SM-1W; museum register gives nomenclature 11/7203 and construction number W05014,Mi1; Mi-1M; SM-1W; SM1W; Hare; c/n W05014; Mi1M,Национален музей на авиацията Крумово,on_display
WSK PZL-Świdnik,Mi-1,,LZ-5002,,BG,,,rotary_wing,,civilian,utility,,Polish licence build designated SM-1; civil registration LZ-5002; museum register gives construction number 303001,Mi1; SM-1; SM1; Hare; LZ-5002; c/n 303001,Национален музей на авиацията Крумово,on_display
WSK PZL-Świdnik,Mi-2,,209,,BG,,,rotary_wing,,military,utility,,Polish-built; museum register gives construction number 544205065,Mi2; Hoplite; c/n 544205065,Национален музей на авиацията Крумово,on_display
Mil,Mi-4,VM,52,,BG,,,rotary_wing,,military,search_rescue,,Naval variant; museum register gives nomenclature 42/7202 and construction number 04159,Mi4; Mi-4VM; Mi4VM; Hound; c/n 04159,Национален музей на авиацията Крумово,on_display
Mil,Mi-4,VM,53,,BG,,,rotary_wing,,military,search_rescue,,Naval variant; museum register gives nomenclature 43/7202 and construction number 17165,Mi4; Mi-4VM; Mi4VM; Hound; c/n 17165,Национален музей на авиацията Крумово,on_display
Mil,Mi-4,VM,54,,BG,,,rotary_wing,,military,search_rescue,,Naval variant; museum register gives nomenclature 44/7202 and construction number 18165,Mi4; Mi-4VM; Mi4VM; Hound; c/n 18165,Национален музей на авиацията Крумово,on_display
Mil,Mi-8,T,302,,BG,,,rotary_wing,,military,transport,,Museum register gives construction number 10302,Mi8; Mi-8T; Mi8T; Hip,Национален музей на авиацията Крумово,on_display
Mil,Mi-14,BT,812,,BG,,,rotary_wing,,military,search_rescue,,Amphibious minesweeping and rescue variant flown by the Bulgarian Navy; museum register gives construction number У5008,Mi14; Mi-14BT; Mi14BT; Haze; c/n U5008,Национален музей на авиацията Крумово,on_display
Mil,Mi-24,D,101,,BG,,,rotary_wing,,military,ground_attack,,Museum register gives nomenclature 246/У5065 and construction number У5065,Mi24; Mi-24D; Mi24D; Hind-D; c/n U5065,Национален музей на авиацията Крумово,on_display
Kamov,Ka-26,,LZ-6018,,BG,,,rotary_wing,,civilian,utility,,Civil registration LZ-6018; museum register gives construction number 7203008,Ka26; Hoodlum; LZ-6018; c/n 7203008,Национален музей на авиацията Крумово,on_display
Antonov,An-2,M,025,,BG,,,fixed_wing,biplane,military,utility,,Built at plant 464 Dolgoprudny; museum register gives construction number 801822,An2; An-2M; An2M; Colt; c/n 801822,Национален музей на авиацията Крумово,on_display
Antonov,An-14,,110,,BG,,Пчелка,fixed_wing,monoplane,military,utility,,Built at plant 116 Arsenyev; used for medical transport across Bulgaria; museum register gives construction number 003308,An14; Pchelka; Clod; c/n 003308,Национален музей на авиацията Крумово,on_display
Antonov,An-24,,LZ-ANE,,BG,,,fixed_wing,monoplane,civilian,commercial_transport,,Bulgarian civil registration LZ-ANE; museum register gives construction number 77303406; the museum's own site describes the type as An-24RV,An24; An-24RV; Coke; LZ-ANE; c/n 77303406; An24RV,Национален музей на авиацията Крумово,on_display
Yakovlev,Yak-11,,55,,BG,,,fixed_wing,monoplane,military,trainer,,Museum register gives nomenclature 35/7131 and construction number 172413,Yak11; Moose; c/n 172413,Национален музей на авиацията Крумово,on_display
Yakovlev,Yak-40,K,LZ-DOS,,BG,,,fixed_wing,monoplane,civilian,commercial_transport,,Convertible passenger and cargo variant; Bulgarian civil registration LZ-DOS; museum register gives construction number 9231423,Yak40; Yak-40K; Yak40K; Codling; LZ-DOS; c/n 9231423,Национален музей на авиацията Крумово,on_display
Yakovlev,Yak-50,,LZ-501,,BG,,,fixed_wing,monoplane,civilian,private,,Aerobatic single-seater built at plant 116 Arsenyev; registration LZ-501; museum register gives construction number 791509,Yak50; LZ-501; c/n 791509; LZ501,Национален музей на авиацията Крумово,on_display
Aerostar,Yak-52,,02,,BG,,,fixed_wing,monoplane,military,trainer,,BUILT IN ROMANIA by Aerostar S.A. Bacău which produced almost the whole world fleet; museum register gives construction number 800502; operator_country is BG because it flew in Bulgarian service,Yak52; Iak-52; IAK-52; c/n 800502; Iak52,Национален музей на авиацията Крумово,on_display
Aero Vodochody,L-29,,11,,BG,,Delfín,fixed_wing,monoplane,military,trainer,,Museum register gives nomenclature 1/7209 and construction number 491028,L29; Delfin; Maya; c/n 491028,Национален музей на авиацията Крумово,on_display
Let Kunovice,L-200,D,10,,BG,,Morava,fixed_wing,monoplane,military,utility,,Museum register gives construction number 171310,L200; L-200D; Morava; c/n 171310; L200D,Национален музей на авиацията Крумово,on_display
Let Kunovice,L-200,D,20,,BG,,Morava,fixed_wing,monoplane,military,utility,,Museum register gives construction number 171202,L200; L-200D; Morava; c/n 171202; L200D,Национален музей на авиацията Крумово,on_display
Let Kunovice,L-410,UVP,062,,BG,,Turbolet,fixed_wing,monoplane,military,transport,,Museum register gives construction number 841225,L410; L-410UVP; Turbolet; c/n 841225; L410UVP,Национален музей на авиацията Крумово,on_display
Aero,L-60,,LZ-606,,BG,,Brigadýr,fixed_wing,monoplane,civilian,utility,,Built by Let Kunovice; registration LZ-606; museum register gives construction number 150901,L60; Brigadyr; LZ-606; c/n 150901; LZ606,Национален музей на авиацията Крумово,on_display
