manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
de Havilland,DH.115,T.55,191,,IE,Vampire,,fixed_wing,monoplane,military,trainer,1960,Irish Aviation Foundation accession 1116; the museum's own catalogue records MSN 15815; delivered to the Irish Air Corps in early January 1961 as part of the second batch of six T.55s; **flew the last flight by an Irish Air Corps Vampire on 2 February 1976** after 1143.5 hours. year_built recorded as 1960 on the basis of a January 1961 delivery; the museum states delivery not build so treat 1960 as approximate. Its de Havilland Goblin 35 engine is separately accessioned,DH115; Vampire T55; T55; MSN 15815; 15815,Shannon Aviation Museum,on_display
Fouga,CM.170,-2,219,,IE,Super Magister,,fixed_wing,monoplane,military,trainer,,Irish Aviation Foundation accession 1118; served 1975 to 1999. Six Magisters were bought by the state in 1975 to replace the six ageing Vampire T.55s of No. 1 Fighting Squadron; the type is best known abroad as the **Silver Swallows** display team which won Best Display by an Overseas Team at RIAT Fairford in 1997. Two Turbomeca Marboré VI engines separately accessioned. NOTE: the Irish Air Corps carried these as F219 etc. in some records and 219 in others,CM170; F219; Super Magister; Magister,Shannon Aviation Museum,on_display
Fouga,CM.170,-2,220,,IE,Super Magister,,fixed_wing,monoplane,military,trainer,,"Irish Aviation Foundation accession 1021; served 1975 to 1999. The catalogue adds a provenance detail found nowhere else: **""This aircraft was moved to the museum from SETU; Carlow""** — it had been an instructional airframe at the South East Technological University campus at Carlow before coming to Shannon",CM170; F220; Super Magister; Magister,Shannon Aviation Museum,on_display
Fouga,CM.170,-2,216,,IE,Super Magister,,fixed_wing,monoplane,military,trainer,,"**RECONCILED FROM CONFLICTING SOURCES — see NOTES.** The museum's Exhibitions page advertises ""3x Fouga Magister CM170"" but its accession catalogue documents only 219 and 220; en.wikipedia's Irish Air Corps list states that ""#216 and #220 are on display at Shannon Aviation Museum"". Taking the three sources together the third airframe is 216. Confirm with the museum before import",CM170; F216; Super Magister; Magister,Shannon Aviation Museum,on_display
Percival,Provost,T.53,183,,IE,Provost,,fixed_wing,monoplane,military,trainer,1955,Irish Aviation Foundation accession 1115; the catalogue records MSN PAC/P53/1029 and delivery in 1955. Armed advanced trainer capable of carrying two .30 calibre machine guns for gunnery training; one Alvis Leonides radial; the engine is separately accessioned. Photographed at Baldonnel as early as 29 July 1967 (Commons),Provost T53; T53; MSN PAC/P53/1029; PAC/P53/1029; Hunting Percival Provost,Shannon Aviation Museum,on_display
SIAI-Marchetti,SF.260,WE,231,,IE,Warrior,,fixed_wing,monoplane,military,trainer,1977,Irish Aviation Foundation accession 1119; arrived 1977; served to 2004. The catalogue explains the designation: **the E in SF260WE stands for Éire**. Ten were acquired to replace the Chipmunk and Provost; one 260 hp Avco Lycoming O-540 fuel-injected engine separately accessioned,SF260; SF-260WE; SF260WE; Warrior,Shannon Aviation Museum,on_display
de Havilland Canada,DHC-1,T.20,168,,IE,Chipmunk,,fixed_wing,monoplane,military,trainer,,"Irish Aviation Foundation accession 1120; the catalogue records MSN C1-0450 and service from 1952 to 1976. **SERIAL CONFLICT:** en.wikipedia's Irish Air Corps list says ""#164 is on display at Shannon Aviation Museum"" for the Chipmunk T.20. I have taken the museum's own accession record over Wikipedia; the c/n C1-0450 will settle it definitively",DHC1; Chipmunk T20; T20; MSN C1-0450; C1-0450,Shannon Aviation Museum,on_display
Reims,FR172,H,206,,IE,Rocket,,fixed_wing,monoplane,military,recon,1972,"Irish Aviation Foundation accession 1117 (catalogued as ""Irish Air Corps Cessna 172 R206""); built by Reims Aviation in France under Cessna licence in 1972 and bought for IE£20 000 each in response to increased trouble on the Northern Ireland border; used for border surveillance; prisoner escorts; wildlife surveys and general transport. **All Reims Rockets were retired on 4 October 2019** after 63 578 flying hours across 47 years. Continental O-360D engine separately accessioned",FR172H; FR-172; Reims Rocket; Cessna FR172H; R206; FR172,Shannon Aviation Museum,on_display
Reims,FR172,H,210,,IE,Rocket,,fixed_wing,monoplane,military,recon,1972,"Second Reims Rocket at Shannon per en.wikipedia's Irish Air Corps list (""#206 and #210 are on display at Shannon Aviation Museum"") and consistent with the museum's Exhibitions page advertising ""2x Reims Rocket FR172H"". NOT separately present in the accession catalogue searches I ran; confirm the accession number with the museum",FR172H; Reims Rocket; Cessna FR172H,Shannon Aviation Museum,on_display
Blackburn,Buccaneer,,,,GB,,,fixed_wing,monoplane,military,ground_attack,,Listed on the museum's Exhibitions page under the International Collection. No serial; the Irish Aviation Foundation catalogue returned no Buccaneer record because that catalogue covers only the Irish Air Corps national collection. **Whether this is a complete airframe or a cockpit section is NOT established** — the same page lists several exhibits explicitly as cockpits and this one is not so qualified. Do not confuse with Ulster Aviation Society's Buccaneer S.2B XV361,Buccaneer S2,Shannon Aviation Museum,on_display
