manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Antonov,An-2,,,,BY,,,fixed_wing,biplane,civilian,utility,,Listed in the museum's aircraft roster published by ru.wikipedia from the aeroclub's own service page; no registration or construction number published for any airframe in this collection,An-2; An2; Colt,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Ilyushin,Il-14,P,,,RU,,,fixed_wing,monoplane,civilian,transport,,Listed in the museum roster as Ил-14П; no serial published,Il-14; Il14; Il-14P; Crate; Il14P,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Lisunov,Li-2,,,,RU,,,fixed_wing,monoplane,military,transport,,The museum's founding exhibit — a 1953 airframe whose previous location was the Belarusian State Museum of the History of the Great Patriotic War; ru.wikipedia notes that Stalin flew to the Tehran conference in 1943 in an aircraft of this type. SEE THE CONFLICT NOTED UNDER THE GREAT PATRIOTIC WAR MUSEUM SITE — a Li-2 is currently mapped there too and it is unresolved whether these are one airframe or two,Li-2; Li2; Cab; DC-3; DC3,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Mikoyan-Gurevich,MiG-15,UTI,,,RU,,,fixed_wing,monoplane,military,trainer,,Listed in the museum roster; no serial published,MiG-15; MiG15; MiG-15UTI; Midget; MiG15UTI,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Mikoyan-Gurevich,MiG-17,,,,RU,,,fixed_wing,monoplane,military,fighter,,Listed in the museum roster; no serial published,MiG-17; MiG17; Fresco,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Mikoyan-Gurevich,MiG-19,S,,,RU,,,fixed_wing,monoplane,military,fighter,,Listed in the museum roster as МиГ-19С; no serial published,MiG-19; MiG19; MiG-19S; Farmer-C; MiG19S,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Mikoyan-Gurevich,MiG-21,SMT,,,BY,,,fixed_wing,monoplane,military,fighter,,Listed in the museum roster as МиГ-21СМТ — an uncommon variant with the enlarged dorsal fuel spine; no serial published,MiG-21; MiG21; MiG-21SMT; Fishbed-K; MiG21SMT,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Mikoyan-Gurevich,MiG-23,UB,,,BY,,,fixed_wing,monoplane,military,trainer,,Listed in the museum roster; no serial published,MiG-23; MiG23; MiG-23UB; Flogger-C; MiG23UB,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Mikoyan-Gurevich,MiG-25,BM,,,BY,,,fixed_wing,monoplane,military,electronic_warfare,,Listed in the museum roster as МиГ-25БМ — the defence-suppression variant carrying Kh-58 anti-radiation missiles and a genuinely rare aircraft; no serial published,MiG-25; MiG25; MiG-25BM; Foxbat-F; MiG25BM,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Mikoyan,MiG-27,K,,,BY,,,fixed_wing,monoplane,military,ground_attack,,Listed in the museum roster; no serial published,MiG-27; MiG27; MiG-27K; Flogger-J; MiG27K,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Sukhoi,Su-7,BMK,,,RU,,,fixed_wing,monoplane,military,ground_attack,,Listed in the museum roster as Су-7БМК — the EXPORT variant; how an export airframe came to be in Belarus is unexplained by the source and is worth a question,Su-7; Su7; Su-7BMK; Fitter-A; Su7BMK,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Sukhoi,Su-17,M,,,BY,,,fixed_wing,monoplane,military,ground_attack,,Listed in the museum roster as Су-17М; no serial published,Su-17; Su17; Su-17M; Fitter-C; Su17M,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Sukhoi,Su-25,,,,BY,,,fixed_wing,monoplane,military,ground_attack,,Listed in the museum roster; no serial published,Su-25; Su25; Frogfoot,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Sukhoi,Su-27,P,,,BY,,,fixed_wing,monoplane,military,fighter,,Listed in the museum roster as Су-27П; no serial published,Su-27; Su27; Su-27P; Flanker-B; Su27P,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Yakovlev,Yak-18,,,,RU,,,fixed_wing,monoplane,civilian,trainer,,Listed in the museum roster; no variant or serial published,Yak-18; Yak18; Max,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Yakovlev,Yak-25,M,,,RU,,,fixed_wing,monoplane,military,fighter,,Listed in the museum roster as Як-25М — an early all-weather interceptor and a rare survivor; no serial published,Yak-25; Yak25; Yak-25M; Flashlight-A; Yak25M,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Yakovlev,Yak-28,PP,,,RU,,,fixed_wing,monoplane,military,electronic_warfare,,Listed in the museum roster as Як-28ПП — the electronic warfare variant; no serial published,Yak-28; Yak28; Yak-28PP; Brewer-E; Yak28PP,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Aero,L-29,,,,BY,Delfin,,fixed_wing,monoplane,military,trainer,,Listed in the museum roster; no serial published,L-29; L29; Delfin; Maya,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Belarusian State Academy of Aviation,OW-1,,,,,,,fixed_wing,monoplane,civilian,experimental,,Listed in the museum roster only as «экспериментальный самолёт OW-1». I COULD ESTABLISH NOTHING ELSE ABOUT THIS AIRCRAFT — no designer; date; origin or serial — and the manufacturer field is a placeholder that a human must correct; it is recorded because a one-off experimental aeroplane is exactly what a database should not lose. Needs a human,OW-1; OW1,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Mil,Mi-1,M,,,RU,,,rotary_wing,,military,utility,,Listed in the museum roster as Ми-1М; no serial published,Mi-1; Mi1; Mi-1M; Hare; Mi1M,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Mil,Mi-2,,,,BY,,,rotary_wing,,military,utility,,Listed in the museum roster; no serial published,Mi-2; Mi2; Hoplite,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Mil,Mi-8,T,,,BY,,,rotary_wing,,military,transport,,Listed in the museum roster as Ми-8Т; no serial published,Mi-8; Mi8; Mi-8T; Hip; Mi8T,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
Mil,Mi-24,P,,,BY,,,rotary_wing,,military,ground_attack,,Listed in the museum roster as Ми-24П; no serial published,Mi-24; Mi24; Mi-24P; Hind-F; Mi24P,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
SZD,SZD-41,A,,,BY,,Jantar Standard,fixed_wing,monoplane,civilian,private,,Listed in the museum roster as a glider — «планер SZD 41 Jantar Standard»; a Polish single-seat competition sailplane; no registration published,SZD-41; SZD41; Jantar Standard; Jantar; SZD41A,Музей авіації і космонавтики Мінського аэраклуба ДТСААФ імя С. І. Грыцаўца -- Мінск (Ліпкі),on_display
