manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Mikoyan-Gurevich,MiG-15,,,,RU,,,fixed_wing,monoplane,military,fighter,,Two MiG-15 airframes are mapped in the museum line (OpenStreetMap nodes 7074336835 and 7074336836) against the single entry in the museum's published table; no bort numbers or construction numbers are published for either,MiG-15; MiG15; Fagot,Музей Повітряних Сил Збройних Сил України -- Вінниця,on_display
Mikoyan-Gurevich,MiG-17,,,,RU,,,fixed_wing,monoplane,military,fighter,,Listed in the museum's aircraft table; no serial published,MiG-17; MiG17; Fresco,Музей Повітряних Сил Збройних Сил України -- Вінниця,on_display
Mikoyan-Gurevich,MiG-21,PFM,,,UA,,,fixed_wing,monoplane,military,fighter,,Listed in the museum's aircraft table; no serial published,MiG-21; MiG21; MiG-21PFM; MiG21PFM; Fishbed,Музей Повітряних Сил Збройних Сил України -- Вінниця,on_display
Mikoyan-Gurevich,MiG-23,MLD,,,UA,,,fixed_wing,monoplane,military,fighter,,Listed in the museum's aircraft table; no serial published,MiG-23; MiG23; MiG-23MLD; MiG23MLD; Flogger-K,Музей Повітряних Сил Збройних Сил України -- Вінниця,on_display
Mikoyan-Gurevich,MiG-25,RBS,,,UA,,,fixed_wing,monoplane,military,recon,,Listed in the museum's aircraft table as a high-altitude reconnaissance bomber; no serial published,MiG-25; MiG25; MiG-25RBS; MiG25RBS; Foxbat-D,Музей Повітряних Сил Збройних Сил України -- Вінниця,on_display
Mikoyan,MiG-27,K,,,UA,,,fixed_wing,monoplane,military,ground_attack,,Listed in the museum's aircraft table; no serial published,MiG-27; MiG27; MiG-27K; MiG27K; Flogger-J,Музей Повітряних Сил Збройних Сил України -- Вінниця,on_display
Mikoyan,MiG-29,,,,UA,,,fixed_wing,monoplane,military,fighter,,Listed in the museum's aircraft table; no serial published,MiG-29; MiG29; Fulcrum,Музей Повітряних Сил Збройних Сил України -- Вінниця,on_display
Sukhoi,Su-15,TM,,,UA,,,fixed_wing,monoplane,military,fighter,,Listed in the museum's aircraft table; no serial published,Su-15; Su15; Su-15TM; Su15TM; Flagon,Музей Повітряних Сил Збройних Сил України -- Вінниця,on_display
Sukhoi,Su-17,M3,,,UA,,,fixed_wing,monoplane,military,ground_attack,,Listed in the museum's aircraft table; no serial published,Su-17; Su17; Su-17M3; Su17M3; Fitter,Музей Повітряних Сил Збройних Сил України -- Вінниця,on_display
Sukhoi,Su-24,M,,,UA,,,fixed_wing,monoplane,military,bomber,,Listed in the museum's aircraft table; no serial published,Su-24; Su24; Su-24M; Su24M; Fencer-D,Музей Повітряних Сил Збройних Сил України -- Вінниця,on_display
