manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Let,L-410,,,,UA,Turbolet,,fixed_wing,monoplane,civilian,transport,,Mapped as OpenStreetMap node/7058206790; the surveyor recorded the type but no bort number; construction number or registration; and I found none published,L-410; L410; Turbolet,Музей української авіації -- Луганськ,on_display
Ilyushin,Il-12,,,,RU,,,fixed_wing,monoplane,civilian,transport,,Mapped as OpenStreetMap node/7058206842; the surveyor recorded the type but no bort number; construction number or registration; and I found none published,Il-12; Il12; Coach,Музей української авіації -- Луганськ,on_display
Ilyushin,Il-38,,,,RU,,,fixed_wing,monoplane,military,recon,,Mapped as OpenStreetMap node/7058206795; the surveyor recorded the type but no bort number; construction number or registration; and I found none published,Il-38; Il38; May,Музей української авіації -- Луганськ,on_display
Ilyushin,Il-76,MDPS,,,UA,,,fixed_wing,monoplane,military,search_rescue,,Mapped as OpenStreetMap node/7058206823; the surveyor recorded the type but no bort number; construction number or registration; and I found none published,Il-76; Il76; Il-76MDPS; Candid,Музей української авіації -- Луганськ,on_display
Aero,L-29,,,,UA,Delfin,,fixed_wing,monoplane,military,trainer,,Mapped as OpenStreetMap node/7058206792; the surveyor recorded the type but no bort number; construction number or registration; and I found none published,L-29; L29; Delfin; Maya,Музей української авіації -- Луганськ,on_display
Aero,L-29,,,,UA,Delfin,,fixed_wing,monoplane,military,trainer,,Mapped as OpenStreetMap node/7058206794; the surveyor recorded the type but no bort number; construction number or registration; and I found none published,L-29; L29; Delfin; Maya,Музей української авіації -- Луганськ,on_display
Aero,L-39,,,,UA,Albatros,,fixed_wing,monoplane,military,trainer,,Mapped as OpenStreetMap node/7058206793; the surveyor recorded the type but no bort number; construction number or registration; and I found none published,L-39; L39; Albatros,Музей української авіації -- Луганськ,on_display
Antonov,An-14,A,,,RU,Pchelka,,fixed_wing,monoplane,civilian,utility,,Mapped as OpenStreetMap node/7058206799; the surveyor recorded the type but no bort number; construction number or registration; and I found none published,An-14; An14; An-14A; Clod; Бджілка; An14A,Музей української авіації -- Луганськ,on_display
Antonov,An-24,RV,,,UA,,,fixed_wing,monoplane,civilian,commercial_transport,,Mapped as OpenStreetMap node/7058206843; the surveyor recorded the type but no bort number; construction number or registration; and I found none published,An-24; An24; An-24RV; Coke; An24RV,Музей української авіації -- Луганськ,on_display
Antonov,An-26,Sh,,,UA,,,fixed_wing,monoplane,military,trainer,,Mapped as OpenStreetMap node/7058206797; the surveyor recorded the type but no bort number; construction number or registration; and I found none published,An-26; An26; An-26Sh; Curl; An26Sh,Музей української авіації -- Луганськ,on_display
