name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Eesti Lennundusmuuseum -- Lange,Lange,Tartu maakond,Estonia,62115,Europe,Veskiorg; Lange küla; Kastre vald,https://www.lennundusmuuseum.ee/,public,58.28792,26.76417
Lennusadam -- Eesti Meremuuseum,Tallinn,Harju maakond,Estonia,10415,Europe,Vesilennuki tänav 6; Kalamaja; Põhja-Tallinna linnaosa,https://meremuuseum.ee/lennusadam/,public,59.45172,24.73844
Eesti Sõjamuuseum -- kindral Laidoneri muuseum,Viimsi,Harju maakond,Estonia,74001,Europe,Mõisa tee 1; Viimsi alevik,https://esm.ee/,public,59.50146,24.83456
Ämari lennuki mälestusmärk,Ämari,Harju maakond,Estonia,76105,Europe,Ämari alevik; Lääne-Harju vald,,public,59.25504,24.20521
Tupolev Tu-134 ES-AAP -- Tallinna lennujaam,Tallinn,Harju maakond,Estonia,,Europe,Tallinna lennujaam; Lennujaama tee,,public,59.41537,24.87161
Piirivalvekopter -- Tallinn (Maarjamäe),Tallinn,Harju maakond,Estonia,11911,Europe,Kase; Maarjamäe; Pirita linnaosa,,public,59.45526,24.84155
Rīgas aviācijas muzejs -- Skulte,Skulte,Mārupes novads,Latvia,LV-1053,Europe,Skultes iela 35; Skulte; Mārupes novads,http://airmuseum.lv/,public,56.91918,23.96046
VEF I-12 replika -- Lidosta Rīga,Skulte,Mārupes novads,Latvia,LV-1053,Europe,"Lidosta ""Rīga"" 10/1; Mārupes pagasts",,public,56.92302,23.97986
Mil Mi-26 piemineklis -- Rīga (Dārzciems),Rīga,Rīga,Latvia,LV-1073,Europe,Rēzeknes iela; Dārzciems; Latgales apkaime,,public,56.93603,24.18011
Antonov An-2 -- Rīga (Valērijas Seiles iela),Rīga,Rīga,Latvia,LV-1019,Europe,Valērijas Seiles iela; Latgales apkaime,,public,56.93962,24.15805
Ciemupes lidmašīnu ekspozīcija,Ciemupe,Ogres novads,Latvia,LV-5001,Europe,Priežu iela; Ciemupe; Ogresgala pagasts,,public,56.78146,24.64956
Nākotnes parka lidaparāti -- Glūda,Nākotne,Jelgavas novads,Latvia,LV-3719,Europe,Nākotne; Glūdas pagasts,,public,56.60807,23.45459
MiG-15UTI -- Cīravas lidlauks,Cīrava,Dienvidkurzemes novads,Latvia,LV-3453,Europe,Cīrava; Cīravas pagasts,,public,56.73646,21.36578
Antonov An-2R -- Duči (Limbaži),Limbaži,Limbažu novads,Latvia,LV-4020,Europe,Duči; Mārstags; Limbažu pagasts,,public,57.48485,24.66995
Antonov An-2 -- Bārbele (Bauska),Bārbele,Bauskas novads,Latvia,LV-3905,Europe,Bārbeles pagasts; on the Bauska — Aizkraukle road,,public,56.46317,24.61874
Lietuvos aviacijos muziejus -- Kaunas,Kaunas,Kauno apskritis,Lithuania,LT-46337,Europe,Veiverių g. 132; Aleksotas,https://www.lam.lt/,public,54.87797,23.89041
Vytauto Didžiojo karo muziejus -- Kaunas,Kaunas,Kauno apskritis,Lithuania,44248,Europe,K. Donelaičio g. 64; Naujamiestis,https://vdkm.lt/,public,54.89996,23.91200
Įstros aviacijos muziejus -- Stanioniai,Stanioniai,Panevėžio apskritis,Lithuania,,Europe,Įstro g. 4; Stanioniai,https://www.aviapark.lt/,public,55.82783,24.36087
Aero L-39 -- Zokniai (Šiauliai),Šiauliai,Šiaulių apskritis,Lithuania,77122,Europe,Lakūnų g.; Margiai,,public,55.89781,23.37643
Lakūno Stepono Dariaus gimtinė-muziejus,Dariaus,Klaipėdos apskritis,Lithuania,96292,Europe,Dariaus kaimas; Judrėnų seniūnija; Klaipėdos rajonas,https://www.lam.lt/susipazinkime/lakunu-gimtines-muziejai/,public,55.59427,21.84491
Shannon Aviation Museum,Shannon,County Clare,Ireland,V14 PH34,Europe,Link Road; Smithstown,https://shannonaviationmuseum.com/,public,52.71385,-8.87018
Foynes Flying Boat & Maritime Museum,Foynes,County Limerick,Ireland,,Europe,Main Street (N69); Foynes,https://www.flyingboatmuseum.com/,public,52.61139,-9.10990
National Museum of Ireland -- Decorative Arts and History,Dublin,County Dublin,Ireland,,Europe,Collins Barracks; Benburb Street; Arbour Hill; Dublin 7,https://www.museum.ie/en-IE/Museums/Decorative-Arts-History,public,53.34886,-6.28668
Focke-Wulf Fw 200 Condor crash memorial -- Dingle,Dingle,County Kerry,Ireland,,Europe,Dingle Peninsula; near Slea Head,,public,52.23457,-10.23272
Cavan & Leitrim Railway -- Dromod,Dromod,County Leitrim,Ireland,,Europe,Station House; Station Road; Dromod,https://www.cavanandleitrim.com/,public,53.85953,-7.91649
Museum of Aviation Equipment -- Aktobe,Aktobe,Aqtobe Region,Kazakhstan,D02M1X8,Asia,Sankibay Batyr Avenue; Military Institute of Air Defence Forces named after T. Ya. Begeldinov,,restricted,50.2843,57.1483
Aktobe Airport Yak-40 Monument,Aktobe,Aqtobe Region,Kazakhstan,,Asia,Adjacent to Aktobe Airport,,public,,
Aviators' Park An-12 Monument -- Baikonur,Baikonur,Kyzylorda Region,Kazakhstan,,Asia,7th microdistrict; Sever Aviatorov (Aviators' city park),,restricted,45.6163,63.2956
Lisunov Li-2 Monument -- Baikonur,Baikonur,Kyzylorda Region,Kazakhstan,,Asia,Junction of Yangel and Seyfullin streets; northern edge of the city,,restricted,,
Baikonur Cosmodrome Museum,Baikonur,Kyzylorda Region,Kazakhstan,,Asia,Site No. 2 (Ploshchadka 2); Baikonur Cosmodrome,,restricted,,
Buran Assembly and Fuelling Building -- Baikonur Site 112A,Baikonur,Kyzylorda Region,Kazakhstan,,Asia,Site 112A (montazhno-zapravochny korpus); Baikonur Cosmodrome,,restricted,,
Military History Museum of the Armed Forces -- Astana,Astana,Akmola Region,Kazakhstan,010000,Asia,Aleksandr Baraev street; Bayqonyr district,,public,51.1555,71.4320
Open-Air Military Equipment Museum -- Kostanay,Kostanay,Kostanay Region,Kazakhstan,110000,Asia,Nursultan Nazarbayev Avenue,,public,53.2270,63.6333
Museum of Military Glory -- Pavlodar,Pavlodar,Pavlodar Region,Kazakhstan,140006,Asia,40/1 Mira Street,,public,52.3001,76.9483
Military Equipment Exhibition -- Oral,Oral (Uralsk),West Kazakhstan Region,Kazakhstan,L02F1K1,Asia,Lindovskaya Street; Kureni,,public,51.1896,51.3798
Oral Yak-40 Monument,Oral (Uralsk),West Kazakhstan Region,Kazakhstan,,Asia,Beside the park in the Khlebzavod district,,public,,
Aviators of the Great Patriotic War Memorial -- Shymkent,Shymkent,Shymkent,Kazakhstan,160000,Asia,Abai Park; Suleimenov Street,,public,42.3302,69.5874
Balkhash Airmen's Memorial MiG-21,Balkhash,Karaganda Region,Kazakhstan,,Asia,,,public,,
Priozersk MiG-17 Monument,Priozersk,Karaganda Region,Kazakhstan,,Asia,,,restricted,,
