manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Vought,F-8,E(FN),29,,,fixed_wing,monoplane,military,fighter,,Crusader preserved on the base. ARDHAN lists number 29 at both Landivisiau and Lann-Bihoué; the duplication is unresolved and one of the two entries is likely a typing slip. Inside the wire at BAN Landivisiau; listed by ARDHAN (Claude Morin) August 2025.,F8; F-8E(FN); F8E; Crusader,Base d'Aéronautique Navale de Landivisiau Aircraft Displays,on_display
Vought,F-8,E(FN),31,,,fixed_wing,monoplane,military,fighter,,Fin/tail section only. Inside the wire at BAN Landivisiau; listed by ARDHAN (Claude Morin) August 2025.,F8; F-8E(FN); F8E; Crusader,Base d'Aéronautique Navale de Landivisiau Aircraft Displays,on_display
Dassault,Étendard IV,M,15,,,fixed_wing,monoplane,military,ground_attack,,Inside the wire at BAN Landivisiau; listed by ARDHAN (Claude Morin) August 2025.,Etendard IV; EtendardIV; Etendard IVM,Base d'Aéronautique Navale de Landivisiau Aircraft Displays,on_display
Dassault,Étendard IV,M,52,,,fixed_wing,monoplane,military,ground_attack,,Presence queried by ARDHAN. Inside the wire at BAN Landivisiau; listed by ARDHAN (Claude Morin) August 2025.,Etendard IV; EtendardIV,Base d'Aéronautique Navale de Landivisiau Aircraft Displays,on_display
Dassault,Super Étendard,M,18,,,fixed_wing,monoplane,military,ground_attack,,Inside the wire at BAN Landivisiau; listed by ARDHAN (Claude Morin) August 2025.,Super Etendard; SEM,Base d'Aéronautique Navale de Landivisiau Aircraft Displays,on_display
Dassault,Super Étendard,M,23,,,fixed_wing,monoplane,military,ground_attack,,Inside the wire at BAN Landivisiau; listed by ARDHAN (Claude Morin) August 2025.,Super Etendard; SEM,Base d'Aéronautique Navale de Landivisiau Aircraft Displays,on_display
Dassault,Super Étendard,M,30,,,fixed_wing,monoplane,military,ground_attack,,Inside the wire at BAN Landivisiau; listed by ARDHAN (Claude Morin) August 2025.,Super Etendard; SEM,Base d'Aéronautique Navale de Landivisiau Aircraft Displays,on_display
Dassault,Super Étendard,M,61,,,fixed_wing,monoplane,military,ground_attack,,Used by the base fire section for training. Inside the wire at BAN Landivisiau; listed by ARDHAN (Claude Morin) August 2025.,Super Etendard; SEM,Base d'Aéronautique Navale de Landivisiau Aircraft Displays,on_display
Dassault,Super Étendard,M,50,,,fixed_wing,monoplane,military,ground_attack,,"Cockpit section only, displayed in the Flottille 17F crew room. Inside the wire at BAN Landivisiau; listed by ARDHAN (Claude Morin) August 2025.",Super Etendard; SEM,Base d'Aéronautique Navale de Landivisiau Aircraft Displays,on_display
Dassault,Super Étendard,M,59,,,fixed_wing,monoplane,military,ground_attack,,"Cockpit section only, displayed in the Flottille 11F crew room. Inside the wire at BAN Landivisiau; listed by ARDHAN (Claude Morin) August 2025.",Super Etendard; SEM,Base d'Aéronautique Navale de Landivisiau Aircraft Displays,on_display
Fouga,CM.175,,30,,,fixed_wing,monoplane,military,trainer,,Zéphyr. Inside the wire at BAN Landivisiau; listed by ARDHAN (Claude Morin) August 2025.,CM175; Zéphyr; Zephyr,Base d'Aéronautique Navale de Landivisiau Aircraft Displays,on_display
