manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Dassault,MD.450,,231,,,fixed_wing,monoplane,military,fighter,,"Wears unit code 2-SC. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",Ouragan; MD450; MD-450; 2-SC,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
Dassault,MD.454,,278,,,fixed_wing,monoplane,military,fighter,,"Wears unit code 8-MB. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",Mystère IV; Mystere IVA; MD454; MD-454; Mystere 4; 8-MB,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
Dassault,Super Mystère,B2,79,,,fixed_wing,monoplane,military,fighter,,"Wears unit code 10-RH. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",SMB2; Super Mystere B2; 10-RH,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
Republic,F-84,F,,,,fixed_wing,monoplane,military,ground_attack,,"Thunderstreak; individual serial not published by CANOPEE. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",F84; F-84F; F84F; Thunderstreak,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
North American,F-100,A,53-1580,,,fixed_wing,monoplane,military,fighter,,"Super Sabre. Wears unit code FW-580. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",F100; F-100A; F100A; Super Sabre; FW-580; FW580,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
Dassault,Mirage III,C,7,,,fixed_wing,monoplane,military,fighter,,"Wears unit code 10-SC. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",Mirage IIIC; MirageIII; Mirage 3C; 10-SC,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
Dassault,Mirage III,RD,360,,,fixed_wing,monoplane,military,recon,,"Wears unit code 33-TI. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",Mirage IIIRD; Mirage 3RD; 33-TI,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
Dassault,Mirage F1,C,10,,,fixed_wing,monoplane,military,fighter,,"Wears unit code 12-ZD. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",MirageF1; Mirage F1C; 12-ZD,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
Dassault,Mirage IV,A,1,,,fixed_wing,monoplane,military,bomber,,"Nuclear strike bomber. CANOPEE publishes this as number 1; Mirage IVA serials need checking against the airframe on site. Wears unit code AP. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",Mirage IVA; MirageIV; Mirage 4A; AP,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
SNCASO,Vautour,IIB,615,,,fixed_wing,monoplane,military,bomber,,"Wears unit code 92-AK. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",Vautour 2B; Vautour IIB; SO 4050; 92-AK,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
Fouga,CM.170,,538,,,fixed_wing,monoplane,military,trainer,,"Magister. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",CM170; Magister; Fouga Magister,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
Nord Aviation,Noratlas,2501,171,,,fixed_wing,monoplane,military,transport,,"Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",N2501; Nord 2501; Noratlas,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
Dassault,Mirage III,B,206,,,fixed_wing,monoplane,military,trainer,,"Wears unit code 2-FM. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",Mirage IIIB; Mirage 3B; 2-FM,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
Dassault,Mirage F1,C,41,,,fixed_wing,monoplane,military,fighter,,"Wears unit code 30-FG. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",MirageF1; Mirage F1C; 30-FG,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
Dassault,Mystère 20,P,182,,,fixed_wing,monoplane,military,recon,,"Falcon 20P. Wears unit code 339-JA. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",Mystere 20; Falcon 20; Mystere 20P; 339-JA,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
Nord Aviation,N 262,A,89,,,fixed_wing,monoplane,military,transport,,"Frégate. Wears unit code AZ. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",N262; Nord 262; Fregate; AZ,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
de Havilland Canada,DHC-6,,790,,,fixed_wing,monoplane,military,transport,,"Twin Otter; 790 is the construction number. Wears unit code CW. Listed on the Conservatoire CANOPEE own aircraft page (canopeechateaudun.fr), read September 2026.",DHC6; Twin Otter; c/n 790; CW,"Conservatoire d'Aéronefs CANOPEE, Châteaudun",on_display
