manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Mil,Mi-1,,3009,,,rotary_wing,,military,utility,,"Soviet-built Mil Mi-1 in the CELAG restoration collection. Listed in the CELAG collection inventory published by aviationmuseum.eu; CELAG's own site was last updated in 2019 and the association reorganised for lack of funding, so presence needs confirmation on site.",Mi1;Mi-1;Hare,Centre d'Études et de Loisirs Aérospatiaux de Grenoble,under_restoration
Piasecki,H-21,C,,,,rotary_wing,,military,transport,,"Piasecki H-21C 'banane volante', coded ARB; acquired by CELAG in 1981 and long displayed on the Quai de France in Grenoble. Listed in the CELAG collection inventory published by aviationmuseum.eu; CELAG's own site was last updated in 2019 and the association reorganised for lack of funding, so presence needs confirmation on site. Tail left blank because FR41 is already recorded on the H-21C at The Helicopter Museum, Weston-super-Mare, taken from that museum own fleet list; the CELAG attribution rests on a third-party inventory and a site last updated in 2019, so the two need reconciling on the ground.",H21; H-21C; H21C; Shawnee; ARB; FR41,Centre d'Études et de Loisirs Aérospatiaux de Grenoble,under_restoration
Sikorsky,H-19,D,4525,,,rotary_wing,,military,utility,,"Sikorsky H-19D coded RHC, acquired by CELAG in 1981. Listed in the CELAG collection inventory published by aviationmuseum.eu; CELAG's own site was last updated in 2019 and the association reorganised for lack of funding, so presence needs confirmation on site.",H19;H-19D;H19D;Chickasaw;S-55;S55;RHC,Centre d'Études et de Loisirs Aérospatiaux de Grenoble,under_restoration
Sud-Aviation,Alouette II,,57,,,rotary_wing,,military,utility,,"Alouette II coded 57-JL. Listed in the CELAG collection inventory published by aviationmuseum.eu; CELAG's own site was last updated in 2019 and the association reorganised for lack of funding, so presence needs confirmation on site.",Alouette 2;SE 3130;SE3130;57-JL,Centre d'Études et de Loisirs Aérospatiaux de Grenoble,under_restoration
Sud-Aviation,Alouette II,,129,,,rotary_wing,,military,utility,,"Alouette II in the CELAG collection. Listed in the CELAG collection inventory published by aviationmuseum.eu; CELAG's own site was last updated in 2019 and the association reorganised for lack of funding, so presence needs confirmation on site.",Alouette 2;SE 3130;SE3130,Centre d'Études et de Loisirs Aérospatiaux de Grenoble,under_restoration
Sud-Aviation,Alouette II,,488,,,rotary_wing,,military,utility,,"Ex-Aeronautique navale Alouette II; still recorded at CELAG in the ARDHAN census of February 2025, which is the most recent confirmation for this airframe.",Alouette 2;SE 3130;SE3130,Centre d'Études et de Loisirs Aérospatiaux de Grenoble,on_display
Sud-Aviation,Alouette II,,236,,,rotary_wing,,military,utility,,"Alouette II coded DY. Listed in the CELAG collection inventory published by aviationmuseum.eu; CELAG's own site was last updated in 2019 and the association reorganised for lack of funding, so presence needs confirmation on site.",Alouette 2;SE 3130;SE3130;DY,Centre d'Études et de Loisirs Aérospatiaux de Grenoble,under_restoration
Sud-Aviation,Alouette II,,1730,,,rotary_wing,,military,utility,,"Alouette II in the CELAG collection. Listed in the CELAG collection inventory published by aviationmuseum.eu; CELAG's own site was last updated in 2019 and the association reorganised for lack of funding, so presence needs confirmation on site.",Alouette 2;SA 318;SA318,Centre d'Études et de Loisirs Aérospatiaux de Grenoble,under_restoration
Sud-Aviation,Alouette III,,1412,,,rotary_wing,,military,utility,,"Alouette III coded BLO. Listed in the CELAG collection inventory published by aviationmuseum.eu; CELAG's own site was last updated in 2019 and the association reorganised for lack of funding, so presence needs confirmation on site.",Alouette 3;SA 316;SA316;BLO,Centre d'Études et de Loisirs Aérospatiaux de Grenoble,under_restoration
Sud-Aviation,Alouette III,,1968,,,rotary_wing,,military,utility,,"Alouette III in the CELAG collection. Listed in the CELAG collection inventory published by aviationmuseum.eu; CELAG's own site was last updated in 2019 and the association reorganised for lack of funding, so presence needs confirmation on site.",Alouette 3;SA 316;SA316,Centre d'Études et de Loisirs Aérospatiaux de Grenoble,under_restoration
Sud-Aviation,Alouette III,,2084,,,rotary_wing,,military,utility,,"Alouette III in the CELAG collection. Listed in the CELAG collection inventory published by aviationmuseum.eu; CELAG's own site was last updated in 2019 and the association reorganised for lack of funding, so presence needs confirmation on site.",Alouette 3;SA 316;SA316,Centre d'Études et de Loisirs Aérospatiaux de Grenoble,under_restoration
Sud-Aviation,Alouette III,,2112,,,rotary_wing,,military,utility,,"Alouette III coded GMS. Listed in the CELAG collection inventory published by aviationmuseum.eu; CELAG's own site was last updated in 2019 and the association reorganised for lack of funding, so presence needs confirmation on site.",Alouette 3;SA 316;SA316;GMS,Centre d'Études et de Loisirs Aérospatiaux de Grenoble,under_restoration
SNCASO,SO.1221,,FC-1,,,rotary_wing,,military,utility,,"Sud-Ouest Djinn tip-jet helicopter. Listed in the CELAG collection inventory published by aviationmuseum.eu; CELAG's own site was last updated in 2019 and the association reorganised for lack of funding, so presence needs confirmation on site.",SO1221;SO.1221;Djinn;FC-1;FC1,Centre d'Études et de Loisirs Aérospatiaux de Grenoble,under_restoration
