name,level,lat,lon,matched
Ailes Anciennes Toulouse,address,43.65795,1.35868,"4, Rue Roger Béteille, Pinot, Blagnac, Toulouse, Haute-Garonne, Occitanie, France métropolitaine, 31700, Franc"
Musée européen de l'Aviation de Chasse,address,44.58024,4.73755,"Aérodrome de Montélimar - Ancône, Rue Roger Morin, Zone industrielle le Meyrol, L'Aerodrome, Montélimar, Nyons"
Musée Volant Jean-Baptiste Salis,address,48.49780,2.33991,"Aérodrome de Cerny - La Ferté-Alais, Chemin du Bardiveau au Pont, Cerny, Étampes, Essonne, Île-de-France, Fran"
Musée de l'Hydraviation,address,44.38939,-1.18242,"Musée de l'Hydraviation, 332, Rue Louis Bréguet, Trappe, Biscarrosse, Mont-de-Marsan, Landes, Nouvelle-Aquitai"
Conservatoire de l'Air et de l'Espace d'Aquitaine,postcode,44.83231,-0.68182,"33700, Beaudésert, Mérignac, Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, France"
Musée de l'ALAT et de l'Hélicoptère,address,43.69194,-1.06435,"Musée de l'ALAT et de l'hélicoptère, 58, Avenue de l'Aérodrome, Dax, Landes, Nouvelle-Aquitaine, France métrop"
Musée Aéronautique Presqu'île Côte d'Amour,address,47.28616,-2.34879,"Aérodrome de La Baule-Escoublac, Avenue René Bazin, La Ville Halgand, Escoublac, La Baule-Escoublac, Saint-Naz"
Musée de l'Aviation Clément Ader,postcode,45.66833,4.90852,"69960, Corbas, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France"
Morbihan Aéro Musée,address,47.72411,-2.72425,"Aéroport de Vannes - Golfe du Morbihan, CR 42, Kersimon, Monterblanc, Vannes, Morbihan, Bretagne, France métro"
Hangar Y,address,48.80393,2.23443,"Avenue de Trivaux, Derrière le Parc de Chalais, Fleury, Meudon, Boulogne-Billancourt, Hauts-de-Seine, Île-de-F"
Conservatoire CANOPEE Châteaudun,postcode,48.07522,1.36744,"28200, Jallans, Châteaudun, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, France"
Musée de l'Aviation de Melun-Villaroche,postcode,48.57406,2.69870,"77950, Saint-Germain-Laxis, Melun, Seine-et-Marne, Île-de-France, France métropolitaine, France"
Base d'Aéronautique Navale de Hyères Aircraft Collection,postcode,43.10165,6.18978,"83400, France métropolitaine, France"
Base d'Aéronautique Navale de Landivisiau Aircraft Displays,postcode,48.49901,-4.09263,"29400, Landivisiau, Morlaix, Finistère, Bretagne, France métropolitaine, France"
Base d'Aéronautique Navale de Lann-Bihoué Aircraft Displays,postcode,47.73247,-3.44221,"56270, Plœmeur, Lorient, Morbihan, Bretagne, France métropolitaine, France"
