name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Aeroscopia,Blagnac,Occitanie,France,31700,Europe,"6 rue Roger Beteille, Haute-Garonne",https://www.musee-aeroscopia.fr,public,43.6598667,1.36053056
Ailes Anciennes Toulouse,Blagnac,Occitanie,France,31700,Europe,"4 rue Roger Beteille, Haute-Garonne",https://aatlse.org,public,43.65795,1.35868
Musée européen de l'Aviation de Chasse,Montélimar,Auvergne-Rhône-Alpes,France,26200,Europe,"Aérodrome de Montélimar-Ancône, Drôme",https://www.meacmtl.com,public,44.58024,4.73755
Espace Air Passion,Marcé,Pays de la Loire,France,49140,Europe,"Angers Loire Aéroport, Maine-et-Loire",https://www.musee-aviation-angers.fr,public,47.562769,-0.315317
Musée de l'Aéronautique Navale,Rochefort,Nouvelle-Aquitaine,France,17300,Europe,"Ancienne base d'aéronautique navale de Rochefort-Soubise, Charente-Maritime",https://www.anaman.fr,public,45.934374,-0.990239
Musée du Château de Savigny-lès-Beaune,Savigny-lès-Beaune,Bourgogne-Franche-Comté,France,21420,Europe,"Rue du Château, Côte-d'Or",https://www.chateau-savigny.com,public,47.061667,4.818611
Musée Volant Jean-Baptiste Salis,Cerny,Île-de-France,France,91590,Europe,"Aérodrome de Cerny - La Ferté-Alais, Essonne",https://ajbs.fr,public,48.49780,2.33991
Musée de l'Hydraviation,Biscarrosse,Nouvelle-Aquitaine,France,40600,Europe,"332 rue Louis Breguet, Landes",https://www.hydravions-biscarrosse.com,public,44.38939,-1.18242
Conservatoire de l'Air et de l'Espace d'Aquitaine,Mérignac,Nouvelle-Aquitaine,France,33700,Europe,"Base aérienne 106 Bordeaux-Mérignac, Gironde",https://www.caea.fr,appointment,44.83231,-0.68182
Musée de l'ALAT et de l'Hélicoptère,Dax,Nouvelle-Aquitaine,France,40100,Europe,"58 avenue de l'Aérodrome, Landes",https://museealathelicopteredax.fr,public,43.69194,-1.06435
Musée Aéronautique Presqu'île Côte d'Amour,La Baule-Escoublac,Pays de la Loire,France,44500,Europe,"Aérodrome de La Baule-Escoublac, Loire-Atlantique",https://www.mapica.fr,appointment,47.28616,-2.34879
Musée de l'Aviation Clément Ader,Corbas,Auvergne-Rhône-Alpes,France,69960,Europe,"Aérodrome de Lyon-Corbas, Rhône",https://museeaviationlyon.fr,appointment,45.66833,4.90852
Morbihan Aéro Musée,Monterblanc,Bretagne,France,56250,Europe,"Aéroport de Vannes-Golfe du Morbihan, Morbihan",https://morbihan-aero-musee.com,public,47.72411,-2.72425
Hangar Y,Meudon,Île-de-France,France,92190,Europe,"9 avenue de Trivaux, Hauts-de-Seine",https://hangar-y.com,public,48.80393,2.23443
Cité de l'espace,Toulouse,Occitanie,France,31500,Europe,"Avenue Jean Gonord, Haute-Garonne",https://www.cite-espace.com,public,43.586961,1.493164
Musée Aéronautique et Spatial Safran,Réau,Île-de-France,France,77550,Europe,"Rond-point René Ravaud, Seine-et-Marne",https://www.museesafran.com,appointment,48.606582,2.670364
Conservatoire CANOPEE Châteaudun,Châteaudun,Centre-Val de Loire,France,28200,Europe,"2 route d'Orléans, ancienne base aérienne 279, Eure-et-Loir",https://canopeechateaudun.fr,public,48.07522,1.36744
