manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Aérospatiale,SE.3130,,238,Alouette II,,rotary_wing,,military,utility,,Alouette II number 238 in the museum's collection.,SE3130; Alouette II; AlouetteII,Musée de l'Aviation Clément Ader,on_display
Aérospatiale,SA 316,,1412,Alouette III,,rotary_wing,,military,utility,,Alouette III number 1412.,SA316; Alouette III; AlouetteIII,Musée de l'Aviation Clément Ader,on_display
Zipfel,Aéroplane,,,,,fixed_wing,biplane,civilian,experimental,1908,Half-scale reproduction of Armand Zipfel's 1908 aeroplane.,Zipfel; Zipfel 1908,Musée de l'Aviation Clément Ader,on_display
Breguet,1050,,47,Alizé,,fixed_wing,monoplane,military,anti_ship,,Alizé number 47.,Br1050; Br.1050; Alizé,Musée de l'Aviation Clément Ader,on_display
Croses,Pou du Ciel,,,,,fixed_wing,monoplane,civilian,private,,Amateur-built Pou-du-Ciel type in the collection.,Pou du Ciel; PouduCiel; Croses,Musée de l'Aviation Clément Ader,on_display
Dassault-Dornier,Alpha Jet,,8,,,fixed_wing,monoplane,military,trainer,,Alpha Jet number 8 in Patrouille de France colours.,Alpha Jet; AlphaJet; PAF,Musée de l'Aviation Clément Ader,on_display
Dassault,Étendard IV,M,34,,,fixed_wing,monoplane,military,fighter,,Étendard IV M number 34.,Etendard IVM; Étendard IVM; EtendardIVM,Musée de l'Aviation Clément Ader,on_display
Dassault,MD 450,,297,Ouragan,,fixed_wing,monoplane,military,fighter,,Ouragan number 297; its restoration won the Grand Prix de l'Aéro-Club de France in 2020 and it was displayed on the forecourt of the Invalides in Paris for three months in 2022.,MD450; MD 450; Ouragan,Musée de l'Aviation Clément Ader,on_display
Dassault,Mirage III,B,001,,,fixed_wing,monoplane,military,trainer,,Mirage III B 001.,Mirage IIIB; MirageIIIB,Musée de l'Aviation Clément Ader,on_display
Dassault,Mirage III,C,30,,,fixed_wing,monoplane,military,fighter,,Mirage III C number 30.,Mirage IIIC; MirageIIIC,Musée de l'Aviation Clément Ader,on_display
Dassault,Mirage III,E,,,,fixed_wing,monoplane,military,ground_attack,,Mirage III E 001. Tail left blank because the museum also holds Mirage IIIB 001 and the database keys aircraft on model plus tail.,Mirage IIIE; MirageIIIE; 001,Musée de l'Aviation Clément Ader,on_display
Dassault,Mirage III,R,,,,fixed_wing,monoplane,military,recon,,"Mirage III R prototype number 02, a unique airframe. Tail left blank because the short French number 02 is shared with the Mirage IIIA 02 displayed at ISAE-SUPAERO and the database keys aircraft on model plus tail.",Mirage IIIR; MirageIIIR; 02,Musée de l'Aviation Clément Ader,on_display
Dassault,Mirage IV,P,28,,,fixed_wing,monoplane,military,bomber,,Mirage IV P number 28; listed as a monument historique in April 2015.,Mirage IVP; MirageIVP,Musée de l'Aviation Clément Ader,on_display
Dassault,Mirage 2000,B,519,,,fixed_wing,monoplane,military,trainer,,Mirage 2000 B number 519.,Mirage 2000B; Mirage2000B,Musée de l'Aviation Clément Ader,on_display
Dassault,Mirage 2000,C,,,,fixed_wing,monoplane,military,fighter,,Mirage 2000 C; serial not published by the museum.,Mirage 2000C; Mirage2000C,Musée de l'Aviation Clément Ader,on_display
Dassault,Super Étendard,,71,,,fixed_wing,monoplane,military,ground_attack,,Super Étendard number 71.,Super Etendard; SuperEtendard; SEM,Musée de l'Aviation Clément Ader,on_display
Dassault,Mirage F1,B,518,,,fixed_wing,monoplane,military,trainer,,Mirage F1 B number 518.,Mirage F1B; MirageF1B,Musée de l'Aviation Clément Ader,on_display
