manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Nord Aviation,2501,,,Noratlas,,fixed_wing,monoplane,military,transport,,In the Morbihan Aéro Musée at Vannes-Monterblanc airfield.,N2501; Nord 2501; Noratlas,Morbihan Aéro Musée,on_display
Transall,C-160,,,,,fixed_wing,monoplane,military,transport,,In the Morbihan Aéro Musée at Vannes-Monterblanc airfield.,C160; C-160; Transall,Morbihan Aéro Musée,on_display
Sikorsky,H-34,,705,,,rotary_wing,,military,utility,,In the Morbihan Aéro Musée at Vannes-Monterblanc airfield. Arrived July 2022 and being restored in 1961 HSS naval configuration in 2024. Serial from the ARDHAN inventory of preserved French naval aircraft dated February 2025.,H34; H-34; HSS; Choctaw,Morbihan Aéro Musée,under_restoration
Dassault,Étendard IV,M,14,,,fixed_wing,monoplane,military,fighter,,In the Morbihan Aéro Musée at Vannes-Monterblanc airfield. Previously at the Musée de Cornouaille at Plobannalec; full restoration completed August 2023. Serial from the ARDHAN inventory of preserved French naval aircraft dated February 2025.,Etendard IVM; Étendard IVM; EtendardIVM,Morbihan Aéro Musée,on_display
Fouga,CM.170,,,Magister,,fixed_wing,monoplane,military,trainer,,In the Morbihan Aéro Musée at Vannes-Monterblanc airfield.,CM170; CM.170; Magister,Morbihan Aéro Musée,on_display
Lockheed,T-33,,,Silver Star,,fixed_wing,monoplane,military,trainer,,In the Morbihan Aéro Musée at Vannes-Monterblanc airfield.,T33; T-33; Silver Star; T-Bird,Morbihan Aéro Musée,on_display
McDonnell Douglas,F-4,,,Phantom II,,fixed_wing,monoplane,military,fighter,,In the Morbihan Aéro Musée at Vannes-Monterblanc airfield. Version and serial not published by the museum.,F4; F-4; Phantom,Morbihan Aéro Musée,on_display
Morane-Saulnier,MS.733,,,Alcyon,,fixed_wing,monoplane,military,trainer,,In the Morbihan Aéro Musée at Vannes-Monterblanc airfield.,MS733; MS.733; Alcyon,Morbihan Aéro Musée,on_display
Pitts,S-1,D,,Special,,fixed_wing,biplane,civilian,private,,In the Morbihan Aéro Musée at Vannes-Monterblanc airfield.,S1D; S-1D; Pitts Special; S1,Morbihan Aéro Musée,on_display
Schneider,SG 38,,,,,fixed_wing,monoplane,civilian,private,,In the Morbihan Aéro Musée at Vannes-Monterblanc airfield. Displayed indoors.,SG38; SG 38; Schulgleiter,Morbihan Aéro Musée,on_display
Mauboussin,120,,,Corsaire,,fixed_wing,monoplane,civilian,private,,In the Morbihan Aéro Musée at Vannes-Monterblanc airfield. Displayed indoors.,Mauboussin 120; Corsaire,Morbihan Aéro Musée,on_display
Mignet,HM.14,,,Pou-du-Ciel,,fixed_wing,monoplane,civilian,private,,In the Morbihan Aéro Musée at Vannes-Monterblanc airfield. Displayed indoors.,HM14; HM.14; Pou-du-Ciel,Morbihan Aéro Musée,on_display
Caudron,C.800,,,Épervier,,fixed_wing,monoplane,civilian,private,,In the Morbihan Aéro Musée at Vannes-Monterblanc airfield. Displayed indoors.,C800; C.800; Epervier,Morbihan Aéro Musée,on_display
