manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Sud-Aviation,Alouette II,SE 3130,341,,,rotary_wing,,military,utility,,"Collection listed in the association's own photo albums at poleaeronautiqueavord.fr (read September 2026) and, for the Mirage 2000N and Alpha Jet, the Fondation du Patrimoine appeal page.",SE3130; Alouette 2,Pôle Aéronautique d'Avord,on_display
Embraer,EMB-121,AA,70,,,fixed_wing,monoplane,military,transport,,"Xingu; the association has fitted out the cabin as a display. Collection listed in the association's own photo albums at poleaeronautiqueavord.fr (read September 2026) and, for the Mirage 2000N and Alpha Jet, the Fondation du Patrimoine appeal page.",EMB121; Xingu; EMB-121 Xingu; EMB121AA,Pôle Aéronautique d'Avord,on_display
SEPECAT,Jaguar,A,A22,,,fixed_wing,monoplane,military,ground_attack,,"Collection listed in the association's own photo albums at poleaeronautiqueavord.fr (read September 2026) and, for the Mirage 2000N and Alpha Jet, the Fondation du Patrimoine appeal page.",Jaguar A; A22,Pôle Aéronautique d'Avord,on_display
Dassault,Mirage 2000,N,339,,,fixed_wing,monoplane,military,ground_attack,,"Previously flown from BA 116 Luxeuil; subject of a Fondation du Patrimoine restoration appeal. Collection listed in the association's own photo albums at poleaeronautiqueavord.fr (read September 2026) and, for the Mirage 2000N and Alpha Jet, the Fondation du Patrimoine appeal page.",Mirage2000; Mirage 2000N,Pôle Aéronautique d'Avord,on_display
Dassault,Mirage F1,CT,260,,,fixed_wing,monoplane,military,ground_attack,,"Collection listed in the association's own photo albums at poleaeronautiqueavord.fr (read September 2026) and, for the Mirage 2000N and Alpha Jet, the Fondation du Patrimoine appeal page.",MirageF1; Mirage F1CT; F1CT,Pôle Aéronautique d'Avord,on_display
Dassault,Mirage III,B,214,,,fixed_wing,monoplane,military,trainer,,"Collection listed in the association's own photo albums at poleaeronautiqueavord.fr (read September 2026) and, for the Mirage 2000N and Alpha Jet, the Fondation du Patrimoine appeal page.",Mirage IIIB; Mirage 3B,Pôle Aéronautique d'Avord,on_display
Dassault,Mirage III,E,489,,,fixed_wing,monoplane,military,fighter,,"Collection listed in the association's own photo albums at poleaeronautiqueavord.fr (read September 2026) and, for the Mirage 2000N and Alpha Jet, the Fondation du Patrimoine appeal page.",Mirage IIIE; Mirage 3E,Pôle Aéronautique d'Avord,on_display
Dassault,MD.454,,63,,,fixed_wing,monoplane,military,fighter,,"Mystère IVA, restored by the association. Collection listed in the association's own photo albums at poleaeronautiqueavord.fr (read September 2026) and, for the Mirage 2000N and Alpha Jet, the Fondation du Patrimoine appeal page.",Mystere IVA; MD454; MD-454; Mystere 4,Pôle Aéronautique d'Avord,on_display
Dassault,Alpha Jet,E,E43,,,fixed_wing,monoplane,military,trainer,,"Previously flown from BA 705 Tours; subject of a Fondation du Patrimoine restoration appeal. Collection listed in the association's own photo albums at poleaeronautiqueavord.fr (read September 2026) and, for the Mirage 2000N and Alpha Jet, the Fondation du Patrimoine appeal page.",AlphaJet; Alpha Jet E; Alphajet,Pôle Aéronautique d'Avord,on_display
CAC Systèmes,Fox,,,,,fixed_wing,monoplane,military,drone,,"Target drone displayed in the collection; individual number not published. Collection listed in the association's own photo albums at poleaeronautiqueavord.fr (read September 2026) and, for the Mirage 2000N and Alpha Jet, the Fondation du Patrimoine appeal page.",Fox TS; CAC Fox,Pôle Aéronautique d'Avord,on_display
