name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
National Museum of the Mighty Eighth Air Force,Pooler,Georgia,United States,31322,North America,175 Bourne Avenue,https://www.mightyeighth.org,public,32.115317,-81.236117
Delta Flight Museum,Atlanta,Georgia,United States,30354,North America,747 Woolman Place,https://deltamuseum.org,public,33.656481,-84.422358
Georgia Veterans Memorial State Park -- Cordele,Cordele,Georgia,United States,31015,North America,2459 US Highway 280 West,https://gastateparks.org/GeorgiaVeterans,public,31.958808,-83.911439
The National Infantry Museum,Columbus,Georgia,United States,31903,North America,1775 Legacy Way,https://www.nationalinfantrymuseum.org,public,32.354711,-84.969872
Commemorative Air Force Airbase Georgia,Peachtree City,Georgia,United States,30269,North America,1200 Echo Court Atlanta Regional Airport Falcon Field,https://airbasegeorgia.org,public,33.357800,-84.571900
Army Aviation Heritage Foundation and Flying Museum,Hampton,Georgia,United States,30228,North America,506 Speedway Boulevard Atlanta Speedway Airport,https://armyav.org,public,33.377100,-84.331900
The Museum of Flight -- Dallas,Dallas,Georgia,United States,30157,North America,730 Airport Parkway Paulding Northwest Atlanta Airport,https://www.mofts.org,public,33.914600,-84.945800
The Museum of Flight -- Rome,Rome,Georgia,United States,30165,North America,304 Russell Field Road Richard B Russell Airport,https://www.mofts.org,appointment,34.351800,-85.163336
Griffin B. Bell Aerospace Technology Center -- South Georgia Technical College,Americus,Georgia,United States,31709,North America,900 South Georgia Tech Parkway Jimmy Carter Regional Airport,https://www.southgatech.edu,appointment,32.118628,-84.186967
Tellus Science Museum,Cartersville,Georgia,United States,30120,North America,100 Tellus Drive,https://tellusmuseum.org,public,34.202700,-84.827800
57th Fighter Group Restaurant -- Atlanta,Atlanta,Georgia,United States,30341,North America,3829 Clairmont Road DeKalb-Peachtree Airport,https://www.the57threstaurant.com,public,33.872406,-84.305764
Flying Cowboy Steakhouse -- Douglas,Douglas,Georgia,United States,31535,North America,1645 South Peterson Avenue,https://flyincowboy.netwaiter.com,public,31.483603,-82.851692
Zacks Mini Warehousing -- Locust Grove,Locust Grove,Georgia,United States,30248,North America,Bill Gardner Parkway,,public,33.392542,-84.137994
Aviation History & Technology Center,Marietta,Georgia,United States,30060,North America,555 Perrin Road,https://ahtc360.org,public,33.933380,-84.538400
Burger King -- Locust Grove,Locust Grove,Georgia,United States,30248,North America,Burger King; Bill Gardner Parkway,,public,33.3534694,-84.1205694
President George W. Bush Air Park -- Moody Air Force Base,Valdosta,Georgia,United States,31699,North America,Moody AFB near Bemiss Road,https://www.moody.af.mil/,restricted,30.97510,-83.20400
116th Air Control Wing Heritage Display -- Robins Air Force Base,Warner Robins,Georgia,United States,31098,North America,Robins AFB near the Watson Boulevard main gate,https://www.robins.af.mil/,restricted,32.62033,-83.59917
Dobbins Air Reserve Base -- Marietta,Marietta,Georgia,United States,30069,North America,1094 Hood Avenue Dobbins ARB,https://www.dobbins.afrc.af.mil/,restricted,33.92060,-84.50449
Georgia Air National Guard 224th Joint Communications Support Squadron -- Brunswick,Brunswick,Georgia,United States,31525,North America,Georgia ANG facility Brunswick Golden Isles Airport former NAS Glynco,https://ga.ng.mil/,restricted,31.24696,-81.48597
Savannah Air National Guard Base -- Garden City,Garden City,Georgia,United States,31408,North America,1401 Robert B Miller Jr Drive Savannah Air National Guard Base,https://www.165aw.ang.af.mil/,restricted,32.13300,-81.20500
Memorial Park -- Alma,Alma,Georgia,United States,31510,North America,Memorial Park; US-1 at W 12th St,https://www.cityofalma.com/,public,31.5420361,-82.4627194
VFW Post 2872 -- Athens,Athens,Georgia,United States,30606,North America,835 Sunset Drive,https://www.vfw.org/,public,33.9673528,-83.4104611
American Legion Post 201 -- Alpharetta,Alpharetta,Georgia,United States,30009,North America,201 Wills Road; Walk of Memories,https://alpharettapost201.org/,public,34.0745563,-84.3105196
American Legion Post 77 -- Conyers,Conyers,Georgia,United States,30012,North America,American Legion Road NE,https://www.legion.org/,public,33.6601167,-84.0016667
Walk of Heroes Veterans War Memorial -- Conyers,Conyers,Georgia,United States,30012,North America,3001 Black Shoals Road NE,https://walkofheroes.org/,public,33.7494944,-83.9480472
Cobb County Youth Museum -- Marietta,Marietta,Georgia,United States,30064,North America,649 Cheatham Hill Drive SW,https://www.mariettaga.gov/,public,33.9397222,-84.5958611
Falcon Field Veterans Memorial Park -- Peachtree City,Peachtree City,Georgia,United States,30269,North America,Atlanta Regional Airport - Falcon Field; Aviation Way,https://www.peachtree-city.org/,public,33.3594111,-84.5693444
Helton Howland Memorial Park -- Tallapoosa,Tallapoosa,Georgia,United States,30176,North America,Helton Howland Memorial Park; US-78,https://tallapoosaga.gov/attractions/,public,33.7380222,-85.2652000
American Legion Post 127 -- Buford,Buford,Georgia,United States,30518,North America,American Legion Post 127; Buford,https://www.legion.org/,public,34.1342111,-83.9916250
VFW Post 8433 -- Cairo,Cairo,Georgia,United States,39828,North America,VFW Post 8433 grounds,https://www.vfw.org/,public,30.8862500,-84.2073556
VFW Post 8433 Davis Park -- Cairo,Cairo,Georgia,United States,39828,North America,Davis Park; Cairo,https://www.vfw.org/,public,30.8794139,-84.2063278
Holland-Watson Veterans Memorial Park -- Chickamauga,Chickamauga,Georgia,United States,30707,North America,Holland-Watson Veterans Memorial Park,https://www.chickamaugaga.gov/,public,34.8743556,-85.2856528
American Legion Post 157 -- Donalsonville,Donalsonville,Georgia,United States,39845,North America,Donalsonville Municipal Airport,https://www.legion.org/,public,30.9977806,-84.8807750
Hunter Memorial Park -- Douglasville,Douglasville,Georgia,United States,30134,North America,8830 Gurley Road; Hunter Memorial Park,https://www.douglasvillega.gov/,public,33.7415194,-84.7689667
VFW Post 8076 -- Hartwell,Hartwell,Georgia,United States,30643,North America,VFW Post 8076; Hartwell,https://www.vfw.org/,public,34.3822278,-82.9438472
American Legion Post 123 -- Lexington,Lexington,Georgia,United States,30648,North America,American Legion Post 123; Lexington,https://www.legion.org/,public,33.8807306,-83.1087083
Georgia National Guard Academy -- Macon,Macon,Georgia,United States,31217,North America,Georgia Garrison Training Center area; Macon,,restricted,32.8599611,-83.6069417
VFW Post 6605 -- Warner Robins,Warner Robins,Georgia,United States,31088,North America,VFW Post 6605; Warner Robins,https://www.vfw.org/,public,32.6191667,-83.6092083
Warner Robins City Hall -- Warner Robins,Warner Robins,Georgia,United States,31093,North America,700 Watson Boulevard,https://www.wrga.gov/,public,32.6172000,-83.6400000
Donnie Cochran Memorial -- Savannah State University,Savannah,Georgia,United States,31404,North America,3219 College Street; Savannah State University NROTC,https://www.savannahstate.edu/,public,32.0262972,-81.0675306
American Legion Post 120 -- Waynesboro,Waynesboro,Georgia,United States,30830,North America,American Legion Post 120; Waynesboro,https://www.legion.org/,public,33.0809389,-82.0102833
Masonic Lodge 197 -- Willacoochee,Willacoochee,Georgia,United States,31650,North America,Main Street at US Route 82,,public,31.3414278,-83.0477667
Veterans Memorial Park -- Williamson,Williamson,Georgia,United States,30292,North America,Veterans Memorial Park; Williamson,,public,33.1831361,-84.3610389
Griffin-Spalding County Airport -- Griffin,Griffin,Georgia,United States,30223,North America,118 Huff Deland Circle,https://www.cityofgriffin.com/,public,33.2242278,-84.2741806
Barrow County Airport -- Winder,Winder,Georgia,United States,30680,North America,Barrow County Airport (WDR),,public,33.9835944,-83.6659694
Fannin County Veterans Memorial Park -- Blue Ridge,Blue Ridge,Georgia,United States,30513,North America,4560 Old Highway 76,https://galegionpost248.org/fannin-county-veterans-memorial-park/,public,34.8708833,-84.3055224
Bleckley County School -- Cochran,Cochran,Georgia,United States,31014,North America,Bleckley County School campus,,public,32.3808083,-83.3476556
Sam's Burger Deli rooftop -- Armuchee,Armuchee,Georgia,United States,30105,North America,3268 Martha Berry Highway,,public,,
Douglas Municipal Airport -- Douglas,Douglas,Georgia,United States,31533,North America,Douglas Municipal Airport,,public,,
Byron Roadside T-33 Display -- Byron,Byron,Georgia,United States,31008,North America,Watson Boulevard near Highway 247C and I-75,,public,32.6106804,-83.7421389
Webb Military Museum -- Savannah,Savannah,Georgia,United States,31401,North America,411 East York Street,https://www.webbmilitarymuseum.com/,public,,
6th Cavalry Museum -- Fort Oglethorpe,Fort Oglethorpe,Georgia,United States,30742,North America,2 Barnhardt Circle,https://www.6thcavalrymuseum.com/,public,34.9433222,-85.2603056
