manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Canadair,CL-13,A Sabre Mk 5,BB+130,,,fixed_wing,monoplane,military,fighter,,Ex-Bundesluftwaffe Sabre. Photographed on site 11 September 2020; an inventory list renders the code JA+130.,CL13; Sabre; F-86; F86,Airpark Zehdenick,on_display
Canadair,CL-13,B Sabre Mk 6,JC+102,,,fixed_wing,monoplane,military,fighter,,Ex-Bundesluftwaffe Sabre Mk 6 in Jagdgeschwader 73 markings.,CL13; Sabre; F-86; F86,Airpark Zehdenick,on_display
Fiat,G.91,R/3,99+03,,,fixed_wing,monoplane,military,ground_attack,,Ex-Bundesluftwaffe G.91R/3. Photographed on site 11 September 2020.,G91; Gina,Airpark Zehdenick,on_display
Fiat,G.91,R/3,99+10,,,fixed_wing,monoplane,military,ground_attack,,Ex-Bundesluftwaffe G.91R/3.,G91; Gina,Airpark Zehdenick,on_display
Fiat,G.91,T/3,34+55,,,fixed_wing,monoplane,military,trainer,,Ex-Bundesluftwaffe two-seat G.91T/3. Photographed on site 11 September 2020.,G91; G91T; Gina,Airpark Zehdenick,on_display
Lockheed,F-104,G,21+12,,,fixed_wing,monoplane,military,fighter,,"Ex-Bundesluftwaffe Starfighter. A 2020 photograph at this site was captioned as an F-104F coded 20+86, which may be a second Starfighter or a misreading.",F104; F104G; Starfighter,Airpark Zehdenick,on_display
McDonnell Douglas,F-4,F Phantom II,38+49,,,fixed_wing,monoplane,military,fighter,,Ex-Luftwaffe F-4F Phantom II.,F4; F4F; Phantom,Airpark Zehdenick,on_display
Panavia,Tornado,IDS,43+30,,,fixed_wing,monoplane,military,ground_attack,,Ex-Luftwaffe Tornado. Photographed on site 11 September 2020.,Tornado IDS; TornadoIDS,Airpark Zehdenick,on_display
Panavia,Tornado,IDS,44+53,,,fixed_wing,monoplane,military,ground_attack,,Ex-Luftwaffe Tornado.,Tornado IDS; TornadoIDS,Airpark Zehdenick,on_display
Republic,RF-84,F Thunderflash,EA+315,,,fixed_wing,monoplane,military,recon,,Ex-Bundesluftwaffe reconnaissance Thunderflash. Photographed on site 11 September 2020.,RF84; RF84F; Thunderflash,Airpark Zehdenick,on_display
PZL-Mielec,TS-11,Iskra bis B,812,,,fixed_wing,monoplane,military,trainer,,Ex-Polish Air Force jet trainer. Photographed on site 11 September 2020.,TS11; Iskra,Airpark Zehdenick,on_display
Mikoyan-Gurevich,MiG-21,M,579,,,fixed_wing,monoplane,military,fighter,,Ex-NVA MiG-21M.,MiG21; MiG21M; Fishbed,Airpark Zehdenick,on_display
Mikoyan-Gurevich,MiG-21,MF,5304,,,fixed_wing,monoplane,military,fighter,,MiG-21MF in Bundeswehr markings 53+04. Photographed on site 11 September 2020.,MiG21; MiG21MF; Fishbed,Airpark Zehdenick,on_display
Mikoyan-Gurevich,MiG-21,MF,8907,,,fixed_wing,monoplane,military,fighter,,"Ex-Polish Air Force MiG-21MF, serial 8907. Photographed on site 17 July 2014.",MiG21; MiG21MF; Fishbed,Airpark Zehdenick,on_display
Mikoyan-Gurevich,MiG-21,SPS,353,,,fixed_wing,monoplane,military,fighter,,Ex-NVA MiG-21SPS.,MiG21; MiG21SPS; Fishbed,Airpark Zehdenick,on_display
Mikoyan-Gurevich,MiG-21,UM,229,,,fixed_wing,monoplane,military,trainer,,Ex-NVA two-seat MiG-21UM.,MiG21; MiG21UM; Mongol,Airpark Zehdenick,on_display
Mikoyan-Gurevich,MiG-21,UM,5710,,,fixed_wing,monoplane,military,trainer,,"Ex-Polish Air Force MiG-21UM, serial 5710. Photographed on site 11 September 2020.",MiG21; MiG21UM; Mongol,Airpark Zehdenick,on_display
Mikoyan-Gurevich,MiG-21,UM,9298,,,fixed_wing,monoplane,military,trainer,,"Ex-Polish Air Force MiG-21UM, serial 9298. Photographed on site 17 July 2014.",MiG21; MiG21UM; Mongol,Airpark Zehdenick,on_display
Mikoyan-Gurevich,MiG-23,UB,20+58,,,fixed_wing,monoplane,military,trainer,,Ex-NVA MiG-23UB in Bundeswehr markings.,MiG23; MiG23UB; Flogger,Airpark Zehdenick,on_display
Mikoyan-Gurevich,MiG-23,MF,459,,,fixed_wing,monoplane,military,fighter,,Ex-NVA MiG-23MF. Photographed on site 17 July 2014.,MiG23; MiG23MF; Flogger,Airpark Zehdenick,on_display
Mil,Mi-8,PS,970,,,rotary_wing,,military,transport,,Ex-NVA Mi-8PS. Photographed on site 11 September 2020.,Mi8; Mi8PS; Hip,Airpark Zehdenick,on_display
Mil,Mi-8,PS,93+39,,,rotary_wing,,military,transport,,Mi-8PS in Bundeswehr markings 93+39.,Mi8; Mi8PS; Hip,Airpark Zehdenick,on_display
Mil,Mi-8,PS,,,,rotary_wing,,civilian,transport,,"Third Mi-8PS on the site, in civil markings. The published inventory renders the registration D-PATZ, which is not a valid German format, so no registration is recorded here.",Mi8; Mi8PS; Hip,Airpark Zehdenick,on_display
