name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Deutsches Museum,München,Bayern,Germany,80538,Europe,Museumsinsel 1,https://www.deutsches-museum.de,public,48.12977,11.58348
Militärhistorisches Museum der Bundeswehr – Flugplatz Berlin-Gatow,Berlin,Berlin,Germany,14089,Europe,Am Flugplatz Gatow 33,https://gatow.mhmbw.de,public,52.47194,13.13873
Technik Museum Speyer,Speyer,Rheinland-Pfalz,Germany,67346,Europe,Am Technik Museum 1,https://speyer.technik-museum.de,public,49.31250,8.44639
Technik Museum Sinsheim,Sinsheim,Baden-Württemberg,Germany,74889,Europe,Museumsplatz 1,https://sinsheim.technik-museum.de,public,49.23861,8.89667
Flugausstellung Hermeskeil,Hermeskeil,Rheinland-Pfalz,Germany,54411,Europe,Habersberg 1,https://www.flugausstellung.de,public,49.68567,6.96134
Luftfahrtmuseum Wernigerode,Wernigerode,Sachsen-Anhalt,Germany,38855,Europe,Gießerweg 1,https://www.luftfahrtmuseum-wernigerode.de,public,51.83951,10.77306
Luftfahrtmuseum Laatzen-Hannover,Laatzen,Niedersachsen,Germany,30880,Europe,Ulmer Straße 2,https://luftfahrtmuseum-hannover.de,public,52.32263,9.79224
Hubschraubermuseum Bückeburg,Bückeburg,Niedersachsen,Germany,31675,Europe,Sablé-Platz 6,https://www.hubschraubermuseum.de,public,52.26148,9.04701
Militärhistorisches Museum der Bundeswehr Dresden,Dresden,Sachsen,Germany,01099,Europe,Olbrichtplatz 2,https://dresden.mhmbw.de,public,51.07856,13.76015
Deutsches Technikmuseum Berlin,Berlin,Berlin,Germany,10963,Europe,Trebbiner Straße 9,https://technikmuseum.berlin,public,52.49740,13.37674
Zeppelin Museum Friedrichshafen,Friedrichshafen,Baden-Württemberg,Germany,88045,Europe,Seestraße 22,https://www.zeppelin-museum.de,public,47.65079,9.48317
Dornier Museum Friedrichshafen,Friedrichshafen,Baden-Württemberg,Germany,88046,Europe,Claude-Dornier-Platz 1,https://www.dorniermuseum.de,public,47.67049,9.51750
Luftfahrtmuseum Finowfurt,Schorfheide,Brandenburg,Germany,16244,Europe,Museumsstraße 1,https://luftfahrtmuseum-finowfurt.de/,public,52.831971,13.676791
Flugplatzmuseum Cottbus,Cottbus,Brandenburg,Germany,03046,Europe,Fichtestraße 1,https://www.flugplatzmuseumcottbus.de/,public,51.765503,14.295296
Luftfahrttechnisches Museum Rothenburg,Rothenburg/Oberlausitz,Sachsen,Germany,02929,Europe,Friedensstraße 105a,https://luftfahrtmuseum-rothenburg.de/,public,51.36419,14.95409
Luftfahrttechnisches Museum Rechlin,Rechlin,Mecklenburg-Vorpommern,Germany,17248,Europe,Am Claassee 1,https://www.luftfahrttechnisches-museum-rechlin.de/,public,53.35055,12.72750
Airpark Zehdenick,Zehdenick,Brandenburg,Germany,16792,Europe,Gewerbegebiet Karlshof,,appointment,52.99395,13.34133
Rechlin-Lärz Luftfahrtmuseum,Lärz,Mecklenburg-Vorpommern,Germany,17248,Europe,Flugplatz Rechlin-Lärz,,public,53.30499,12.74077
Interessenverein Luftfahrt Neuenkirchen,Neuenkirchen,Mecklenburg-Vorpommern,Germany,17039,Europe,Am Gutshaus 17,https://www.ivln.de/,appointment,53.61186,13.32035
Technikpark Grimmen,Grimmen,Mecklenburg-Vorpommern,Germany,18507,Europe,,https://www.technikpark-mv.de/,public,54.11905,13.04965
Flugwelt Altenburg-Nobitz,Nobitz,Thüringen,Germany,04603,Europe,Am Flughafen 3,https://www.flugwelt-altenburg-nobitz.de/,public,50.98205,12.51707
Hans-Grade-Museum Borkheide,Borkheide,Brandenburg,Germany,14822,Europe,,https://www.grade-museum.de/,public,52.20038,12.76612
Shelter Albrecht,Niedergörsdorf,Brandenburg,Germany,14913,Europe,"Niedergörsdorfer Allee 4, Altes Lager",https://shelter-albrecht.de/,appointment,51.99838,13.00256
Flughafen Berlin-Tempelhof,Berlin,Berlin,Germany,12101,Europe,Tempelhofer Damm 45,https://www.thf-berlin.de/,public,52.47683,13.38767
Technikmuseum Hugo Junkers,Dessau-Roßlau,Sachsen-Anhalt,Germany,06846,Europe,Kühnauer Straße 161a,https://technikmuseum-dessau.org/,public,51.83639,12.20889
Grenzlandmuseum Eichsfeld,Teistungen,Thüringen,Germany,37339,Europe,,https://www.grenzlandmuseum.de/,public,51.44560,10.35147
Otto-Lilienthal-Verein Stölln,Gollenberg,Brandenburg,Germany,14728,Europe,"Otto-Lilienthal-Straße 50, OT Stölln",https://www.otto-lilienthal.de/,public,52.745250,12.384056
Technik-Museum Pütnitz,Ribnitz-Damgarten,Mecklenburg-Vorpommern,Germany,18311,Europe,Flugplatzallee 5,https://technikmuseum-puetnitz.de/,public,54.26621,12.41685
Verkehrsmuseum Dresden,Dresden,Sachsen,Germany,01067,Europe,Augustusstraße 1,https://www.verkehrsmuseum-dresden.de/,public,51.052069,13.739503
Baade 152 Flughafen Dresden,Dresden,Sachsen,Germany,01109,Europe,"Flughafen Dresden, Wilhelmine-Reichard-Ring 1",https://www.verkehrsmuseum-dresden.de/,appointment,51.12461,13.76602
Flugsportinformationszentrum Gellmersdorf,Angermünde,Brandenburg,Germany,16278,Europe,"Flugplatz Crussow, OT Gellmersdorf",,appointment,53.04324,13.97454
Flugzeugmuseum Cämmerswalde,Neuhausen/Erzgebirge,Sachsen,Germany,09544,Europe,"Hauptstraße 104, OT Cämmerswalde",https://www.gaststaetteamflugzeug.de/,public,50.68177,13.49230
Otto-Lilienthal-Museum Anklam,Anklam,Mecklenburg-Vorpommern,Germany,17389,Europe,Ellbogenstraße 1,https://www.lilienthal-museum.de/,public,53.85379,13.70458
Hangar 10,Zirchow,Mecklenburg-Vorpommern,Germany,17419,Europe,Flughafen Heringsdorf,https://www.hangar10.de/,public,53.87853,14.15102
Fliegendes Museum Großenhain,Großenhain,Sachsen,Germany,01558,Europe,Zum Fliegerhorst 13,https://www.fliegendes-museum.de/,public,51.30448,13.54662
MiG-Museum Sömmerda-Dermsdorf,Kölleda,Thüringen,Germany,99625,Europe,"Flugplatz Sömmerda-Dermsdorf, OT Dermsdorf",https://flugservice-soemmerda.de/,public,51.20804,11.27048
Eisenbahn- und Technikmuseum Rügen,Binz,Mecklenburg-Vorpommern,Germany,18609,Europe,Prora,http://www.etm-ruegen.de/,public,54.43269,13.57963
Deutsche Raumfahrtausstellung Morgenröthe-Rautenkranz,Muldenhammer,Sachsen,Germany,08262,Europe,"Bahnhofstraße 4, OT Morgenröthe-Rautenkranz",https://deutsche-raumfahrtausstellung.de/,public,50.42865,12.49523
"MiG-21 Denkmal, Flugplatz Peenemünde",Peenemünde,Mecklenburg-Vorpommern,Germany,17449,Europe,Flugplatz Peenemünde,,public,54.15944,13.76836
"MiG-21 Denkmal, Flugplatz Neuhardenberg",Neuhardenberg,Brandenburg,Germany,15320,Europe,Flugplatz Neuhardenberg,,public,52.61415,14.24280
"MiG-21 Denkmal, Flugplatz Welzow",Welzow,Brandenburg,Germany,03119,Europe,Flugplatz Welzow,,public,51.56039,14.21038
"MiG-21 Denkmal, Flugplatz Kamenz",Kamenz,Sachsen,Germany,01917,Europe,Flugplatz Kamenz,,public,51.29683,14.12635
"MiG-21 Denkmal, Finsterwalde",Finsterwalde,Brandenburg,Germany,03238,Europe,,,public,51.59594,13.72474
