manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Akaflieg Darmstadt,D-34,c B-phordite,D-4644,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",D34;D34cBphordite,Deutsches Segelflugmuseum mit Modellflug,on_display
Akaflieg München,Mu 13,d1,D-6293,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Mu13,Deutsches Segelflugmuseum mit Modellflug,on_display
Akaflieg Braunschweig,BS 1,,D-9389,,,fixed_wing,monoplane,civilian,private,,"Braunschweig university group prototype. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",BS1,Deutsches Segelflugmuseum mit Modellflug,on_display
Bölkow,fs-24,Phönix T,D-8353,,,fixed_wing,monoplane,civilian,private,,"Glass-fibre sailplane, the first of its kind in series production. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",fs24;fs24PhönixT,Deutsches Segelflugmuseum mit Modellflug,on_display
Akaflieg Darmstadt,D-36,Circe V2,D-4686,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",D36;D36CirceV2,Deutsches Segelflugmuseum mit Modellflug,on_display
DFS,Kranich,II,D-6260,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Kranich,Deutsches Segelflugmuseum mit Modellflug,on_display
DFS,Olympia Meise,,D-5618,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",OlympiaMeise,Deutsches Segelflugmuseum mit Modellflug,on_display
DFS,Rhönsperber,,D-6262,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Rhönsperber,Deutsches Segelflugmuseum mit Modellflug,on_display
DFS,Weihe,50,D-5862,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Weihe,Deutsches Segelflugmuseum mit Modellflug,on_display
Dittmar,Condor,IV,D-1092,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Condor,Deutsches Segelflugmuseum mit Modellflug,on_display
Hirth,Doppelraab,V,D-4389,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Doppelraab,Deutsches Segelflugmuseum mit Modellflug,on_display
Focke-Wulf,Kranich,III,D-1398,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Kranich,Deutsches Segelflugmuseum mit Modellflug,on_display
Akaflieg Darmstadt,FSV X,Darmstadt,,,,fixed_wing,monoplane,civilian,private,,"No registration. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",FSVX,Deutsches Segelflugmuseum mit Modellflug,on_display
Göppingen,Gö 1,Wolf,D15-2,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Gö1,Deutsches Segelflugmuseum mit Modellflug,on_display
Göppingen,Gö 3,Minimoa,HB-282,,,fixed_wing,monoplane,civilian,private,,"Swiss-registered Minimoa of 1935/36. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Gö3,Deutsches Segelflugmuseum mit Modellflug,on_display
Greif Flugzeugbau,Greif,I,D-6223,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Greif,Deutsches Segelflugmuseum mit Modellflug,on_display
Grunau,Grunau 9,ESG 29,,,,fixed_wing,monoplane,civilian,private,,"Replica of the 1929 Grunau 9 primary glider. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Grunau9,Deutsches Segelflugmuseum mit Modellflug,on_display
Grunau,Grunau Baby,IIa,D-1079,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",GrunauBaby,Deutsches Segelflugmuseum mit Modellflug,on_display
Grunau,Grunau Baby,III,D-4303,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",GrunauBaby,Deutsches Segelflugmuseum mit Modellflug,on_display
Grüne Post,Grüne Post,,D-7110,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",GrünePost,Deutsches Segelflugmuseum mit Modellflug,on_display
Hütter,H 17,,D-1012,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",H17,Deutsches Segelflugmuseum mit Modellflug,on_display
HSK,HSK-1,,D-5555,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",HSK1,Deutsches Segelflugmuseum mit Modellflug,on_display
Schleicher,Ka 6,BR,D-4339,,,fixed_wing,monoplane,civilian,private,,"Built 1956/57. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Ka6,Deutsches Segelflugmuseum mit Modellflug,on_display
Kaiser,Ka 1,,D-1231,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Ka1,Deutsches Segelflugmuseum mit Modellflug,on_display
Laubenthal,Müsterle,H2 PL,D-Musterle,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Müsterle,Deutsches Segelflugmuseum mit Modellflug,on_display
Lilienthal,Derwitzer Gleiter,,,,,fixed_wing,monoplane,civilian,private,,"Replica of Otto Lilienthal's 1891 Derwitz glider. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",DerwitzerGleiter,Deutsches Segelflugmuseum mit Modellflug,on_display
Lilienthal,Normal-Segelapparat,,,,,fixed_wing,monoplane,civilian,private,,"Replica of Lilienthal's 1894 standard glider. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",NormalSegelapparat,Deutsches Segelflugmuseum mit Modellflug,on_display
Lilienthal,Standard-Doppeldecker,,,,,fixed_wing,biplane,civilian,private,,"Replica of Lilienthal's biplane glider. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",StandardDoppeldecker,Deutsches Segelflugmuseum mit Modellflug,on_display
Lommatzsch,Lo 100,,D-3556,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Lo100,Deutsches Segelflugmuseum mit Modellflug,on_display
Lommatzsch,Lom 58,II Libelle Laminar,D-2668,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Lom58,Deutsches Segelflugmuseum mit Modellflug,on_display
Lommatzsch,Lom 59,Lo-Meise,DM-2223,,,fixed_wing,monoplane,civilian,private,,"East German registration. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Lom59;Lom59LoMeise,Deutsches Segelflugmuseum mit Modellflug,on_display
Lommatzsch,Lom 61,Favorit,DM-2704,,,fixed_wing,monoplane,civilian,private,,"East German registration. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Lom61,Deutsches Segelflugmuseum mit Modellflug,on_display
Lommatzsch,FES 530,Lehrmeister II,DM-3308,,,fixed_wing,monoplane,civilian,private,,"East German registration. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",FES530,Deutsches Segelflugmuseum mit Modellflug,on_display
Göppingen,Gö 3,Minimoa Mo2a,D-15-923,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Gö3,Deutsches Segelflugmuseum mit Modellflug,on_display
Pelzner,Hängegleiter,,,,,fixed_wing,monoplane,civilian,private,,"Early hang glider; no registration. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Hängegleiter,Deutsches Segelflugmuseum mit Modellflug,on_display
Putzer,Ho 33,V1,D-5332,,,fixed_wing,monoplane,civilian,private,,"Horten flying-wing design built by Putzer. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Ho33,Deutsches Segelflugmuseum mit Modellflug,on_display
Schleicher,Reiher,III,D-7033,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Reiher,Deutsches Segelflugmuseum mit Modellflug,on_display
FVA Aachen,FVA-10,B Rheinland,BGA-1711,,,fixed_wing,monoplane,civilian,private,,"British glider association number. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",FVA10;FVA10BRheinland,Deutsches Segelflugmuseum mit Modellflug,on_display
Schleicher,Rhönbussard,,D-1137,,,fixed_wing,monoplane,civilian,private,,"Displayed as Hesselberg; built 1932. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Rhönbussard,Deutsches Segelflugmuseum mit Modellflug,on_display
Rolladen-Schneider,LS 1,V1,D-4723,,,fixed_wing,monoplane,civilian,private,,"The 1967 prototype of the LS 1. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",LS1,Deutsches Segelflugmuseum mit Modellflug,on_display
RRG,Ente,,,,,fixed_wing,monoplane,civilian,private,,"Canard glider; no registration. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Ente,Deutsches Segelflugmuseum mit Modellflug,on_display
RRG,Falke,,HB-16,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Falke,Deutsches Segelflugmuseum mit Modellflug,on_display
RRG,Hol's der Teufel,,,,,fixed_wing,monoplane,civilian,private,,"No registration. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Hol'sderTeufel,Deutsches Segelflugmuseum mit Modellflug,on_display
Akaflieg Braunschweig,SB-5,E,D-6300,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",SB5;SB5E,Deutsches Segelflugmuseum mit Modellflug,on_display
Scheibe,Bergfalke,II/55,D-9041,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Bergfalke,Deutsches Segelflugmuseum mit Modellflug,on_display
Scheibe,L-Spatz,55,LX-CB-X,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",LSpatz;LSpatz55,Deutsches Segelflugmuseum mit Modellflug,on_display
Scheibe,Mü 13,E Bergfalke,OE-0138,,,fixed_wing,monoplane,civilian,private,,"Austrian registration. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Mü13,Deutsches Segelflugmuseum mit Modellflug,on_display
Scheibe,Specht,,D-1624,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Specht,Deutsches Segelflugmuseum mit Modellflug,on_display
Scheibe,Zugvogel,III,D-5855,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Zugvogel,Deutsches Segelflugmuseum mit Modellflug,on_display
Schempp-Hirth,Discus,2a,D-6322,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Discus,Deutsches Segelflugmuseum mit Modellflug,on_display
Schleicher,ASW 12,,D-4311,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",ASW12,Deutsches Segelflugmuseum mit Modellflug,on_display
Schneider,ES 49,,D-5069,,,fixed_wing,monoplane,civilian,private,,"Built 1949. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",ES49,Deutsches Segelflugmuseum mit Modellflug,on_display
Schleicher,K 8,B,D-4454,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",K8,Deutsches Segelflugmuseum mit Modellflug,on_display
Schleicher,Ka 3,,D-6254,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Ka3,Deutsches Segelflugmuseum mit Modellflug,on_display
Schleicher,Rhönadler,,,,,fixed_wing,monoplane,civilian,private,,"Displayed as a memorial to Günther Groenhoff; no registration. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Rhönadler,Deutsches Segelflugmuseum mit Modellflug,on_display
Schleicher,Rhönlerche,II,D-7125,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Rhönlerche,Deutsches Segelflugmuseum mit Modellflug,on_display
Schneider,SG 38,Schulgleiter,,,,fixed_wing,monoplane,civilian,private,,"No registration. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",SG38,Deutsches Segelflugmuseum mit Modellflug,on_display
Schulz,FS 3,Besenstiel,,,,fixed_wing,monoplane,civilian,private,,"No registration. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",FS3,Deutsches Segelflugmuseum mit Modellflug,on_display
Schleicher,SG 83,,D-7052,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",SG83,Deutsches Segelflugmuseum mit Modellflug,on_display
Hannover,Vampyr,,,,,fixed_wing,monoplane,civilian,private,,"Replica of the 1921 Hannover Vampyr. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Vampyr,Deutsches Segelflugmuseum mit Modellflug,on_display
Wolf Hirth,Gö 4,III,D-1084,,,fixed_wing,monoplane,civilian,private,,"Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Gö4,Deutsches Segelflugmuseum mit Modellflug,on_display
Schleicher,Kranich,II,D-8-11,,,fixed_wing,monoplane,civilian,private,,"Two-seat Kranich II of 1936, carrying the pre-war style marking D-8-11. Glider museum on the Wasserkuppe, the birthplace of German gliding; inventory from the museum listing published by aviationmuseum.eu.",Kranich;KranichII,Deutsches Segelflugmuseum mit Modellflug,on_display
