manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Antonov,An-2,,HA-MHM,,,fixed_wing,biplane,military,utility,,Hall 2.,An-2; An2; Colt,Luftfahrtmuseum Laatzen-Hannover,on_display
Dornier,Do 28,D-2,58+68,Skyservant,,fixed_wing,monoplane,military,utility,,"Bundeswehr Do 28 D-2 Skyservant, displayed outdoors in front of the museum.",Do 28; Do28; Skyservant,Luftfahrtmuseum Laatzen-Hannover,on_display
Focke-Wulf,Fw 44,J,SZ-30,Stieglitz,,fixed_wing,biplane,military,trainer,,"Original Fw 44 Stieglitz, hall 1.",Fw 44; Fw44; Stieglitz; Sk 12,Luftfahrtmuseum Laatzen-Hannover,on_display
Focke-Wulf,Fw 190,A-8,170393,Würger,,fixed_wing,monoplane,military,fighter,,"Composite airframe: about 85 per cent recovered original parts with new-build fuselage and wings, the first Fw 190 restoration project undertaken in Germany. Wears the markings <+11. Hall 2.",Fw 190; Fw190,Luftfahrtmuseum Laatzen-Hannover,on_display
Piaggio,P.149,D,90+68,,,fixed_wing,monoplane,military,trainer,,"Ex-Luftwaffe trainer, hall 2.",P.149; P149D; FWP 149,Luftfahrtmuseum Laatzen-Hannover,on_display
Fokker,Dr.I,,,Dreidecker,,fixed_wing,triplane,military,fighter,,"Full-scale reproduction of Manfred von Richthofen's triplane, built at Schwerin. Hall 1. This exhibit is a replica/reproduction, not an original airframe. Displayed in the markings 425/17.",Fokker DrI; Dr.1; Triplane; 425/17,Luftfahrtmuseum Laatzen-Hannover,on_display
Fokker,E.III,,,Eindecker,,fixed_wing,monoplane,military,fighter,,"Full-scale reproduction of the Fokker Eindecker. Hall 1. This exhibit is a replica/reproduction, not an original airframe.",Fokker EIII; E.III; Eindecker,Luftfahrtmuseum Laatzen-Hannover,on_display
Grade,Eindecker,,,,,fixed_wing,monoplane,civilian,experimental,,"Full-scale reproduction of the 1909 Grade monoplane that won the Lanz prize. Hall 1. This exhibit is a replica/reproduction, not an original airframe.",Grade Eindecker,Luftfahrtmuseum Laatzen-Hannover,on_display
HFB,HFB 320,Hansa Jet,D-CARY,Hansa Jet,,fixed_wing,monoplane,military,transport,,"HFB 320 Hansa Jet, the first West German jet airliner, displayed in front of and above the museum building.",HFB 320; Hansa Jet; HFB320,Luftfahrtmuseum Laatzen-Hannover,on_display
Horvath,H III,Schwalbe,,Schwalbe,,fixed_wing,monoplane,civilian,experimental,,"Reproduction of the Hungarian Horvath III Schwalbe, an Etrich Taube-inspired design. Hall 1. This exhibit is a replica/reproduction, not an original airframe.",Horvath III,Luftfahrtmuseum Laatzen-Hannover,on_display
Junkers,F 13,,,,,fixed_wing,monoplane,civilian,commercial_transport,,"Full-scale reproduction of the Junkers F 13 built by Manfred Pflumm. Hall 1. This exhibit is a replica/reproduction, not an original airframe. Displayed in the markings D-1.",F 13; F13; D-1; D1,Luftfahrtmuseum Laatzen-Hannover,on_display
Junkers,Ju 52,3m,,Tante Ju,,fixed_wing,monoplane,military,transport,,Large original fuselage section of a Ju 52/3m. Hall 2. Fuselage only.,Ju 52; Ju52; Iron Annie; Ju 52/3m,Luftfahrtmuseum Laatzen-Hannover,on_display
Klemm,Kl 25,,,,,fixed_wing,monoplane,civilian,private,,"Airworthy reproduction built by Josef Kurz to original drawings. Hall 1. This exhibit is a replica/reproduction, not an original airframe.",Kl 25; Klemm 25; L 25,Luftfahrtmuseum Laatzen-Hannover,on_display
Lilienthal,Normalsegelapparat,,,,,fixed_wing,monoplane,civilian,experimental,,Reproduction of Otto Lilienthal's Normal-Segelapparat. Hall 1.,Normalsegelapparat; Lilienthal Glider,Luftfahrtmuseum Laatzen-Hannover,on_display
Chanute,Gleiter,,,,,fixed_wing,biplane,civilian,experimental,,"Reproduction of the 1904 Chanute glider built by Karsten Brinkmeier. Hall 1. This exhibit is a replica/reproduction, not an original airframe.",Chanute Glider,Luftfahrtmuseum Laatzen-Hannover,on_display
