manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Arado,Ar 234,B-2,,,,fixed_wing,monoplane,military,bomber,,"Cockpit section only. The shell is a reconstruction; most of the cockpit fittings are original. Museum website, 2026.",Ar234; Ar 234B2; Blitz,Luftfahrttechnisches Museum Rechlin,on_display
Dornier,Do 335,B-2,,,,fixed_wing,monoplane,military,fighter,,"Full-scale replica, museum property. The only surviving original Do 335 (A-0 VG+PH) is at the Udvar-Hazy Center in the USA, as the museum itself states.",Do335; Pfeil; Do 335B2,Luftfahrttechnisches Museum Rechlin,on_display
Etrich,Taube,,,,,fixed_wing,monoplane,military,recon,,"Full-scale non-flying model, on loan from the Militärhistorisches Museum Flugplatz Berlin-Gatow.",Etrich Taube; Rumpler Taube,Luftfahrttechnisches Museum Rechlin,on_display
Focke-Wulf,Ta 154,V3,,,,fixed_wing,monoplane,military,fighter,,Partial full-scale replica of the night fighter prototype.,Ta154; Ta 154V3; Moskito,Luftfahrttechnisches Museum Rechlin,on_display
Focke-Wulf,Fw 189,A,,,,fixed_wing,monoplane,military,recon,,"Full-scale replica of the cockpit gondola only, incorporating original parts.",Fw189; Uhu; Fw 189A,Luftfahrttechnisches Museum Rechlin,on_display
Fokker,E.III,,603/15,,,fixed_wing,monoplane,military,fighter,,Full-scale non-flying model on loan from the Militärhistorisches Museum Flugplatz Berlin-Gatow.,EIII; Eindecker; Fokker EIII,Luftfahrttechnisches Museum Rechlin,on_display
Fokker,D.VII,,7775/18,,,fixed_wing,biplane,military,fighter,,"Full-scale non-flying model, on loan from the Militärhistorisches Museum Flugplatz Berlin-Gatow. One of two D.VII models at the museum.",DVII; Fokker DVII,Luftfahrttechnisches Museum Rechlin,on_display
Fokker,D.VII,,,,,fixed_wing,biplane,military,fighter,,"Second full-scale non-flying D.VII model, a private loan from Herr Heller. No serial displayed.",DVII; Fokker DVII,Luftfahrttechnisches Museum Rechlin,on_display
Fokker,Dr.I,,152/17,,,fixed_wing,triplane,military,fighter,,Full-scale non-flying model on loan from the Militärhistorisches Museum Flugplatz Berlin-Gatow.,DrI; Dr1; Fokker DrI; Triplane,Luftfahrttechnisches Museum Rechlin,on_display
Heinkel,He 162,A,,,,fixed_wing,monoplane,military,fighter,,Rebuilt airframe incorporating roughly 40 percent original parts; a private loan from D. Lemp. Tail left blank because Werknummer 120076 is the original He 162 in the Deutsches Technikmuseum Berlin; this airframe is a rebuild incorporating about 40 percent original parts.,He162; Volksjaeger; Salamander; Wnr 120076,Luftfahrttechnisches Museum Rechlin,on_display
