manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Messerschmitt,Bf 108,B,D-EBEI,Taifun,,fixed_wing,monoplane,civilian,private,1940,"Airworthy Bf 108 B Taifun built at Regensburg in 1940, Werknummer 2246; acquired by the Deutsche Lufthansa Berlin-Stiftung in 1990, restored over several years and operated by the Quax-Verein since July 2019. Displayed in the Quax-Hangar when not flying.",Bf108B; Bf 108; Taifun; Wnr 2246,Quax-Hangar Paderborn-Lippstadt,on_display
Bücker,Bü 131,Jungmann,D-EQXA,,,fixed_wing,biplane,civilian,trainer,1951,Airworthy Jungmann built in Spain in 1951 as a CASA 1.131 with a Tigre G-IVA engine. Shown in the Quax-Hangar between flights.,Bu131; Bü 131; Jungmann; CASA 1.131,Quax-Hangar Paderborn-Lippstadt,on_display
Bölkow,Bo 208,Junior,D-EJLU,,,fixed_wing,monoplane,civilian,private,,Airworthy Bölkow 208 Junior donated to the Quax-Verein and flown by members since 2014; displayed in the Quax-Hangar between flights.,Bo208; Bo 208; Bolkow Junior; MFI-9; MFI9,Quax-Hangar Paderborn-Lippstadt,on_display
Klemm,Kl 35,D,D-EQXD,,,fixed_wing,monoplane,civilian,trainer,,"Airworthy Klemm Kl 35 D that served the Swedish Air Force as Fv 5050, later SE-BGD and N505Q in the United States before returning to Germany with the Quax-Verein. Displayed in the Quax-Hangar between flights.",Kl35; Kl 35D; Klemm 35; Fv 5050,Quax-Hangar Paderborn-Lippstadt,on_display
Dornier,Do 27,A-4,D-EQXG,,,fixed_wing,monoplane,civilian,utility,1959,"Airworthy Do 27, Werknummer 429, delivered 12 November 1959 to 3. Luftrettungs- und Verbindungsstaffel at Faßberg as LC+155 and later flown by LTG 62 at Ahlhorn; painted in its 1959 delivery scheme. Displayed in the Quax-Hangar between flights.",Do27; Do 27; LC+155; Wnr 429; A4; Do27A4,Quax-Hangar Paderborn-Lippstadt,on_display
Fouga,CM.170,Magister,D-IFCC,,,fixed_wing,monoplane,civilian,trainer,,"The last airworthy German licence-built Fouga CM.170 Magister, based at Paderborn and shown in the Quax-Hangar between flights.",CM170; Magister; Fouga Magister,Quax-Hangar Paderborn-Lippstadt,on_display
Fieseler,Fi 156,Storch,,,,fixed_wing,monoplane,civilian,utility,,Fieseler Fi 156 Storch listed among the aircraft shown in the Quax-Hangar; registration not established from the sources consulted and the aircraft may be absent when flying.,Fi156; Fi 156; Storch,Quax-Hangar Paderborn-Lippstadt,on_display
Piper,J-3,C-65 Cub,,,,fixed_wing,monoplane,civilian,private,,"Piper J-3C Cub shown in the Quax-Hangar; the Quax fleet includes D-EKKA but the individual aircraft on show rotates, so the registration is left blank.",J3C; J-3 Cub; Piper Cub; C65Cub; J3,Quax-Hangar Paderborn-Lippstadt,on_display
Piper,PA-18,Super Cub,,,,fixed_wing,monoplane,civilian,private,,Piper PA-18 Super Cub shown in the Quax-Hangar; several Super Cubs are operated in the Quax circle so the individual registration on display is not fixed.,PA18; PA-18; Super Cub,Quax-Hangar Paderborn-Lippstadt,on_display
Klemm,Kl 107,,,,,fixed_wing,monoplane,civilian,private,,Klemm Kl 107 light aircraft listed among the Quax-Hangar exhibits; registration not established from the sources consulted.,Kl107; Kl 107; Klemm 107,Quax-Hangar Paderborn-Lippstadt,on_display
