manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Aero,L-39,ZO,,Albatros,,fixed_wing,monoplane,military,trainer,,Recorded as wearing 28+27 with construction number 232301; the serial is not carried here because 28+27 is also the code of a Starfighter at the sister museum in Speyer.,L-39; L39; Albatros; L39ZO,Technik Museum Sinsheim,on_display
Aérospatiale/BAC,Concorde,,F-BVFB,Concorde,,fixed_wing,monoplane,civilian,commercial_transport,,"Air France Concorde F-BVFB, handed over for the symbolic price of one euro in 2003 and displayed since 2004 on the roof of hall 2 next to the Tu-144. Walk-in exhibit.",Concorde,Technik Museum Sinsheim,on_display
Antonov,An-2,,,,,fixed_wing,biplane,military,utility,,"In the aircraft collection of the Technik Museum Sinsheim, run by the Auto & Technik Museum Sinsheim e.V. together with the Technik Museum Speyer. Tail left blank in this database because the two-digit bort number 03 is not unique - it collides with a Soviet-operated airframe of the same type already recorded elsewhere.",An-2; An2; Colt; bort 03,Technik Museum Sinsheim,on_display
Avro,504,K,,,,fixed_wing,biplane,military,trainer,,"Reproduction; also marked PL6832. This exhibit is a replica/reproduction, not an original airframe. Displayed in the markings E3349.",Avro 504; 504K; E3349,Technik Museum Sinsheim,on_display
Hawker Siddeley,Nimrod,R.1,XW665,,,fixed_wing,monoplane,military,recon,,Front fuselage of a Royal Air Force Nimrod R.1 signals intelligence aircraft. Front fuselage / nose section only.,Nimrod,Technik Museum Sinsheim,on_display
Bell,UH-1,D,72+97,Iroquois,,rotary_wing,,military,utility,,Bundeswehr UH-1D.,UH-1; UH1; Huey; Iroquois; UH1D,Technik Museum Sinsheim,on_display
Braunschweig,LF 1,Zaunkönig,,Zaunkönig,,fixed_wing,monoplane,civilian,experimental,,Registration D-EBCQ is claimed by both this airframe and the Zaunkoenig at the Deutsches Museum Flugwerft Schleissheim; left blank here.,LF 1; LF1; Zaunkoenig,Technik Museum Sinsheim,on_display
Canadair,CL-215,,F-ZBBH,,,fixed_wing,monoplane,civilian,utility,,"Ex-French Sécurité Civile water bomber, code 26. Walk-in exhibit.",CL-215; CL215; Scooper,Technik Museum Sinsheim,on_display
CASA,2.111,,5J+GN,Heinkel He 111,,fixed_wing,monoplane,military,bomber,,Spanish-built Heinkel He 111 licence airframe in Luftwaffe markings.,CASA 2.111; He 111; Casa 2111,Technik Museum Sinsheim,on_display
Junkers,Ju 52,3m,,Tante Ju,,fixed_wing,monoplane,military,transport,,"Spanish-built Ju 52/3m licence airframe in Lufthansa colours as D-AQUI. Walk-in exhibit. The marks D-AQUI are a Lufthansa-colours repaint; the real D-AQUI (Werknummer 130714) is the Lufthansa Traditionsflug aircraft at Hangar One, Frankfurt.",Ju 52; Ju52; Iron Annie; D-AQUI; Ju 52/3m,Technik Museum Sinsheim,on_display
Junkers,Ju 52,3m,D-CIAL,Tante Ju,,fixed_wing,monoplane,military,transport,,Displayed as D-2527.,Ju 52; Ju52; Iron Annie; Ju 52/3m,Technik Museum Sinsheim,on_display
Junkers,Ju 52,3m,RJ+NP,Tante Ju,,fixed_wing,monoplane,military,transport,,Spanish-built Ju 52/3m in Luftwaffe markings.,Ju 52; Ju52; Iron Annie; Ju 52/3m,Technik Museum Sinsheim,on_display
Ikarus,Kurir,L,PT+TP,Kurir,,fixed_wing,monoplane,military,utility,,"Yugoslav Ikarus/Cijan Kurir, a Fieseler Storch derivative, displayed in Luftwaffe-style code PT+TP.",Ikarus Kurir; Kurir,Technik Museum Sinsheim,on_display
Eurocopter,Tiger,PAH-2,DE623,Tiger,,rotary_wing,,military,anti_tank,,Ex-Royal Air Force.,EC 665; Tiger; Tigre,Technik Museum Sinsheim,on_display
de Havilland,DH.104,Dove 7,D-IKER,Dove,,fixed_wing,monoplane,civilian,commercial_transport,,Also marked 194.,DH.104; Dove,Technik Museum Sinsheim,on_display
de Havilland,Venom,FB.50,J-1603,,,fixed_wing,monoplane,military,ground_attack,,Ex-Swiss Air Force.,Venom,Technik Museum Sinsheim,on_display
de Havilland,Venom,FB.50,J-1628,,,fixed_wing,monoplane,military,ground_attack,,Ex-Swiss Air Force.,Venom,Technik Museum Sinsheim,on_display
de Havilland,Venom,FB.50,J-1798,,,fixed_wing,monoplane,military,ground_attack,,Ex-Swiss Air Force.,Venom,Technik Museum Sinsheim,on_display
Douglas,C-47,,D-CADE,Dakota,,fixed_wing,monoplane,military,transport,,Walk-in exhibit.,C-47; C47; DC-3; DC3; Dakota; Skytrain,Technik Museum Sinsheim,on_display
English Electric,Canberra,B.2,99+36,,,fixed_wing,monoplane,military,bomber,,Bundesluftwaffe trials Canberra.,Canberra,Technik Museum Sinsheim,on_display
F+W Emmen,C-3605,,C-501,Schlepp,,fixed_wing,monoplane,military,utility,,Ex-Swiss Air Force target tug.,C-3605; C3605; Alpine Anteater,Technik Museum Sinsheim,on_display
Fiat,G.91,R/3,32+64,Gina,,fixed_wing,monoplane,military,ground_attack,,Bundesluftwaffe G.91R/3.,G.91; G91; Gina,Technik Museum Sinsheim,on_display
Focke-Wulf,Fw 190,A-8,,Würger,,fixed_wing,monoplane,military,fighter,,"Full-scale reproduction of the Fw 190 A-3. This exhibit is a replica/reproduction, not an original airframe. Displayed in the markings 10.",Fw 190; Fw190; 10,Technik Museum Sinsheim,on_display
Fokker,E.III,,,Eindecker,,fixed_wing,monoplane,military,fighter,,"Full-scale reproduction of the Fokker Eindecker. This exhibit is a replica/reproduction, not an original airframe. Displayed in the markings 417/15.",Fokker EIII; E.III; Eindecker; 417/15,Technik Museum Sinsheim,on_display
