name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
11 Airmen Selection Centre Guwahati,Guwahati,Assam,India,,Asia,"11 Airmen Selection Centre, Air Force, Guwahati",,restricted,26.1806,91.7539
3 Airmen Selection Centre Kanpur Jaguar,Kanpur,Uttar Pradesh,India,,Asia,"No.3 Airmen Selection Centre, Chakeri, Kanpur",,restricted,26.3796093,80.4086151
ACS College of Engineering Bengaluru,Bengaluru,Karnataka,India,560074,Asia,"ACS College of Engineering, Kambipura, Mysuru Road, Bengaluru",,appointment,12.8990,77.4560
ASC Centre and College Bengaluru,Bengaluru,Karnataka,India,560007,Asia,"Army Service Corps Centre and College, Agram, Bengaluru",,restricted,12.9540,77.6280
"Aero Club of India Leopard Moth, Safdarjung Airport",New Delhi,Delhi,India,,Asia,"Aero Club of India building, Safdarjung Airport, New Delhi",,appointment,28.5851893,77.2061649
Air Force Academy Dundigal,Hyderabad,Telangana,India,500043,Asia,"Air Force Academy, Dundigal, Hyderabad",,restricted,17.628235,78.400755
Air Force Bal Bharati School Gnat,New Delhi,Delhi,India,,Asia,"Air Force Bal Bharati School, Lodhi Road, New Delhi",,appointment,28.5897358,77.2163336
Air Force Medical Training Centre Bengaluru,Bengaluru,Karnataka,India,560007,Asia,"Medical Training Centre IAF, Agram Post, Bengaluru",,restricted,12.9540,77.6300
Air Force Museum HQ Maintenance Command Nagpur,Nagpur,Maharashtra,India,440007,Asia,"Vayusena Nagar, HQ Maintenance Command, Nagpur",,public,21.0980,79.0480
Air Force Museum Upper Shillong,Shillong,Meghalaya,India,793009,Asia,"HQ Eastern Air Command, Upper Shillong, Shillong-Cherrapunjee road",,public,25.5330,91.8430
Air Force Selection Board Kanchrapara,Kanchrapara,West Bengal,India,,Asia,"4 Air Force Selection Board, Kanchrapara, North 24 Parganas",,restricted,22.9496,88.4379
Air Force Selection Board Varanasi Ajeet,Varanasi,Uttar Pradesh,India,,Asia,"4 AFSB, near Varanasi railway station",,public,25.3275678,82.9862450
Air Force Station Adampur displays,Adampur,Punjab,India,,Asia,"AFS Adampur, Jalandhar district",,restricted,31.4379995,75.7585377
Air Force Station Agra displays,Agra,Uttar Pradesh,India,,Asia,"AFS Agra, Agra Cantt",,restricted,20.1088446,73.9145454
Air Force Station Ambala Frozen Tear War Memorial,Ambala,Haryana,India,,Asia,"AFS Ambala (7 Wing), Ambala Cantt",,restricted,30.36026,76.82176
Air Force Station Bagdogra,Bagdogra,West Bengal,India,,Asia,"Air Force Station Bagdogra (20 Wing), Siliguri",,restricted,26.696863,88.321356
Air Force Station Bareilly displays,Bareilly,Uttar Pradesh,India,,Asia,"AFS Bareilly (Trishul), 15 Wing",,restricted,28.4209772,79.4472413
Air Force Station Bathinda (Bhisiana) displays,Bathinda,Punjab,India,,Asia,"AFS Bhisiana, Bathinda",,restricted,30.2683332,74.7625109
Air Force Station Begumpet,Hyderabad,Telangana,India,500016,Asia,"AFS Begumpet, Begumpet, Hyderabad",,restricted,17.461890,78.463722
Air Force Station Belagavi Sambre,Belagavi,Karnataka,India,591124,Asia,"AFS Belgaum, Sambra",,restricted,15.8590,74.6180
Air Force Station Bhuj,Bhuj,Gujarat,India,370001,Asia,"27 Wing, Air Force Station Bhuj",,restricted,23.2841,69.6738
Air Force Station Bidar,Bidar,Karnataka,India,585401,Asia,AFS Bidar,,restricted,17.9080,77.4870
Air Force Station Borjhar Guwahati,Guwahati,Assam,India,,Asia,"Air Force Station Borjhar (19 Wing), Guwahati",,restricted,26.1806,91.7539
Air Force Station Chabua,Chabua,Assam,India,,Asia,"Air Force Station Chabua (14 Wing), Dibrugarh district",,restricted,27.473228,95.121839
Air Force Station Chandigarh and 3 Base Repair Depot,Chandigarh,Chandigarh,India,,Asia,AFS Chandigarh (12 Wing / 3 BRD),,restricted,30.8091041,76.7437900
Air Force Station Gorakhpur displays,Gorakhpur,Uttar Pradesh,India,,Asia,AFS Gorakhpur,,restricted,26.7331535,83.4613108
Air Force Station Gwalior (Maharajpur),Gwalior,Madhya Pradesh,India,474020,Asia,"40 Wing, Air Force Station Maharajpur, Gwalior",,restricted,26.2930,78.2280
Air Force Station Hakimpet,Hyderabad,Telangana,India,500014,Asia,"AFS Hakimpet, Shamirpet Road, Secunderabad",,restricted,17.545552,78.524834
Air Force Station Halwara War Memorial,Halwara,Punjab,India,,Asia,"AFS Halwara (9 Wing), Ludhiana district",,restricted,30.7464532,75.6341507
Air Force Station Hasimara,Hasimara,West Bengal,India,,Asia,"Air Force Station Hasimara, Alipurduar district",,restricted,26.684990,89.340847
Air Force Station Hindon gate Sukhoi-7,Ghaziabad,Uttar Pradesh,India,,Asia,"Hindon Chowk (AFS Hindon main gate), Ghaziabad",,public,28.7043472,77.3648060
Air Force Station Jalahalli East (410 AFS),Bengaluru,Karnataka,India,560013,Asia,"Air Force Station Jalahalli, Jalahalli East, Bengaluru",,restricted,13.0520,77.5480
Air Force Station Jodhpur internal displays,Jodhpur,Rajasthan,India,,Asia,AFS Jodhpur (32 Wing),,restricted,26.2628380,73.0524368
Air Force Station Jorhat,Jorhat,Assam,India,,Asia,Air Force Station Jorhat (10 Wing),,restricted,26.7578,94.2080
Air Force Station Kalaikunda,Kalaikunda,West Bengal,India,,Asia,"Air Force Station Kalaikunda, Paschim Medinipur district",,restricted,22.336188,87.218463
Air Force Station Kalina Mumbai airmen mess,Mumbai,Maharashtra,India,400029,Asia,"IAF enclave, Kalina, near the domestic terminal, Santacruz, Mumbai",,restricted,19.0870,72.8560
Air Force Station Kanpur (Chakeri) gate HPT-32,Kanpur,Uttar Pradesh,India,,Asia,"AFS Chakeri main gate, Kanpur",,public,26.3985971,80.4265430
Air Force Station Kumbhirgram Silchar,Silchar,Assam,India,,Asia,"Air Force Station Kumbhirgram (22 Wing), Silchar",,restricted,24.921830,92.992664
Air Force Station Leh displays,Leh,Ladakh,India,,Asia,"Leh (Kushok Bakula Rimpochee) airfield, Leh",,public,34.1352600,77.5470913
