name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Allen County War Memorial Coliseum -- Fort Wayne,Fort Wayne,Indiana,United States,46805,North America,4000 Parnell Avenue,,public,41.1164,-85.1234
American Legion Post 104 -- Terre Haute,Terre Haute,Indiana,United States,47802,North America,,,public,39.5079,-87.3787
American Legion Post 233 -- Edinburgh,Edinburgh,Indiana,United States,46124,North America,,,public,39.3497,-85.9705
American Legion Post 313 -- Fairmount,Fairmount,Indiana,United States,46928,North America,,,public,40.4227,-85.6427
American Legion Post 423 -- Orland,Orland,Indiana,United States,46776,North America,,,public,41.7324,-85.1715
AMVETS Post 7 -- North Vernon,North Vernon,Indiana,United States,47265,North America,,,public,39.0065,-85.6205
Atterbury-Bakalar Air Museum,Columbus,Indiana,United States,47203,North America,4742 Ray Boll Boulevard,https://www.atterburybakalarairmuseum.org,public,39.255147,-85.897275
Baldwin Park -- Montpelier,Montpelier,Indiana,United States,47359,North America,,,public,40.5550,-85.2853
Camp Atterbury,Edinburgh,Indiana,United States,46124,North America,Camp Atterbury Joint Maneuver Training Center,,restricted,39.3596,-86.0317
Churubusco Park -- Churubusco,Churubusco,Indiana,United States,46723,North America,,,public,41.2336,-85.3245
Clark Regional Airport -- Sellersburg,Sellersburg,Indiana,United States,47172,North America,Clark Regional Airport,,public,38.3660,-85.7450
Clay County Courthouse -- Brazil,Brazil,Indiana,United States,47834,North America,,,public,39.5246,-87.1199
Community Veterans Memorial -- Munster,Munster,Indiana,United States,46321,North America,9710 Calumet Avenue,,public,41.5349,-87.5100
Evansville Wartime Museum,Evansville,Indiana,United States,47725,North America,7503 Petersburg Road,https://www.evansvillewartimemuseum.org,public,,
Fort Wayne International Airport -- Fort Wayne,Fort Wayne,Indiana,United States,46809,North America,Fort Wayne International Airport,,public,40.9817,-85.1881
Grissom Air Museum,Peru,Indiana,United States,46970,North America,1000 West Hoosier Boulevard,https://www.grissomairmuseum.com,public,40.669200,-86.129900
Hoagland Veterans Memorial -- Hoagland,Hoagland,Indiana,United States,46745,North America,,,public,40.9479,-84.9902
Huntington Memorial Gardens -- Huntington,Huntington,Indiana,United States,46750,North America,,,public,40.8786,-85.5067
Indiana Air National Guard 122nd Fighter Wing,Fort Wayne,Indiana,United States,46809,North America,Fort Wayne International Airport,https://www.122fw.ang.af.mil/,public,40.9888,-85.1747
Indiana Air National Guard 181st Intelligence Wing,Terre Haute,Indiana,United States,47803,North America,Terre Haute International Airport Hulman Field,https://www.181iw.ang.af.mil/,restricted,39.4573,-87.2949
Indiana Military Museum,Vincennes,Indiana,United States,47591,North America,715 South Sixth Street,https://www.indianamilitarymuseum.org,public,38.672800,-87.537600
Indiana World War Memorial -- Indianapolis,Indianapolis,Indiana,United States,46204,North America,55 East Michigan Street,,public,39.7734,-86.1569
Kokomo Veterans Memorial -- Kokomo,Kokomo,Indiana,United States,46901,North America,,,public,40.5300,-86.1263
Kruse Plaza -- Auburn,Auburn,Indiana,United States,46706,North America,5634 County Road 11A,,public,41.3325,-85.0908
Military Honor Park -- South Bend,South Bend,Indiana,United States,46628,North America,South Bend International Airport,https://militaryhonorpark.org/,public,41.6981,-86.3106
Monroeville Veterans Memorial -- Monroeville,Monroeville,Indiana,United States,46773,North America,,,public,40.9681,-84.8631
Naval Surface Warfare Center Crane,Crane,Indiana,United States,47522,North America,NSWC Crane Division,,restricted,38.8690,-86.8366
Putnam County Courthouse -- Greencastle,Greencastle,Indiana,United States,46135,North America,Courthouse Square,,public,39.6442,-86.8652
South Whitley Veterans Memorial -- South Whitley,South Whitley,Indiana,United States,46787,North America,,,public,41.0834,-85.6269
VFW Post 1987 -- Columbus,Columbus,Indiana,United States,47201,North America,,,public,39.2010,-85.8614
VFW Post 2395 -- Covington,Covington,Indiana,United States,47932,North America,,,public,40.1383,-87.3846
VFW Post 2459 -- Sullivan,Sullivan,Indiana,United States,47882,North America,,,public,39.0828,-87.4092
VFW Post 7119 -- Indianapolis,Indianapolis,Indiana,United States,46226,North America,,,public,39.8774,-85.9996
Wayne County Indiana Veterans Memorial Park -- Richmond,Richmond,Indiana,United States,47374,North America,Richmond Municipal Airport,,public,39.8313,-84.9006
Wilbur Wright Birthplace and Museum,Hagerstown,Indiana,United States,47346,North America,1525 North County Road 750 East,https://wilburwrightbirthplace.org,public,39.955031,-85.243264
