manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Aeronca,O-58,B,43-27141,Grasshopper,,fixed_wing,monoplane,military,utility,,FAA registry current 2026: Aeronca O-58B c/n 058B12783 registered N50334 to Airpower Museum Inc at Ottumwa; Aerial Visuals ties the construction number to USAAF 43-27141,N50334; c/n 058B12783; L-3; O58; O58B; L3,Airpower Museum -- Antique Airfield,on_display
Ryan,PT-22,,41-15225,Recruit,,fixed_wing,monoplane,military,trainer,1941,FAA registry current 2026: Ryan Aeronautical ST3KR c/n 1254 with YEAR-MFR 1941 registered N50644 to Airpower Museum Inc; Aerial Visuals ties it to USAAF 41-15225,N50644; ST3KR; c/n 1254; PT22,Airpower Museum -- Antique Airfield,on_display
Ryan,ST,A,N18902,Special,,fixed_wing,monoplane,civilian,private,1938,FAA registry current 2026: Ryan Aeronautical ST-A c/n 198 with YEAR-MFR 1938 registered to Airpower Museum Inc,c/n 198,Airpower Museum -- Antique Airfield,on_display
Piper,J-3,C-65,N51570,Cub,,fixed_wing,monoplane,civilian,private,1943,FAA registry current 2026: Piper J3C-65 c/n 11064 with YEAR-MFR 1943 registered to Airpower Museum Inc,c/n 11064; J3; J3C65,Airpower Museum -- Antique Airfield,on_display
Culver,PQ-14,B,N5526A,Cadet,,fixed_wing,monoplane,military,drone,,Aerial Visuals lists a Culver PQ-14B registered N5526A in the museum collection; the September 2026 FAA file shows that registration on a Superior Culver PQ-14B held by a private owner in Colorado Springs so the aircraft may have left - flagged rather than dropped,N5526A; PQ14; PQ14B,Airpower Museum -- Antique Airfield,on_display
Great Lakes,2T-1,A,N11339,Sport Trainer,,fixed_wing,biplane,civilian,private,1932,FAA registry current 2026: Great Lakes 2T-1A c/n 252 with YEAR-MFR 1932 registered to Airpower Museum Inc,c/n 252; 2T1; 2T1A,Airpower Museum -- Antique Airfield,on_display
Stinson,Junior,S,N12165,,,fixed_wing,monoplane,civilian,private,1931,FAA registry current 2026: Stinson JR. S c/n 8074 with YEAR-MFR 1931 registered to Airpower Museum Inc,c/n 8074,Airpower Museum -- Antique Airfield,on_display
Stinson,10,,,Voyager,,fixed_wing,monoplane,civilian,private,1940,FAA registry current 2026: Stinson 10 c/n 7655 with YEAR-MFR 1940 registered N27710 to Airpower Museum Inc; Aerial Visuals calls it a UC-81E Reliant in error,N27710; c/n 7655,Airpower Museum -- Antique Airfield,on_display
Rose,Parrakeet,A-1,N13677,,,fixed_wing,biplane,civilian,private,,FAA registry current 2026: Rose Parrakeet A-1 c/n 101 registered to Airpower Museum Inc,c/n 101; ParrakeetA1,Airpower Museum -- Antique Airfield,on_display
Luscombe,8,E,N1533B,Silvaire,,fixed_wing,monoplane,civilian,private,1948,FAA registry current 2026: Luscombe 8E c/n 6160 with YEAR-MFR 1948 registered to Airpower Museum Inc,c/n 6160,Airpower Museum -- Antique Airfield,on_display
Rearwin,7000,,N15809,Sportster,,fixed_wing,monoplane,civilian,private,1936,FAA registry current 2026: Rearwin 7000 c/n 445 with YEAR-MFR 1936 registered to Airpower Museum Inc,c/n 445,Airpower Museum -- Antique Airfield,on_display
Rearwin,190,F,N34740,Skyranger,,fixed_wing,monoplane,civilian,private,1941,FAA registry current 2026: Rearwin 190F c/n 1550 with YEAR-MFR 1941 registered to Airpower Museum Inc,c/n 1550,Airpower Museum -- Antique Airfield,on_display
Rearwin,8135,,N25555,Cloudster,,fixed_wing,monoplane,civilian,private,,FAA registry current 2026: Rearwin 8135 c/n 832 registered to Airpower Museum Inc,c/n 832,Airpower Museum -- Antique Airfield,on_display
Rearwin,8135,,N44533,Cloudster,,fixed_wing,monoplane,civilian,private,,FAA registry current 2026: Rearwin 8135 c/n 921 registered to Airpower Museum Inc,c/n 921,Airpower Museum -- Antique Airfield,on_display
Rearwin,8135,T,N37885,Cloudster,,fixed_wing,monoplane,civilian,private,1942,FAA registry current 2026: Rearwin 8135T c/n 910 with YEAR-MFR 1942 registered to Airpower Museum Inc,c/n 910,Airpower Museum -- Antique Airfield,on_display
American Eagle,Eaglet,B-31,N17007,,,fixed_wing,monoplane,civilian,private,1935,FAA registry current 2026: American Eaglecraft Eaglet B-31 c/n 1111 with YEAR-MFR 1935 registered to Airpower Museum Inc,c/n 1111; EagletB31,Airpower Museum -- Antique Airfield,on_display
Arrow,F,,N18000,Sport,,fixed_wing,biplane,civilian,private,1937,FAA registry current 2026: State Securities Arrow F c/n 18 with YEAR-MFR 1937 registered to Airpower Museum Inc,c/n 18,Airpower Museum -- Antique Airfield,on_display
Porterfield,CP-40,,N18743,Zephyr,,fixed_wing,monoplane,civilian,private,,FAA registry current 2026: Porterfield CP-40 c/n 529 registered to Airpower Museum Inc,c/n 529; CP40,Airpower Museum -- Antique Airfield,on_display
Aeronca,K,,N18872,,,fixed_wing,monoplane,civilian,private,1937,FAA registry current 2026: Aeronca K c/n K-147 with YEAR-MFR 1937 registered to Airpower Museum Inc,c/n K-147,Airpower Museum -- Antique Airfield,on_display
Aeronca,7,AC,N3144E,Champion,,fixed_wing,monoplane,civilian,private,1947,FAA registry current 2026: Aeronca 7AC c/n 7AC-6740 with YEAR-MFR 1947 registered to Airpower Museum Inc,c/n 7AC-6740,Airpower Museum -- Antique Airfield,on_display
Aeronca,11,AC,N9318E,Chief,,fixed_wing,monoplane,civilian,private,1946,FAA registry current 2026: Aeronca 11AC c/n 11AC-956 with YEAR-MFR 1946 registered to Airpower Museum Inc,c/n 11AC-956,Airpower Museum -- Antique Airfield,on_display
Funk,B,85C,N24134,,,fixed_wing,monoplane,civilian,private,1940,FAA registry current 2026: Funk B85C c/n 60 with YEAR-MFR 1940 registered to Airpower Museum Inc,c/n 60; B85C,Airpower Museum -- Antique Airfield,on_display
Culver,LCA,,N41725,Cadet,,fixed_wing,monoplane,civilian,private,1942,FAA registry current 2026: Culver LCA c/n 443 with YEAR-MFR 1942 registered to Airpower Museum Inc,c/n 443,Airpower Museum -- Antique Airfield,on_display
Fairchild,KR-21,,N204V,,,fixed_wing,biplane,civilian,private,,FAA registry current 2026: Fairchild KR-21 c/n 1026 registered to Airpower Museum Inc,c/n 1026; KR21,Airpower Museum -- Antique Airfield,on_display
Fleet,B-1,,N20699,,,fixed_wing,biplane,civilian,private,,FAA registry current 2026: Brewster Fleet B-1 c/n 1 registered to Airpower Museum Inc,c/n 1; B1,Airpower Museum -- Antique Airfield,on_display
Alexander,Eaglerock,,N2568,Long Wing,,fixed_wing,biplane,civilian,private,,FAA registry current 2026: Alexander Long Wing Eaglerock c/n 122 registered to Air Power Museum at Ottumwa,c/n 122,Airpower Museum -- Antique Airfield,on_display
